Автор объявления,Состояние квартиры,Этаж,Жилой фонд,Балкон / лоджия,id,link,Санузел,Планировка,Парковочное место,title,Ливинг,Тип,Жилая площадь,Тип здания,Количество этажей,Площадь кухни,Застройщик,price,Адрес,Высота потолков,Количество комнат,Общая площадь
Частное лицо,Без ремонта,2,Вторичный,,103644564,https://999.md/ru/103644564?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM5NTAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NDQ1NjQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMGMyMGMwNDAtY2VmMS00MWYwLWFjMTUtMTBmMTA0NmRkNDAzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEzOjA1OjUwLjc1OTc1NzcxWiJ9fQ.buKYctAmxQqXKdq96bDNyHAu0C0BQQnuSE1vhE-Gu2w&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,1,,Oткрытое,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,Продам,,Kотельцовый,4,,A-casa,31 000 €,"Кишинёв мун., Кишинёв, Чокана, str. Ișnovăț, 11",250 см,1-комнатная квартира,24 м²
Застройщик,Белый вариант,6,Новострой,Нет,102831793,https://999.md/ru/102831793?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM5NTAsIkMiOnsiciI6MSwiYiI6MTIwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzE3OTMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTM6MDU6NTAuNzU5NzkyMDQ1WiJ9fQ.FXDJZf07V_clWjisBkEr3y23AoRAw-AkTjICb5xXHbM&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,1,Индивидуальная,Гараж,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира без ливинга,Продам,,Ячеистый Бетон,6,13 м²,Astercon,81 432 €,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",286 см,2-х комнатная квартира,56 м²
Застройщик,,12,Новострой,1,89777186,https://999.md/ru/89777186?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM5NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTc3NzE4NiIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InBybyIsImwiOiIyNTQ3ZWNjMi1hZjQxLTRhZjAtOTVlYi00YjBlMjg0Zjc3N2EiLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA0LTIwVDEzOjA1OjUwLjc1OTgxNDA2NFoifX0.mo1LhWqG5Peb4wzz3B_2JZKK6IepANFiNw-7VjEUbXM&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,2,,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,Mонолитный,16,,Exfactor-grup,101 000 €,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 19/6",3 см,2-х комнатная квартира,70 м²
Частное лицо,Косметический pемонт,2,Вторичный,Нет,102478536,https://999.md/ru/102478536?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM5NTAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI0Nzg1MzYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiOWNmNzNkOWUtZjdmZS00ZGE5LWIwZjYtNTM4NTgzNTk0NjM4IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMzowNTo1MC43NTk4MjYzNzlaIn19.u92fTQvNlgEE99TTxQGgjV9jhqjvCZI5eBRl63Eohsg&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,1,Гостинка,Oткрытое,"Комната,  Буюканы,  Кишинёв,  Кишинёв мун.",,Продам,30 м²,Kотельцовый,2,,,52 500 €,"Кишинёв мун., Кишинёв, Буюканы, str. 27 Martie 1918, 3",270 см,Комната,30 м²
Частное лицо,Eвроремонт,5,Новострой,,104080588,https://999.md/ru/104080588?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM5NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwODA1ODgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMDgxY2NlYTAtY2Y3MC00ZGUyLWFlYjctMDhjZjk0NDkyNDNjIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDEzOjA1OjUwLjc1OTUxMzY2WiJ9fQ.JTPWq9jB1L4yE_BKxcEhQBlWsd5Ji67qUcEBTstZOZ0&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,1,,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,10,,Inamstro,133 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/6",,2-х комнатная квартира,46 м²
Частное лицо,Белый вариант,2,Новострой,1,101792106,https://999.md/ru/101792106?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM5NTAsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTIxMDYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNGI4NDEzNjMtZTE5Yy00YWFjLTg5NmEtM2ZjZmM5MjBiNTI2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMzowNTo1MC43NTk1MzU4MDhaIn19.jd5ZPXbEFgh9BQDyWlOjfdJYN9qkpnMQVmw69YyYInY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,1,,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,10,,Lagmar Impex,77 000 €,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 142",,1-комнатная квартира,56 м²
Застройщик,Незавершенное cтроительство,5,Новострой,,101794818,https://999.md/ru/101794818?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM5NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ4MTgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTM6MDU6NTAuNzU5NTYzNDI0WiJ9fQ.nJDLeuv2HlRuB4VaXiGcnIfpvUifSepTqil5vOQwDuc&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,,,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира с ливингом,Продам,,,9,,Solomon Construct Imobil,79 123 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",290 см,2-х комнатная квартира,72 м²
Агентство,Eвроремонт,3,Вторичный,4 и более,60386327,https://999.md/ru/60386327?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM5NTAsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI2MDM4NjMyNyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiJmNTc2ZDFlYi0xOWYwLTRmYjUtYjMzYS00YmQ0MWUyM2VlYWMiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDEzOjA1OjUwLjc1OTU3NjYxM1oifX0.Rr-A9-0glFKjcvuIcyzo-_nlj2_U8TLV5YUkNqrQ4Us&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,4 и более,Индивидуальная,Oткрытое,"Комната,  Телецентр,  Кишинёв,  Кишинёв мун.",,Сдаю посуточно,80 м²,Бетон,3,20 м²,,500 MDL,"Кишинёв мун., Кишинёв, Телецентр, str. Haiducilor, 44",3 см,Комната,100 м²
Частное лицо,Eвроремонт,2,Новострой,2,103122667,https://999.md/ru/103122667?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM5NTAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMxMjI2NjciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiZjFkMDkxYWYtZWZhYy00NWJmLWE4YjktNzQzY2ExMjdhNzE4IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEzOjA1OjUwLjc1OTYzNDYzOVoifX0.P9UkTd2Dda2fvDrNB-BAXFUwqdsy_4aGbdcPe8G4Pew&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,1,,Подземная,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Продам,,,9,,Pamir Construct,97 000 €,"Кишинёв мун., Кишинёв, Центр, str. Ialoveni, 100/3",,1-комнатная квартира,46 м²
Частное лицо,Eвроремонт,1,Новострой,1,102150507,https://999.md/ru/102150507?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTM5NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDIxNTA1MDciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiODJjNjRjNmMtOWM5Ny00M2Y5LWFjZTUtNmU4MzMwZTUxYTk5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMzowNTo1MC43NTk2NDcyMzJaIn19.EhjkL91KoeTfzCCZc_SyMATAljkslp-BkcL6Bs_UyQk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,1,Индивидуальная,Oткрытое,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,Kомбинированный,9,,Volare Tur,109 900 €,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 120/3",290 см,1-комнатная квартира,44 м²
