Тип,Застройщик,Санузел,id,Ливинг,Этаж,title,Количество комнат,Высота потолков,price,Состояние квартиры,Тип здания,link,Количество этажей,Адрес,Общая площадь,Парковочное место,Балкон / лоджия,Площадь кухни,Автор объявления,Жилой фонд,Планировка,Жилая площадь
Продам,Horus,,104321988,Квартира с ливингом,5,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,104 900 €,Белый вариант,,https://999.md/ru/104321988?location=subcategory&index=1873&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, 1",60 м²,,,,Частное лицо,Новострой,,
Продам,,,104091924,,3,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,135 000 €,,,https://999.md/ru/104091924?location=subcategory&index=1874&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 1",80 м²,,,,Агентство,Вторичный,,
Продам,Estate Invest Company,1,104372789,,2,"1-комнатная квартира,  Окраина,  Трушены,  Кишинёв мун.",1-комнатная квартира,,49 050 €,,,https://999.md/ru/104372789?location=subcategory&index=1875&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Трушены, Окраина, str. 27 August 1989, 7",45 м²,Подземная,1,,Застройщик,Новострой,,
Продам,,2,104031383,Квартира с ливингом,9,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,244 900 €,Eвроремонт,Kотельцовый,https://999.md/ru/104031383?location=subcategory&index=1876&cardCategoryId=270&cardSubcategoryId=1404,17,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 19",76 м²,Подземная,1,,Застройщик,Новострой,,
Продам,Estate Invest Company,2,104373855,Квартира с ливингом,5,"2-х комнатная квартира,  Окраина,  Трушены,  Кишинёв мун.",2-х комнатная квартира,,78 540 €,,,https://999.md/ru/104373855?location=subcategory&index=1877&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Трушены, Окраина, str. 27 August 1989, 7",77 м²,Подземная,2,,Застройщик,Новострой,,
Продам,,1,104403641,Квартира с ливингом,3,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",1-комнатная квартира,,45 000 €,Белый вариант,,https://999.md/ru/104403641?location=subcategory&index=1878&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 99/7",43 м²,,2,,Застройщик,Новострой,,
Продам,,2,104495925,Квартира без ливинга,6,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,269 900 €,Eвроремонт,Kирпичный,https://999.md/ru/104495925?location=subcategory&index=1879&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Центр, bd. Ştefan cel Mare şi Sfânt, 169",62 м²,Oткрытое,1,,Агентство,Новострой,Индивидуальная,
Продам,Sky House,,103653727,Квартира с ливингом,10,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,131 950 €,,Kирпичный,https://999.md/ru/103653727?location=subcategory&index=1880&cardCategoryId=270&cardSubcategoryId=1404,18,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 20",91 м²,,,,Частное лицо,Новострой,,
Продам,,1,104416515,Квартира без ливинга,Цоколь,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,45 000 €,Косметический pемонт,Kотельцовый,https://999.md/ru/104416515?location=subcategory&index=1881&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Ботаника, bd. Traian, 14/4",26 м²,Oткрытое,1,,Агентство,Вторичный,Индивидуальная,
Продам,Solomon Construct Imobil,2,101794768,Квартира с ливингом,1,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",2-х комнатная квартира,290 см,74 870 €,Незавершенное cтроительство,,https://999.md/ru/101794768?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE1NTIzMjksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ3NjgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTVUMTg6Mzg6NDkuNTg2NjEyODIyWiJ9fQ.bnpN7ZXEAlWSP2QZEUsoCXqEB6-BW1bmcMQiBUpN06o&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1882&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",72 м²,,1,,Застройщик,Новострой,,
Продам,,1,103445411,Квартира с ливингом,7,"2-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",2-х комнатная квартира,,136 000 €,Eвроремонт,Mонолитный,https://999.md/ru/103445411?location=subcategory&index=1883&cardCategoryId=270&cardSubcategoryId=1404,8,"Кишинёв мун., Дурлешты, Окраина, str. Mihail Odatiuc, 36",68 м²,Oткрытое,1,,Агентство,Новострой,,
Продам,,,104191352,,6,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,258 000 €,Eвроремонт,,https://999.md/ru/104191352?location=subcategory&index=1884&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Кишинёв, Центр, str. Moara Roșie, 5/B",80 м²,,,,Частное лицо,Новострой,,
Продам,,1,103725754,Квартира с ливингом,Мансарда,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",2-х комнатная квартира,,45 000 €,Cерый вариант,Блочный,https://999.md/ru/103725754?location=subcategory&index=1885&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Криково, Центр, str. Chişinău, 80",75 м²,Oткрытое,1,,Агентство,Новострой,,
Продам,,,103314099,,5,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",2-х комнатная квартира,,134 999 €,,,https://999.md/ru/103314099?location=subcategory&index=1886&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Дурлешты, Центр, str. Durlesti, -",63 м²,,,,Агентство,Новострой,,
Продам,Dansicons,1,103864592,Квартира с ливингом,3,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,126 500 €,Eвроремонт,,https://999.md/ru/103864592?location=subcategory&index=1887&cardCategoryId=270&cardSubcategoryId=1404,11,"Кишинёв мун., Кишинёв, Телецентр, ул. Николае Тестемицану, 23/1",63 м²,Oткрытое,,,Агентство,Новострой,,
Продам,,2,103863754,Квартира с ливингом,3,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,240 000 €,Белый вариант,,https://999.md/ru/103863754?location=subcategory&index=1888&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Кишинёв, Центр, ул. Моара Рошие, 5",80 м²,Подземная,,,Агентство,Новострой,,
Продам,Eldorado Terra,1,103865176,Квартира с ливингом,7,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,167 500 €,Eвроремонт,,https://999.md/ru/103865176?location=subcategory&index=1889&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 12/12",80 м²,Oткрытое,,,Агентство,Новострой,,
Продам,Inamstro,1,103863904,Квартира с ливингом,6,"2-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,185 000 €,Белый вариант,,https://999.md/ru/103863904?location=subcategory&index=1890&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 6",80 м²,Oткрытое,,,Агентство,Новострой,,
Продам,,1,103864884,Квартира с ливингом,3,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,167 500 €,Eвроремонт,,https://999.md/ru/103864884?location=subcategory&index=1891&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Кишинёв, Буюканы, ул. Виссарион Белинский, 71",64 м²,Oткрытое,1,,Агентство,Новострой,,
Продам,,1,103873364,Квартира с ливингом,2,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,220 000 €,Eвроремонт,,https://999.md/ru/103873364?location=subcategory&index=1892&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Буюканы, ул. Онисифор Гибу, 10",65 м²,Oткрытое,1,,Агентство,Вторичный,,
Продам,Exfactor-grup,2,103864173,Квартира с ливингом,2,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,219 000 €,Eвроремонт,,https://999.md/ru/103864173?location=subcategory&index=1893&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Буюканы, ул. Василе Лупу, 28",87 м²,Oткрытое,,,Агентство,Новострой,,
Продам,Lagmar Impex,1,103873595,Квартира с ливингом,11,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,174 900 €,Eвроремонт,,https://999.md/ru/103873595?location=subcategory&index=1894&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Рышкановка, str. Cornești, 13",65 м²,Подземная,1,,Агентство,Новострой,,
Сдаю помесячно,,1,102547720,Квартира с ливингом,2,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,320 см,899 €,Индивидуальный дизайн,Kотельцовый,https://999.md/ru/102547720?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE1NTIzMjksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI1NDc3MjAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYTI0ODE2OTMtZTMwYi00ZjdiLTljYTAtZDQyZjRhODRkZWIzIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE1VDE4OjM4OjQ5LjU4NjY3MjY5OFoifX0.URpLRX0jzt4IpaBoThLMw5Fvo5KwffF-5cinLyj9j1U&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1895&cardCategoryId=270&cardSubcategoryId=1404,4,"Кишинёв мун., Кишинёв, Рышкановка, str. Circului, 40",70 м²,Oткрытое,1,15 м²,Застройщик,Новострой,Индивидуальная,55 м²
Продам,Vasigur Grup,1,103864803,,9,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,225 000 €,Eвроремонт,,https://999.md/ru/103864803?location=subcategory&index=1896&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Рышкановка, Московский пр-т, 4/4",75 м²,Oткрытое,1,,Агентство,Новострой,,
Продам,,1,102690078,,5,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,86 900 €,Eвроремонт,Kотельцовый,https://999.md/ru/102690078?location=subcategory&index=1897&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Ботаника, str. Trandafirilor, 31/5",45 м²,,1,,Агентство,Вторичный,,
