Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,Eвроремонт,1,Индивидуальная,,Агентство,104385195,https://999.md/ru/104385195?location=subcategory&index=625&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,1,12,53 м²,1-комнатная квартира,Oткрытое,Новострой,Estate Invest Company,,,119 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,1,Индивидуальная,,Агентство,104312498,https://999.md/ru/104312498?location=subcategory&index=626&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,8,12,68 м²,2-х комнатная квартира,Oткрытое,Новострой,Inamstro,,,199 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,2,Индивидуальная,,Агентство,104275694,https://999.md/ru/104275694?location=subcategory&index=627&cardCategoryId=270&cardSubcategoryId=1404,,7,12,96 м²,3-х комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,,249 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41"
1,Белый вариант,2,Индивидуальная,,Агентство,104347481,https://999.md/ru/104347481?location=subcategory&index=628&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,7,72 м²,2-х комнатная квартира,Подземная,Новострой,Element Stil,,,103 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regele Carol, 3"
,Eвроремонт,2,,,Агентство,104239559,https://999.md/ru/104239559?location=subcategory&index=629&cardCategoryId=270&cardSubcategoryId=1404,,8,10,72 м²,2-х комнатная квартира,,Новострой,,,,146 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95/5."
,Косметический pемонт,,,,Агентство,104328755,https://999.md/ru/104328755?location=subcategory&index=630&cardCategoryId=270&cardSubcategoryId=1404,,4,5,47 м²,2-х комнатная квартира,,Вторичный,,,,34 000 €,,Продам,"2-х комнатная квартира,  Пэмынтены,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, Пэмынтены, Elena Colesov, 12"
1,Eвроремонт,1,Индивидуальная,,Агентство,104319039,https://999.md/ru/104319039?location=subcategory&index=631&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,8,10,54 м²,2-х комнатная квартира,Oткрытое,Новострой,Inamstro,,,154 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,,,,Застройщик,101213650,https://999.md/ru/101213650?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjUzNDEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDEyMTM2NTAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNGIzZTcyMjEtMGFmMS00YTlmLWJiNjMtYjg2YTQzMjVkM2VmIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODoyOTowMS45MjA0NzgzOTJaIn19.2xdsAPPoS5wc2gjbAtSPvflBCqr3NCRe3ZXrjg-GenM&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=632&cardCategoryId=270&cardSubcategoryId=1404,,12,13,60 м²,2-х комнатная квартира,,Новострой,Inamstro,,,174 000 €,,Продам,"2-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 6"
,Eвроремонт,1,Индивидуальная,,Агентство,104151694,https://999.md/ru/104151694?location=subcategory&index=633&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,5,5,38 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,62 900 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,1,Индивидуальная,,Агентство,104156012,https://999.md/ru/104156012?location=subcategory&index=634&cardCategoryId=270&cardSubcategoryId=1404,,1,11,50 м²,1-комнатная квартира,Oткрытое,Новострой,Estate Invest Company,,,104 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, ул. Яловень, 136"
1,Eвроремонт,2,Брж (Брежневка),,Частное лицо,104349077,https://999.md/ru/104349077?location=subcategory&index=635&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,3,70 м²,3-х комнатная квартира,,Вторичный,,8 м²,,99 000 €,,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, ул. Думитру Рышкану, 14"
