Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Площадь кухни,Застройщик,Жилая площадь,price,Ливинг,Тип,title,Адрес
,Белый вариант,1,,,Агентство,103973561,https://999.md/ru/103973561?location=subcategory&index=2263&cardCategoryId=270&cardSubcategoryId=1404,,2,12,69 м²,3-х комнатная квартира,,Новострой,,,,126 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, -"
1,Eвроремонт,2,,,Агентство,102996376,https://999.md/ru/102996376?location=subcategory&index=2264&cardCategoryId=270&cardSubcategoryId=1404,,7,14,75 м²,3-х комнатная квартира,,Новострой,,,,215 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 0"
,,,,,Застройщик,104536123,https://999.md/ru/104536123?location=subcategory&index=2265&cardCategoryId=270&cardSubcategoryId=1404,,4,10,45 м²,1-комнатная квартира,,Новострой,,,,93 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Codrilor, 8/5"
,,,,,Застройщик,104524206,https://999.md/ru/104524206?location=subcategory&index=2266&cardCategoryId=270&cardSubcategoryId=1404,,2,5,64 м²,2-х комнатная квартира,,Новострой,,,,79 900 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Tohatin, 28"
,,,,,Застройщик,104601432,https://999.md/ru/104601432?location=subcategory&index=2267&cardCategoryId=270&cardSubcategoryId=1404,,2,10,75 м²,2-х комнатная квартира,,Новострой,,,,220 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Avram Iancu, 32"
3,Eвроремонт,2,Индивидуальная,,Агентство,104188762,https://999.md/ru/104188762?location=subcategory&index=2268&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,11,13,120 м²,3-х комнатная квартира,Подземная,Новострой,,,,225 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, ул. Николае Сулак, 4"
1,Eвроремонт,2,Индивидуальная,,Агентство,104188476,https://999.md/ru/104188476?location=subcategory&index=2269&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,Пентхаус,11,95 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,164 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, ш. Хынчешть, 55/5"
,,,,,Застройщик,104135573,https://999.md/ru/104135573?location=subcategory&index=2270&cardCategoryId=270&cardSubcategoryId=1404,,7,9,89 м²,4-x комнатная квартира,,Вторичный,,,,99 900 €,,Продам,"4-x комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Andrei Doga, 32"
1,Белый вариант,2,,,Агентство,89169071,https://999.md/ru/89169071?location=subcategory&index=2271&cardCategoryId=270&cardSubcategoryId=1404,,3,5,58 м²,2-х комнатная квартира,,Новострой,,,58 м²,58 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кожушна,  Страшены","Страшены, Кожушна, Центр, str. Valeriu Cupcea, 1"
,,,,,Застройщик,104597662,https://999.md/ru/104597662?location=subcategory&index=2272&cardCategoryId=270&cardSubcategoryId=1404,,4,4,20 м²,1-комнатная квартира,,Вторичный,,,,46 500 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, bd. Grigore Vieru, 22/8"
,,,,,Застройщик,104587810,https://999.md/ru/104587810?location=subcategory&index=2273&cardCategoryId=270&cardSubcategoryId=1404,,12,14,40 м²,1-комнатная квартира,,Вторичный,,,,55 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Nicolae Costin, 61/2"
1,Индивидуальный дизайн,2,На земле,300 см,Застройщик,100674442,https://999.md/ru/100674442?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjgwMDgsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDA2NzQ0NDIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjA2YTg4Mzk5LTMyMmYtNDM3OS05YjZjLTFiNzFkYWExYzhkYSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTk6MTM6MjguMjc3OTE4NjczWiJ9fQ.dxByZBYnL7N1sU1CogfiaV5dR4DCFEN3cSO4eajiXOg&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2274&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,2,85 м²,3-х комнатная квартира,Oткрытое,Новострой,15 м²,,70 м²,899 €,Квартира с ливингом,Сдаю помесячно,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Moara Rosie, 33/5"
,Eвроремонт,,,,Агентство,100936860,https://999.md/ru/100936860?location=subcategory&index=2275&cardCategoryId=270&cardSubcategoryId=1404,,4,5,25 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,55 000 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника,  str. Independenței, 14/1"
2,Нуждается в ремонте,2,143,,Агентство,103235134,https://999.md/ru/103235134?location=subcategory&index=2276&cardCategoryId=270&cardSubcategoryId=1404,Панельный,8,9,70 м²,3-х комнатная квартира,,Вторичный,,,,99 500 €,,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, 1/4"
,,,,,Застройщик,104527764,https://999.md/ru/104527764?location=subcategory&index=2277&cardCategoryId=270&cardSubcategoryId=1404,,9,10,80 м²,3-х комнатная квартира,,Вторичный,,,,96 900 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 22/2"
,,,,,Застройщик,104552258,https://999.md/ru/104552258?location=subcategory&index=2278&cardCategoryId=270&cardSubcategoryId=1404,,12,12,41 м²,1-комнатная квартира,,Новострой,,,,70 000 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Sulac, 8B"
,,,,,Застройщик,104450754,https://999.md/ru/104450754?location=subcategory&index=2279&cardCategoryId=270&cardSubcategoryId=1404,,5,5,33 м²,1-комнатная квартира,,Вторичный,,,,48 500 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Gheorghe Tofan, 43"
,,,,,Застройщик,103615554,https://999.md/ru/103615554?location=subcategory&index=2280&cardCategoryId=270&cardSubcategoryId=1404,,5,5,90 м²,3-х комнатная квартира,,Новострой,,,,139 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Bisericii, 7"
1,Eвроремонт,1,143,,Агентство,104431969,https://999.md/ru/104431969?location=subcategory&index=2281&cardCategoryId=270&cardSubcategoryId=1404,,1,9,80 м²,3-х комнатная квартира,,Вторичный,,,,110 000 €,,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Albisoara, -"
1,Eвроремонт,1,,,Агентство,104300313,https://999.md/ru/104300313?location=subcategory&index=2282&cardCategoryId=270&cardSubcategoryId=1404,,8,13,75 м²,3-х комнатная квартира,,Новострой,,,,169 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Iazului, -"
1,Eвроремонт,1,,,Агентство,104424782,https://999.md/ru/104424782?location=subcategory&index=2283&cardCategoryId=270&cardSubcategoryId=1404,,2,12,73 м²,3-х комнатная квартира,,Новострой,,,,237 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, -"
1,Eвроремонт,1,Индивидуальная,,Агентство,103265780,https://999.md/ru/103265780?location=subcategory&index=2284&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,9,10,75 м²,3-х комнатная квартира,Подземная,Новострой,,Vasigur Grup,,225 000 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Московский пр-т, 4/4"
,Eвроремонт,,143,,Агентство,104372684,https://999.md/ru/104372684?location=subcategory&index=2285&cardCategoryId=270&cardSubcategoryId=1404,,8,9,55 м²,2-х комнатная квартира,,Вторичный,,,,107 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника,  str. Grenoble , 130/3"
,Белый вариант,2,,,Застройщик,88894927,https://999.md/ru/88894927?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjgwMDgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4ODg5NDkyNyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InBybyIsImwiOiIwZjQwMGNkNi0zMWZlLTRjNmUtOGFjNS1kYThlZjkyZmVhMGYiLCJlIjoiODkuMTQ5LjkxLjE2MiIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA2LTE0VDE5OjEzOjI4LjI3ODAzNjMzNloifX0.wGvMtxVNHGk0PIMgq0I58p0c_8yS_scCMx5DvYHUDOc&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2286&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,6,7,64 м²,2-х комнатная квартира,,Новострой,,,,118 400 €,,Продам,"2-х комнатная квартира,  Окраина,  Кодру,  Кишинёв мун.",Расположение
1,Eвроремонт,1,Индивидуальная,,Агентство,103241574,https://999.md/ru/103241574?location=subcategory&index=2287&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,8,12,65 м²,2-х комнатная квартира,Oткрытое,Новострой,,Dansicons,,159 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, ул. Николае Тестемицану, 17/1"
1,Eвроремонт,1,Индивидуальная,,Агентство,103231352,https://999.md/ru/103231352?location=subcategory&index=2288&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,6,10,70 м²,2-х комнатная квартира,Подземная,Новострой,,Inamstro,,179 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/1"
1,Eвроремонт,1,Индивидуальная,,Агентство,103222830,https://999.md/ru/103222830?location=subcategory&index=2289&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,6,11,95 м²,3-х комнатная квартира,Подземная,Новострой,,Basconslux,,217 500 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Batran, 43/F"
