Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,,,,,Агентство,103827203,https://999.md/ru/103827203?location=subcategory&index=2887&cardCategoryId=270&cardSubcategoryId=1404,,11,13,82 м²,,3-х комнатная квартира,Новострой,,,,285 000 €,,Продам,"3-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, ул. Каля Ешилор, --"
1,Белый вариант,1,,,Агентство,104029484,https://999.md/ru/104029484?location=subcategory&index=2888&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,12,36 м²,Подземная,1-комнатная квартира,Новострой,Sky House,,13 м²,46 010 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 8"
1,Белый вариант,1,,,Агентство,103624166,https://999.md/ru/103624166?location=subcategory&index=2889&cardCategoryId=270&cardSubcategoryId=1404,,8,9,45 м²,,1-комнатная квартира,Новострой,,,,54 500 €,,Продам,"1-комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.","Кишинёв мун., Гидигич, Центр,  Ștefan cel Mare , 1"
1,Eвроремонт,2,,,Агентство,104392357,https://999.md/ru/104392357?location=subcategory&index=2890&cardCategoryId=270&cardSubcategoryId=1404,,6,9,75 м²,,3-х комнатная квартира,Вторичный,,,,116 900 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана,  str. Petru Zadnipru, 19"
1,Eвроремонт,1,,,Агентство,102282545,https://999.md/ru/102282545?location=subcategory&index=2891&cardCategoryId=270&cardSubcategoryId=1404,,5,7,70 м²,Подземная,2-х комнатная квартира,Новострой,,,,155 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str.Durlesti, --"
,,,,,Агентство,103971868,https://999.md/ru/103971868?location=subcategory&index=2892&cardCategoryId=270&cardSubcategoryId=1404,,9,9,47 м²,,1-комнатная квартира,Новострой,,,,83 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 57"
2,Eвроремонт,2,,,Агентство,104566324,https://999.md/ru/104566324?location=subcategory&index=2893&cardCategoryId=270&cardSubcategoryId=1404,,6,9,70 м²,,3-х комнатная квартира,Новострой,,,,146 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 62/G"
,Белый вариант,2,,,Агентство,101821456,https://999.md/ru/101821456?location=subcategory&index=2894&cardCategoryId=270&cardSubcategoryId=1404,,16,16,155 м²,,3-х комнатная квартира,Новострой,,,,217 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Renasterii Nationale, 0"
,,,,,Агентство,103934636,https://999.md/ru/103934636?location=subcategory&index=2895&cardCategoryId=270&cardSubcategoryId=1404,,7,10,45 м²,,1-комнатная квартира,Новострой,,,,92 000 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, ---"
1,,1,270 см,,Застройщик,104499075,https://999.md/ru/104499075?location=subcategory&index=2896&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,9,24 м²,Oткрытое,1-комнатная квартира,Вторичный,AMIC,6 м²,15 м²,46 300 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Independenței, 34"
