Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Eвроремонт,2,,,Агентство,104364605,https://999.md/ru/104364605?location=subcategory&index=781&cardCategoryId=270&cardSubcategoryId=1404,,1,9,45 м²,2-х комнатная квартира,,Вторичный,,,,74 900 €,,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 96"
,,,,,Агентство,104193159,https://999.md/ru/104193159?location=subcategory&index=782&cardCategoryId=270&cardSubcategoryId=1404,,16,16,17 м²,1-комнатная квартира,,Вторичный,,,,19 900 €,,Продам,"1-комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 16/1"
1,Белый вариант,1,280 см,,Застройщик,100908352,https://999.md/ru/100908352?location=subcategory&index=783&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,10,49 м²,1-комнатная квартира,Подземная,Новострой,Braus Imobiliare,,,68 700 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, sos. Hincesti, 140/1"
1,Eвроремонт,1,275 см,,Агентство,102175844,https://999.md/ru/102175844?location=subcategory&index=784&cardCategoryId=270&cardSubcategoryId=1404,,1,9,51 м²,2-х комнатная квартира,Oткрытое,Вторичный,,7 м²,30 м²,84 500 €,,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Pietrarilor, 4"
1,Белый вариант,1,,,Агентство,86747132,https://999.md/ru/86747132?location=subcategory&index=785&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,9,65 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,73 600 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв мун.",Расположение
,Eвроремонт,2,,,Агентство,85910297,https://999.md/ru/85910297?location=subcategory&index=786&cardCategoryId=270&cardSubcategoryId=1404,,10,11,89 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,280 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Lev Tolstoi, 24"
2,Eвроремонт,2,,,Агентство,100444999,https://999.md/ru/100444999?location=subcategory&index=787&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,7,7,85 м²,2-х комнатная квартира,,Вторичный,,,,255 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Moara Roșie, 20"
1,Eвроремонт,1,260 см,Индивидуальная,Частное лицо,104597744,https://999.md/ru/104597744?location=subcategory&index=788&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,9,58 м²,1-комнатная квартира,Oткрытое,Новострой,,,58 м²,143 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Окраина, str. Tudor Vladimirescu, 16"
Нет,Eвроремонт,1,,Индивидуальная,Агентство,104551493,https://999.md/ru/104551493?location=subcategory&index=789&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,9,48 м²,2-х комнатная квартира,Подземная,Новострой,Pamir Construct,,,139 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, ул. Гика Водэ, 5"
,,,,,Агентство,104059448,https://999.md/ru/104059448?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU2MTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNTk0NDgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiOTc3NzI5OGUtZDk0Yy00ODQxLWJlNjYtOTY2MTYxODMzZTA5IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE4OjMzOjM5LjY4MzUwODA4OFoifX0.J8Qanv2uh6snDCK9Yz4dz2yrCaa-15HmTGe7NwxatCs&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=790&cardCategoryId=270&cardSubcategoryId=1404,,7,11,85 м²,2-х комнатная квартира,,Новострой,,,,169 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 257"
2,Eвроремонт,2,,,Агентство,104597582,https://999.md/ru/104597582?location=subcategory&index=791&cardCategoryId=270&cardSubcategoryId=1404,,9,9,185 м²,3-х комнатная квартира,Oткрытое,Новострой,,,,484 500 €,,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Nadejda Russo, *"
,Eвроремонт,,,,Частное лицо,104602573,https://999.md/ru/104602573?location=subcategory&index=792&cardCategoryId=270&cardSubcategoryId=1404,,3,21,66 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,163 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 15"
1,Незавершенное cтроительство,1,,,Агентство,104599999,https://999.md/ru/104599999?location=subcategory&index=793&cardCategoryId=270&cardSubcategoryId=1404,,8,16,55 м²,1-комнатная квартира,,Новострой,,,,72 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,,,143,Агентство,104599898,https://999.md/ru/104599898?location=subcategory&index=794&cardCategoryId=270&cardSubcategoryId=1404,,7,9,54 м²,2-х комнатная квартира,,Вторичный,,,,93 500 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 13"
,,1,,,Агентство,103723243,https://999.md/ru/103723243?location=subcategory&index=795&cardCategoryId=270&cardSubcategoryId=1404,,3,12,43 м²,1-комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,,127 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Cornesti, 13"
1,Сдан в эксплуатацию,1,290 см,Индивидуальная,Застройщик,104597678,https://999.md/ru/104597678?location=subcategory&index=796&cardCategoryId=270&cardSubcategoryId=1404,Бетон,6,13,63 м²,2-х комнатная квартира,Oткрытое,Новострой,Inamstro,,,132 900 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Calea Ieșilor, 4"
2,Косметический pемонт,1,275 см,Индивидуальная,Частное лицо,104593268,https://999.md/ru/104593268?location=subcategory&index=797&cardCategoryId=270&cardSubcategoryId=1404,Бетон,9,9,55 м²,2-х комнатная квартира,,Вторичный,,7 м²,31 м²,79 500 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 164"
2,Косметический pемонт,2,,,Частное лицо,104139819,https://999.md/ru/104139819?location=subcategory&index=798&cardCategoryId=270&cardSubcategoryId=1404,,5,5,58 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,54 000 €,,Продам,"2-х комнатная квартира,  Центр,  Оргеев,  Оргеев","Оргеев, Оргеев, Центр, str. 1 Mai, 55"
,Eвроремонт,1,,,Частное лицо,104534484,https://999.md/ru/104534484?location=subcategory&index=799&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,70 м²,2-х комнатная квартира,,Вторичный,,,,159 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 11/3"
1,Индивидуальный дизайн,1,,Индивидуальная,Частное лицо,103360660,https://999.md/ru/103360660?location=subcategory&index=800&cardCategoryId=270&cardSubcategoryId=1404,Бетон,1,10,47 м²,1-комнатная квартира,Подземная,Новострой,Basconslux,,,95 999 €,,Продам,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",Расположение
