Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Белый вариант,1,,,Агентство,103416836,https://999.md/ru/103416836?location=subcategory&index=2575&cardCategoryId=270&cardSubcategoryId=1404,,8,11,38 м²,,1-комнатная квартира,Новострой,,,,44 264 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, ул. Николае Димо, 101"
1,Белый вариант,1,,,Частное лицо,102708574,https://999.md/ru/102708574?location=subcategory&index=2576&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,14,18,44 м²,Подземная,1-комнатная квартира,Новострой,,,,70 416 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 22"
,Белый вариант,,,,Агентство,102312114,https://999.md/ru/102312114?location=subcategory&index=2577&cardCategoryId=270&cardSubcategoryId=1404,,2,9,42 м²,,1-комнатная квартира,Новострой,Lagmar Impex,,,58 000 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 142"
2,Eвроремонт,1,270 см,,Частное лицо,104496068,https://999.md/ru/104496068?location=subcategory&index=2578&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,46 м²,,2-х комнатная квартира,Вторичный,,8 м²,,52 000 €,,Продам,"2-х комнатная квартира,  Пэмынтены,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, Пэмынтены, str. Visarion Puiu, 24"
,,,,,Агентство,104444913,https://999.md/ru/104444913?location=subcategory&index=2579&cardCategoryId=270&cardSubcategoryId=1404,,2,5,56 м²,,2-х комнатная квартира,Вторичный,,,,124 900 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Mitropolit Bănulescu-Bodoni, 28/1"
1,Eвроремонт,1,,,Агентство,103012596,https://999.md/ru/103012596?location=subcategory&index=2580&cardCategoryId=270&cardSubcategoryId=1404,,10,10,63 м²,,2-х комнатная квартира,Новострой,,,,109 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Paris, 34/4"
1,Eвроремонт,2,,,Агентство,102494171,https://999.md/ru/102494171?location=subcategory&index=2581&cardCategoryId=270&cardSubcategoryId=1404,,15,15,150 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,212 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 22/5"
,Eвроремонт,1,,,Агентство,103012632,https://999.md/ru/103012632?location=subcategory&index=2582&cardCategoryId=270&cardSubcategoryId=1404,,17,18,55 м²,,2-х комнатная квартира,Вторичный,,,,81 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Albisoara, 0"
,Eвроремонт,1,,,Агентство,103243888,https://999.md/ru/103243888?location=subcategory&index=2583&cardCategoryId=270&cardSubcategoryId=1404,,2,9,65 м²,,3-х комнатная квартира,Новострой,,,,219 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 0"
,Eвроремонт,1,,,Частное лицо,104534484,https://999.md/ru/104534484?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg1NDcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1MzQ0ODQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiMTFiNTI3MjctNmIzMi00MWYzLTg0ZWItODZhYjIyODk5OGZiIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOToyMjoyNy40ODQxOTQ4NjVaIn19.E0gvim9l2LuAuDNfiLSbogt_LbMKvDLRDIbrHNoULTs&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2584&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,70 м²,,2-х комнатная квартира,Вторичный,,,,159 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 11/3"
1,Eвроремонт,1,,,Агентство,103236048,https://999.md/ru/103236048?location=subcategory&index=2585&cardCategoryId=270&cardSubcategoryId=1404,,5,9,53 м²,,2-х комнатная квартира,Вторичный,,,,125 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Columna, 0"
,Eвроремонт,1,,,Агентство,104422843,https://999.md/ru/104422843?location=subcategory&index=2586&cardCategoryId=270&cardSubcategoryId=1404,,1,5,30 м²,,1-комнатная квартира,Вторичный,,,,52 900 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Pandurilor, -"
1,Eвроремонт,2,,,Агентство,104300360,https://999.md/ru/104300360?location=subcategory&index=2587&cardCategoryId=270&cardSubcategoryId=1404,,7,13,90 м²,,3-х комнатная квартира,Новострой,,,,227 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, -"
,,,,,Агентство,104440806,https://999.md/ru/104440806?location=subcategory&index=2588&cardCategoryId=270&cardSubcategoryId=1404,,2,5,56 м²,,2-х комнатная квартира,Вторичный,,,,124 900 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Mitropolit Bănulescu-Bodoni, 28/1"
2,Белый вариант,2,,,Агентство,102992057,https://999.md/ru/102992057?location=subcategory&index=2589&cardCategoryId=270&cardSubcategoryId=1404,,8,10,80 м²,Oткрытое,3-х комнатная квартира,Новострой,,,,93 500 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, ул. Картуша, -"
1,Без ремонта,1,,Индивидуальная,Частное лицо,104500553,https://999.md/ru/104500553?location=subcategory&index=2590&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,4,4,30 м²,Oткрытое,1-комнатная квартира,Вторичный,,,,49 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Dumitru Rîșcanu, 9"
3,Незавершенное cтроительство,2,,,Частное лицо,103660906,https://999.md/ru/103660906?location=subcategory&index=2591&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,7,87 м²,,3-х комнатная квартира,Новострой,Estate Invest Company,,,126 500 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Окраина, str. Durleşti, 2"
