Балкон / лоджия,Планировка,Ливинг,link,Застройщик,Площадь кухни,Парковочное место,Этаж,Санузел,Высота потолков,price,Количество этажей,Общая площадь,Адрес,id,Жилой фонд,Тип здания,Жилая площадь,title,Тип,Автор объявления,Количество комнат,Состояние квартиры
,,Квартира с ливингом,https://999.md/ru/104075662?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE4MzYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNzU2NjIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlMjAxMjEyLTFiNjYtNGE1NS1hZjUwLWI1YTQ2YzFhZjRmMCIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTg6MDM6NTYuNTE4NjY0NjIyWiJ9fQ.BzN8D-OJ0Eni_mLt25yaWSO1TbJ79HyqtN9-BFn5OiA&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,Pamir Construct,,Oткрытое,8,1,,119 000 €,9,38 м²,"Кишинёв мун., Кишинёв, Ботаника, ул. Гика Водэ, 5",104075662,Новострой,,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
1,,Квартира с ливингом,https://999.md/ru/103814913?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE4MzYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4MTQ5MTMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlMjAxMjEyLTFiNjYtNGE1NS1hZjUwLWI1YTQ2YzFhZjRmMCIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTg6MDM6NTYuNTE4NzI3MjAyWiJ9fQ.KEt5L1vd8JfXJSfV0WRSQCwBaHIFJdDg7iMX57XSkL8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,Inamstro,,Oткрытое,6,1,,149 500 €,11,54 м²,"Кишинёв мун., Кишинёв, Буюканы, ул. Штефан Няга, 67",103814913,Новострой,,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/104091924?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE4MzYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTE5MjQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImQ4MGQyMmM1LTA3NTQtNDgxYS05Y2IxLTM2N2YzNzFmYTMzNiIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTg6MDM6NTYuNTE4NzY5NTA4WiJ9fQ.X0C7v1tLHKdx2_g5ejLabO9b24qSUhnzZrLq9gK9oxk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,,,,3,,,135 000 €,10,80 м²,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 1",104091924,Вторичный,,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,Агентство,3-х комнатная квартира,
1,Ст (Сталинка),,https://999.md/ru/103910957?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE4MzYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MTA5NTciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYmVlZjcwM2MtZDBiMC00ZGQ1LWExNmYtZWRjY2UzOGJmZDJkIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODowMzo1Ni41MTg3OTIwOTJaIn19.PmoQx08vp88Dg8e1ISj5zpkSgoHgdH0_ngZW_ccGlUU&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,,,Oткрытое,4,1,320 см,190 000 €,5,60 м²,"Кишинёв мун., Кишинёв, Центр, bd. Ştefan cel Mare şi Sfânt, 126",103910957,Вторичный,Kотельцовый,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
,,Квартира с ливингом,https://999.md/ru/103682003?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE4MzYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2ODIwMDMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYWIzMzA5OWItNzRkYS00NmFjLTk4NTMtYTZlOGVlNTA1NTc0IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE4OjAzOjU2LjUxODA1MTgzOFoifX0.2JxW0ZSO6ZzsnrRBBm7fsfgjVOmuH0XW7Cn088mVN7o&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,,,,3,,,1 350 €,7,120 м²,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Iorga, 9",103682003,Вторичный,,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Частное лицо,3-х комнатная квартира,
Нет,143,Квартира с ливингом,https://999.md/ru/100551291?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE4MzYsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDA1NTEyOTEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6IjlkZjMwMGM3LTA3OTMtNDk2My1iODhlLWIwZjUwMzY5NDViYyIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTg6MDM6NTYuNTE4MTA2Mjc3WiJ9fQ.S-Q33RVZGxzKS03w394oog7jF4Zm22ZIm_WW72MIl90&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,,10 м²,Oткрытое,5,2,2800 см,750 MDL,10,54 м²,"Кишинёв мун., Кишинёв, Ботаника, пр-т Куза Водэ, 41/2",100551291,Вторичный,Блочный,32 м²,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Застройщик,2-х комнатная квартира,Косметический pемонт
1,Индивидуальная,Квартира без ливинга,https://999.md/ru/102734606?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE4MzYsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI3MzQ2MDYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMTRjYjUzMDktOGU0Zi00ZjM5LTlkNGMtMDIxNDc5YWY5OTZlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxODowMzo1Ni41MTgyMTM3N1oifX0.-dz-y6eH8-FugeAlOe7pia6MI86SB6bBk69DiDdAbdo&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,A-casa,,Oткрытое,Подвал,1,,350 €,9,45 м²,"Кишинёв мун., Кишинёв, Старая Почта, str. Poștei, 53/1",102734606,Новострой,Бетон,,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",,Частное лицо,1-комнатная квартира,Eвроремонт
2,,Квартира с ливингом,https://999.md/ru/104040367?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE4MzYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNDAzNjciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNGNkOGRiMGMtOWYyYS00YzdkLTkxMjUtYjA2MGZiYTMwMTYyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODowMzo1Ni41MTgyMzc1OTRaIn19._UHZRDdyFqK-W0S6QBrqPLY2MDPWn06STE83ihWyhUU&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,,,Oткрытое,1,2,,158 000 €,5,113 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Buiucani, 4",104040367,Вторичный,,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,3-х комнатная квартира,Индивидуальный дизайн
1,,,https://999.md/ru/103962174?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE4MzYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NjIxNzQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYWQwZjZhYjYtNTllYy00MGYxLWIyZTItMmJlMmY2YTExNzAwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODowMzo1Ni41MTgzODE5NloifX0.cC_BIRIfpXCqjoKwVw9wIIHTPKsb1pyihadyCjO1Ac4&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,,,Oткрытое,2,1,,82 900 €,5,62 м²,"Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, 29/3",103962174,Вторичный,Kотельцовый,,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,
,,Квартира с ливингом,https://999.md/ru/104091505?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTE4MzYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTE1MDUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6IjQ0YTM2MzIxLTJlZDItNDU3Ny1iZjc0LWFlNDk2YzIyNTU0MyIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6ImxpdGUiLCJ0IjoiMjAyNi0wNC0yMFQxODowMzo1Ni41MTg0ODE5NzJaIn19.HRwKM6AUPKvYYxuOKnNZjRfNe48Pxpx6gKp2sG8WBNI&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,,,,7,,,74 382 €,6,76 м²,"Кишинёв мун., Криково, Центр, str. Burebista, 2",104091505,Новострой,,,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Белый вариант
