Застройщик,Тип здания,link,Парковочное место,title,Ливинг,Санузел,Количество этажей,Общая площадь,Состояние квартиры,Жилой фонд,Площадь кухни,Количество комнат,price,Адрес,Высота потолков,Тип,Жилая площадь,id,Этаж,Автор объявления,Балкон / лоджия,Планировка
,Панельный,https://999.md/ru/103314132?location=subcategory&index=4525&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Квартира без ливинга,2,9,53 м²,Косметический pемонт,Вторичный,6 м²,2-х комнатная квартира,85 900 €,"Кишинёв мун., Кишинёв, Чокана, ул. Петру Заднипру, -",270 см,Продам,,103314132,1,Агентство,1,Мс (Молд. Серия)
Horus,Kомбинированный,https://999.md/ru/101923899?location=subcategory&index=4526&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,16,74 м²,Индивидуальный дизайн,Новострой,,1-комнатная квартира,165 000 €,"Кишинёв мун., Кишинёв, Рышкановка, ул. Флорилор, 28/2",275 см,Продам,60 м²,101923899,16,Агентство,1,Индивидуальная
,Панельный,https://999.md/ru/102411139?location=subcategory&index=4527&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,9,73 м²,Eвроремонт,Вторичный,,3-х комнатная квартира,129 900 €,"Кишинёв мун., Кишинёв, Рышкановка, ул. Аеродромулуй, -",270 см,Продам,73 м²,102411139,1,Агентство,1,Индивидуальная
,,https://999.md/ru/103935844?location=subcategory&index=4528&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,2,12,32 м²,Eвроремонт,Новострой,,1-комнатная квартира,73 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 61",,Продам,,103935844,2,Агентство,,
,Kомбинированный,https://999.md/ru/102413646?location=subcategory&index=4529&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,1,14,67 м²,Белый вариант,Новострой,,2-х комнатная квартира,114 000 €,"Кишинёв мун., Кишинёв, Ботаника, Gradina Botanica, 18",,Продам,,102413646,11,Агентство,,
,Kотельцовый,https://999.md/ru/104271655?location=subcategory&index=4530&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,2,7,65 м²,Белый вариант,Новострой,,2-х комнатная квартира,104 000 €,"Кишинёв мун., Кишинёв, Буюканы,  str. Durlești, 10",,Продам,,104271655,6,Агентство,1,Индивидуальная
,Kомбинированный,https://999.md/ru/103557670?location=subcategory&index=4531&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,2,16,86 м²,Белый вариант,Новострой,,3-х комнатная квартира,139 900 €,"Кишинёв мун., Кишинёв, Ботаника, Str. Tudor Strișcă , 19",,Продам,,103557670,7,Агентство,2,Индивидуальная
,,https://999.md/ru/104331243?location=subcategory&index=4532&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,1,8,42 м²,Eвроремонт,Новострой,,1-комнатная квартира,104 000 €,Расположение,,Продам,,104331243,8,Агентство,1,
,,https://999.md/ru/104536387?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzIzMTQsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1MzYzODciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiODY4ZmU5ODYtY2ZlNC00NzA4LThiZTAtZWEwNTUyZjhiOWZkIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQyMDoyNToxNC43ODQ4MzU0MjJaIn19.sZmtunLJYLDPD6XsuseJb7uMQwTp2GiaKJaeYOrM3a4&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=4533&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,2,9,60 м²,,Вторичный,,3-х комнатная квартира,650 €,"Кишинёв мун., Кишинёв, Буюканы, Str. Nicolae Costin , 65/3",,Сдаю помесячно,,104536387,7,Частное лицо,1,
,Kотельцовый,https://999.md/ru/103331939?location=subcategory&index=4534&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,5,49 м²,Eвроремонт,Вторичный,6 м²,2-х комнатная квартира,103 900 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Alecu Russo, 3/2",270 см,Продам,,103331939,2,Агентство,1,Хрущевка
