Санузел,Общая площадь,Состояние квартиры,Количество этажей,Парковочное место,title,link,id,Площадь кухни,Жилая площадь,Планировка,Жилой фонд,Балкон / лоджия,Ливинг,price,Тип,Количество комнат,Этаж,Автор объявления,Высота потолков,Тип здания,Адрес,Застройщик
1,38 м²,,15,Oткрытое,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/83157782?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ4NTUsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4MzE1Nzc4MiIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiI3NjJlNzRmYy02NzA0LTQzNzUtYWMyYy00MWRiZTQ0NDc3MTgiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDIxOjQwOjU1LjYyOTk2NDIyNVoifX0.iciUlhx7gnQhThICGIOdNeebd4ju4E1PvG9CyjNJlvc&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,83157782,,,,Новострой,1,Квартира без ливинга,40 €,Сдаю посуточно,1-комнатная квартира,10,Частное лицо,,,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/10",
1,67 м²,Eвроремонт,14,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/102719607?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ4NTUsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI3MTk2MDciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMmI3MjU4OGYtMzBhZi00OWIzLWE2ZTUtZjcyNjExZGFiYzRjIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDIxOjQwOjU1LjYyOTk5NjE0NFoifX0._esHOvUrf2rtvzTipAWui7yJspCdV5DhHnMpggct2v8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,102719607,,,,Новострой,1,Квартира с ливингом,849 MDL,Сдаю посуточно,1-комнатная квартира,13,Агентство,,Бетон,"Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Testemițanu, 3/17",
,80 м²,,10,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104091924?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ4NTUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTE5MjQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImQ4MGQyMmM1LTA3NTQtNDgxYS05Y2IxLTM2N2YzNzFmYTMzNiIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMjE6NDA6NTUuNjMwMDIzNTI4WiJ9fQ.OBs94Fl7VOsXDZx5ijFpiGf59tizv3KNO-3_2k8A5sY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,104091924,,,,Вторичный,,,135 000 €,Продам,3-х комнатная квартира,3,Агентство,,,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 1",
,120 м²,,7,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103682003?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ4NTUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2ODIwMDMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYWIzMzA5OWItNzRkYS00NmFjLTk4NTMtYTZlOGVlNTA1NTc0IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDIxOjQwOjU1LjYzMDA1MjYyNVoifX0.1ommwFZMQ2fKJzFEAfux5mtHvhhaQMEUNUyFHarW-do&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,103682003,,,,Вторичный,,Квартира с ливингом,1 350 €,Сдаю помесячно,3-х комнатная квартира,3,Частное лицо,,,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Iorga, 9",
,92 м²,Eвроремонт,15,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104074130?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ4NTUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNzQxMzAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMTU4MzhjMjQtMTk2MS00Y2FlLWJhYzUtM2ZiY2RmYmVhNDU3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQyMTo0MDo1NS42Mjk2MTkwODNaIn19.ijzuE1Erou85PxDovMSa18J6aIRX5a00QQiCOvsox4g&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,104074130,,,,Новострой,,Квартира с ливингом,229 000 €,Продам,3-х комнатная квартира,1,Агентство,,Kирпичный,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/A",Exfactor-grup
,70 м²,Eвроремонт,6,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103861839?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ4NTUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4NjE4MzkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYmRiZThhZDQtODliNi00OTk5LWEyZDUtMWMyZGU3YzVjZTc5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQyMTo0MDo1NS42Mjk2NjE2MTFaIn19.HABV45QU_mCySsGGQbGd1B7oeFDD_8pZq05aNBvDG8A&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,103861839,,,,Новострой,,Квартира с ливингом,154 900 €,Продам,3-х комнатная квартира,4,Частное лицо,,,"Кишинёв мун., Кишинёв, Буюканы, bd. Alba-Iulia, 91/1",
1,41 м²,,12,Oткрытое,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103723243?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ4NTUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3MjMyNDMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlMjAxMjEyLTFiNjYtNGE1NS1hZjUwLWI1YTQ2YzFhZjRmMCIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMjE6NDA6NTUuNjI5NjgyMzE3WiJ9fQ.IIDhVA41TB_hbvRKyNixxQvMVJ2uMJ244A24M6QrCRc&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,103723243,,,,Новострой,,Квартира с ливингом,127 000 €,Продам,1-комнатная квартира,10,Агентство,,,"Кишинёв мун., Кишинёв, Рышкановка, str. Cornesti, 17",Lagmar Impex
,68 м²,Белый вариант,16,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104057130?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ4NTUsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNTcxMzAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMTMyZmIzMGMtMTMzMi00NDA4LWI2Y2UtNTU2ZjZiM2FmMjcxIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDIxOjQwOjU1LjYyOTcxNDYxN1oifX0.gqlAt5jNm3U8kYLPriJYbqTY-Zegz6ldAqWOLU9gTUU&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,104057130,,,,Новострой,2,,122 900 €,Продам,2-х комнатная квартира,4,Частное лицо,,,"Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 18/1",Inamstro
1,65 м²,Eвроремонт,5,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104116587?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ4NTUsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQxMTY1ODciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYTQyMzI4ZjYtMDZmOS00YTA5LWE3ODEtNDZlMzBkMTAyZjI1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDIxOjQwOjU1LjYyOTgwMzk5MloifX0.FvpyFGyKZP4ulwbI_BX_FHbqS0A-mvIEDUJpg0_Ka5g&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,104116587,25 м²,40 м²,Индивидуальная,Вторичный,1,Квартира с ливингом,139 999 €,Продам,2-х комнатная квартира,4,Частное лицо,260 см,Kотельцовый,"Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 326",
,41 м²,,16,,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103925431?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ4NTUsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MjU0MzEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiN2Q1YzJhNTAtOTQ4OC00YzcyLTg2YmUtNDAwZGQzZjdkZDY2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDIxOjQwOjU1LjYyOTg0NzEwOFoifX0.CxyoKu8mIscNKV049AkgRVanustE_VKDVzocfdnkm8E&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,103925431,,,,Вторичный,,Квартира с ливингом,76 500 €,Продам,1-комнатная квартира,7,Частное лицо,,,"Кишинёв мун., Кишинёв, Буюканы, str. Eugen Coca, 19",
