Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Белый вариант,1,,,Агентство,104385235,https://999.md/ru/104385235?location=subcategory&index=2965&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,10,50 м²,Oткрытое,2-х комнатная квартира,Новострой,Solomon Construct Imobil,,,85 000 €,,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98/A"
Нет,Eвроремонт,1,Индивидуальная,,Агентство,103118017,https://999.md/ru/103118017?location=subcategory&index=2966&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,15,17,43 м²,Oткрытое,1-комнатная квартира,Новострой,,,,57 900 €,,Продам,"1-комнатная квартира,  Центр,  Ставчены,  Кишинёв мун.","Кишинёв мун., Ставчены, Центр, Unirii, 20\2"
2,Eвроремонт,1,,,Агентство,104524464,https://999.md/ru/104524464?location=subcategory&index=2967&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,8,12,54 м²,,2-х комнатная квартира,Новострой,Exfactor-grup,,,172 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/B"
,Eвроремонт,1,,,Агентство,102294278,https://999.md/ru/102294278?location=subcategory&index=2968&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,12,50 м²,Подземная,1-комнатная квартира,Новострой,Exfactor-grup,,,149 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28"
1,Eвроремонт,,,,Агентство,104566329,https://999.md/ru/104566329?location=subcategory&index=2969&cardCategoryId=270&cardSubcategoryId=1404,,3,5,35 м²,,1-комнатная квартира,Вторичный,,,,75 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Gheorghe Madan, 87/2"
,Белый вариант,1,,,Агентство,104580808,https://999.md/ru/104580808?location=subcategory&index=2970&cardCategoryId=270&cardSubcategoryId=1404,,2,4,25 м²,,1-комнатная квартира,Вторичный,,,,46 000 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 5/3"
1,Eвроремонт,1,Индивидуальная,,Агентство,104586563,https://999.md/ru/104586563?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjkyMjAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1ODY1NjMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjNjOGU4NDA4LWE3NDAtNDViOC1iODU0LTYwZTYyMTljNWExYiIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InBsdXMiLCJ0IjoiMjAyNi0wNi0xNFQxOTozMzo0MC43Mzk3MTgzMzlaIn19.ixSsAGw-unQI74Q5Ig7cPPQNQg6fVZnrk76GLnl89fs&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2971&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,3,7,49 м²,Oткрытое,1-комнатная квартира,Новострой,Dansicons,15 м²,25 м²,89 500 €,,Продам,"1-комнатная квартира,  Центр,  Оргеев,  Оргеев","Оргеев, Оргеев, Центр, str. Constantin Negruzzi, 91"
,Белый вариант,,,,Застройщик,103556500,https://999.md/ru/103556500?location=subcategory&index=2972&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,12,73 м²,Подземная,3-х комнатная квартира,Новострой,Estate Invest Company,,,72 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Расположение
,Белый вариант,,,,Застройщик,103555244,https://999.md/ru/103555244?location=subcategory&index=2973&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,12,73 м²,Подземная,2-х комнатная квартира,Новострой,Estate Invest Company,,,72 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Расположение
Нет,Eвроремонт,1,Индивидуальная,,Агентство,102767453,https://999.md/ru/102767453?location=subcategory&index=2974&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,3,9,65 м²,Oткрытое,2-х комнатная квартира,Новострой,Nicons,,,133 900 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Cartusa, 95/4"
,Индивидуальный дизайн,1,Индивидуальная,280 см,Агентство,104565282,https://999.md/ru/104565282?location=subcategory&index=2975&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,9,54 м²,Oткрытое,2-х комнатная квартира,Новострой,Inamstro,,,148 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/8"
,,1,,,Агентство,104021414,https://999.md/ru/104021414?location=subcategory&index=2976&cardCategoryId=270&cardSubcategoryId=1404,,7,20,83 м²,,3-х комнатная квартира,Новострой,,,,205 000 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 15"
1,Eвроремонт,2,102,,Частное лицо,103708775,https://999.md/ru/103708775?location=subcategory&index=2977&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,5,60 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,52 м²,86 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Яловены,  Яловены","Яловены, Яловены, Центр, str. Prieteniei, 10"
