Балкон / лоджия,Планировка,Ливинг,link,Застройщик,Площадь кухни,Парковочное место,Этаж,Санузел,Высота потолков,price,Количество этажей,Общая площадь,Адрес,id,Жилой фонд,Тип здания,Жилая площадь,title,Тип,Автор объявления,Количество комнат,Состояние квартиры
Нет,,,https://999.md/ru/80783257?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTMxOTMsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4MDc4MzI1NyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiJlNDhjZmZiOC0zMjg4LTQyNWQtYTRiOC05NTZhZGY0YmI1MzkiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDE4OjI2OjMzLjQ1NTEzNjI5OFoifX0.c0q_0WE91U9YO2wgPYd-ImFGG-f12GMrLILQE6cy04I&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,,,Oткрытое,8,1,,40 €,15,40 м²,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/6",80783257,Новострой,Kотельцовый,,"1-комнатная квартира, 40 м², Центр, Кишинёв",Сдаю посуточно,Частное лицо,1-комнатная квартира,Eвроремонт
,,Квартира с ливингом,https://999.md/ru/102884930?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTMxOTMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4ODQ5MzAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImQ4MGQyMmM1LTA3NTQtNDgxYS05Y2IxLTM2N2YzNzFmYTMzNiIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTg6MjY6MzMuNDU1MjQzMDZaIn19.Dkb-NSbMgkxmV8U6nEqHVdDmLUH65ryfNAc9hg6PB3I&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,,,,5,,,83 000 €,5,47 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 161/4",102884930,Вторичный,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,
1,,Квартира с ливингом,https://999.md/ru/103656242?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTMxOTMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NTYyNDIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNmFkNzdiNWUtNjYwNS00MjUxLTlhNDYtNmQxMzcwMTU3N2ViIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODoyNjozMy40NTUyODY5OTZaIn19.StqtkeJ0BDDcd9vkXq17XL3fku996FGSKP1w7ilbUjg&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,Exfactor-grup,,,5,2,,106 999 €,12,47 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",103656242,Новострой,,,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Частное лицо,1-комнатная квартира,Сдан в эксплуатацию
1,,Квартира с ливингом,https://999.md/ru/104101728?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTMxOTMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQxMDE3MjgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZjFiYmE3ZjUtM2Y4ZC00OTBjLWE5ZWUtZmNjZGI2MGI5YjE0IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODoyNjozMy40NTUzNzY4MTZaIn19.LTdcS8qYDDNuCADKmXKc1b_4I0KD9nlp-8M_Gphfs4g&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,Exfactor-grup,,Подземная,9,2,,192 000 €,13,75 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",104101728,Новострой,Kирпичный,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,,Квартира с ливингом,https://999.md/ru/103690117?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTMxOTMsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2OTAxMTciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYTVhYWQ1ODAtYmZhZi00MGRhLWJmNGEtN2E1MzBiMjJhODdkIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxODoyNjozMy40NTQ1Mjk0NTRaIn19._wOLWHJJhTVTZh7AiRVgWHkONqMDLCPfyM8hB-NiQ3U&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,,,Подземная,8,1,,1 100 €,9,75 м²,"Кишинёв мун., Кишинёв, Рышкановка, bd. Renașterii Naționale, 4",103690117,Новострой,,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Агентство,2-х комнатная квартира,Eвроремонт
1,,Квартира с ливингом,https://999.md/ru/104096121?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTMxOTMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTYxMjEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNGJhODcwMWEtNjY4Zi00ZDdhLWJlMWQtYjkyYzZmYmVkMGVlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjI2OjMzLjQ1NDYwNDk1OVoifX0.ZcVtf_D8rbFReSjQX6jhF-3MECq-3kA-6H306GXLCCc&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,,,Oткрытое,7,2,,172 000 €,11,84 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 257",104096121,Новострой,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Eвроремонт
2,,Квартира с ливингом,https://999.md/ru/102831939?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTMxOTMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzE5MzkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTg6MjY6MzMuNDU0NjQwMDc4WiJ9fQ.9YMgmWg_GFFRFypQcnzvDu0t-46nvJdl9dIsFfV3uEU&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,Astercon,12 м²,Гараж,2,2,286 см,103 397 €,6,77 м²,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",102831939,Новострой,Ячеистый Бетон,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Белый вариант
1,,Квартира с ливингом,https://999.md/ru/89828684?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTMxOTMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTgyODY4NCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiMWNiZjkwMzctODQ5Ny00ZGRlLWE0NDgtZjliY2MxOGRlOGZlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODoyNjozMy40NTQ3MTM3MjNaIn19.4Z6jb4hjCgJQHZ6s18JkhEEAgeu0kvYswi-qpK3fFs0&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,,,Подземная,3,1,,600 MDL,9,55 м²,Расположение,89828684,Новострой,,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Агентство,3-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/84343494?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTMxOTMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4NDM0MzQ5NCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiJhYzcxM2Q1NC0xOWRhLTQxNzEtYmExNy1jMDJkNmFjZmQ1ZDAiLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJsaXRlIiwidCI6IjIwMjYtMDQtMjBUMTg6MjY6MzMuNDU0ODcwOTUzWiJ9fQ.C0l9tSHRdzPABN8fuSCAjjXMkmIInA_f-lKIaPmc7jY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,,,,2,,,500 MDL,5,50 м²,"Кишинёв мун., Кишинёв, Центр, str. Grădinilor, 23",84343494,Вторичный,Kотельцовый,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Частное лицо,1-комнатная квартира,
,,Квартира без ливинга,https://999.md/ru/103867501?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTMxOTMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4Njc1MDEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNjNmMDg1NDAtOGMxYy00ZWI4LWI5NTEtYmFmNjJmNDExMmUwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjI2OjMzLjQ1NDkyNDY4OFoifX0.1axoBVhAhcKBJSbO4DgLnXCNJ2oCb0aCPSlYO4aEN94&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,,,Oткрытое,8,1,,50 €,17,64 м²,"Кишинёв мун., Кишинёв, Центр, str. Melestiu, 26/10",103867501,Новострой,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Частное лицо,2-х комнатная квартира,
