Санузел,Общая площадь,Состояние квартиры,Количество этажей,Парковочное место,title,link,id,Площадь кухни,Жилая площадь,Планировка,Жилой фонд,Балкон / лоджия,Ливинг,price,Тип,Количество комнат,Этаж,Автор объявления,Высота потолков,Тип здания,Адрес,Застройщик
1,54 м²,Белый вариант,12,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/101739166?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQyODAsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3MzkxNjYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiOWUwYzE0NTktMWUwMS00ZjMyLWJiODktZDY2ODMzZGQwNmY2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQyMTozMToyMC4wNzM5OTgxNDlaIn19.cmbksJMoKaFL4vu15AMmn4Mm94KUUhryuI4qarl76BY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,101739166,,,Индивидуальная,Новострой,,Квартира с ливингом,195 000 €,Продам,1-комнатная квартира,2,Частное лицо,,Kирпичный,"Кишинёв мун., Кишинёв, Центр, str. Serghei Lazo, 46",NG Invest
,46 м²,Белый вариант,12,,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/102448359?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQyODAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI0NDgzNTkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiM2UwMTBlM2ItMmUzMi00NTlkLTgxYjUtZTEwNzA0YjdmN2Q2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDIxOjMxOjIwLjA3NDAzODYwMloifX0.bIecm2SzZIeEoekKIgy0hUdXrazg7IowFKQSI4EuCTo&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,102448359,,46 м²,,Новострой,,,82 800 €,Продам,Комната,4,Частное лицо,,,"Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 18/1",Inamstro
,58 м²,Индивидуальный дизайн,10,Подземная,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103351010?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQyODAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNTEwMTAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZjkzMTdiMDAtNDlkZS00ZmFmLThkYmQtN2UwZjhiN2EyMjBlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQyMTozMToyMC4wNzQwOTc4ODdaIn19.rxyCbfoNocs5ofWSRkmKz7Szzlj8gsfuzAsJfkUiKOk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,103351010,,,,Новострой,2,Квартира с ливингом,166 000 €,Продам,1-комнатная квартира,9,Частное лицо,,Kотельцовый,"Кишинёв мун., Кишинёв, Ботаника, str. Independentei, 1/A",Urbanconstruct-tt
2,82 м²,,9,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104119679?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQyODAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQxMTk2NzkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiNzNkYTg2NDQtODhmYy00NzgyLTk5OWEtYjBiYjgxMDU4ODBlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQyMTozMToyMC4wNzQxNDQ0M1oifX0.1DJmiNswoAZqobQGCR-i9DMvOOEqqv3nCrPtMoZITsA&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,104119679,17 м²,,,Вторичный,3,,118 500 €,,3-х комнатная квартира,4,Агентство,,,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 29",
2,126 м²,Белый вариант,13,Подземная,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",https://999.md/ru/102625611?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQyODAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI2MjU2MTEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiODVmZTRiMzQtYjgxMS00ZGQ5LTllMTgtZmIyZjMyOGFmYWUzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQyMTozMToyMC4wNzM1OTQzMzVaIn19.aEVbBGQKsHKmJwGH0JTIz-NP_Sgub9rfAhocXMQcLMs&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,102625611,,,,Новострой,2,Квартира с ливингом,207 900 €,Продам,2-х комнатная квартира,13,Застройщик,,,"Кишинёв мун., Кишинёв, Рышкановка, ул. Язулуй, 38",Ecovzor
2,102 м²,Eвроремонт,10,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103856623?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQyODAsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4NTY2MjMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiNTJlY2FmYmMtOWNhYi00MjE5LThjZTEtNjYxNDhkMDY3YWUwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQyMTozMToyMC4wNzM2NDc0NzNaIn19.laqSb7yMcyrRVFYN2wK-4rGmNgU56vLZntW0eSDCqUY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,103856623,,,,Новострой,1,Квартира с ливингом,240 000 €,Продам,2-х комнатная квартира,3,Частное лицо,,Kомбинированный,"Кишинёв мун., Кишинёв, Ботаника, str. Hristo Botev, 6",Exfactor-grup
2,130 м²,Eвроремонт,11,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103749006?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQyODAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3NDkwMDYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiNmJlOWZmY2UtODhjNC00MjU4LTg2YTYtMDA0ZmFiOGM0OGQ3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQyMTozMToyMC4wNzM2NzE0NjdaIn19.8iH5aznB3EElyY-AZfTQgyb26FlCDJdgtco7JzK_Izk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,103749006,,,,Новострой,1,Квартира с ливингом,192 000 €,Продам,2-х комнатная квартира,10,Агентство,,,"Кишинёв мун., Кишинёв, Ботаника, ул. Гренобле, 128/1",
2,98 м²,Eвроремонт,13,Подземная,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/84766953?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQyODAsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4NDc2Njk1MyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiZmNjMGMzOTItYjk1Yi00MmY0LTgxNDItMjE0MTRjYjRhNDQyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQyMTozMToyMC4wNzM2OTU0MjZaIn19.77D7qlee0X-rvUwUXDSUF14ahNfPpkwU8w5JLWCxUF8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,84766953,,89 м²,,Новострой,1,Квартира с ливингом,1 300 €,Сдаю помесячно,2-х комнатная квартира,6,Частное лицо,,,"Кишинёв мун., Кишинёв, Центр, str. Melestiu, 26/5",
1,78 м²,Индивидуальный дизайн,4,Oткрытое,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/100196722?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQyODAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDAxOTY3MjIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiZjVhOGYzYTctZDNmMC00MjdlLThjNjktMTQwYzI1YmMwZTc5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDIxOjMxOjIwLjA3Mzc5OTE2OVoifX0.2oLEwGZYxm33jpXJ_RKu7I2PjIAjGsf1_-Z1dVefzMs&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,100196722,,,,Вторичный,,Квартира с ливингом,800 €,Сдаю помесячно,3-х комнатная квартира,3,Частное лицо,,Kотельцовый,"Кишинёв мун., Кишинёв, Центр, str. Alexandr Pușkin, 30",
2,100 м²,Индивидуальный дизайн,8,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/89697488?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQyODAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTY5NzQ4OCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InBybyIsImwiOiIyNTQ3ZWNjMi1hZjQxLTRhZjAtOTVlYi00YjBlMjg0Zjc3N2EiLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA0LTIwVDIxOjMxOjIwLjA3MzgyMzU1OFoifX0.9QPmAOFlDEQYe-1APeFI0KwID7ulqSKyCEHJmfvuZZY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,89697488,,100 м²,Индивидуальная,Новострой,,Квартира с ливингом,245 000 €,Продам,3-х комнатная квартира,2,Застройщик,,Kирпичный,"Кишинёв мун., Кишинёв, Центр, str. Avram Iancu, 32",Inamstro
