Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Сдан в эксплуатацию,1,,,Застройщик,103230752,https://999.md/ru/103230752?location=subcategory&index=469&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,12,45 м²,1-комнатная квартира,,Новострой,,,,115 000 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Ion Nistor, 2"
Нет,Eвроремонт,2,,,Частное лицо,104522861,https://999.md/ru/104522861?location=subcategory&index=470&cardCategoryId=270&cardSubcategoryId=1404,,4,9,69 м²,2-х комнатная квартира,,Новострой,,,69 м²,349 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Grigore Alexandrescu, 3/A"
,Eвроремонт,,Индивидуальная,,Частное лицо,104613497,https://999.md/ru/104613497?location=subcategory&index=471&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,6,10,75 м²,3-х комнатная квартира,,Новострой,Astercon,,65 м²,159 500 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
1,Белый вариант,1,,,Частное лицо,103070175,https://999.md/ru/103070175?location=subcategory&index=472&cardCategoryId=270&cardSubcategoryId=1404,,2,7,49 м²,1-комнатная квартира,,Новострой,,,49 м²,75 000 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 59/B"
,Eвроремонт,1,,,Частное лицо,104598335,https://999.md/ru/104598335?location=subcategory&index=473&cardCategoryId=270&cardSubcategoryId=1404,,2,9,65 м²,2-х комнатная квартира,,Новострой,,,,220 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 10"
1,Белый вариант,1,Индивидуальная,250 см,Частное лицо,104602203,https://999.md/ru/104602203?location=subcategory&index=474&cardCategoryId=270&cardSubcategoryId=1404,Бетон,5,12,39 м²,1-комнатная квартира,Oткрытое,Новострой,Sky House,,39 м²,52 000 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 11"
,Eвроремонт,,,,Застройщик,102360791,https://999.md/ru/102360791?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjUwNzIsIkMiOnsiciI6MSwiYiI6MTYwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDIzNjA3OTEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjAzMDc3ZTgyLTVkNDctNGMzZC05OTAxLWFjN2MzZmE1OGZhNCIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTg6MjQ6MzIuNjkzNDMyNDA1WiJ9fQ.VhOJsFRsoowm7a0xqPRTfoNv2kqfkhh45kCQ_JlrPig&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=475&cardCategoryId=270&cardSubcategoryId=1404,,4,8,67 м²,2-х комнатная квартира,,Новострой,,,,102 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Оргеев,  Кишинёв мун.",Расположение
1,Без ремонта,1,135,3 см,Частное лицо,102655558,https://999.md/ru/102655558?location=subcategory&index=476&cardCategoryId=270&cardSubcategoryId=1404,Панельный,1,9,70 м²,3-х комнатная квартира,Oткрытое,Вторичный,,11 м²,36 м²,89 000 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 16/1"
,Eвроремонт,2,,,Застройщик,104323811,https://999.md/ru/104323811?location=subcategory&index=477&cardCategoryId=270&cardSubcategoryId=1404,,12,12,92 м²,3-х комнатная квартира,,Новострой,,,,178 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 61/2"
,Индивидуальный дизайн,,,,Агентство,104082890,https://999.md/ru/104082890?location=subcategory&index=478&cardCategoryId=270&cardSubcategoryId=1404,,9,9,50 м²,2-х комнатная квартира,Подземная,Новострой,,,,139 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 11."
,,,,,Застройщик,102764891,https://999.md/ru/102764891?location=subcategory&index=479&cardCategoryId=270&cardSubcategoryId=1404,,2,8,47 м²,1-комнатная квартира,,Новострой,,,,97 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",Расположение
2,Eвроремонт,1,,,Агентство,104579502,https://999.md/ru/104579502?location=subcategory&index=480&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,9,56 м²,2-х комнатная квартира,,Новострой,Solomon Construct Imobil,,,125 000 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98/1"
,Белый вариант,,,,Застройщик,103731260,https://999.md/ru/103731260?location=subcategory&index=481&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,16,17,105 м²,2-х комнатная квартира,,Новострой,,,,269 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1/E"
,Eвроремонт,1,,,Агентство,103454687,https://999.md/ru/103454687?location=subcategory&index=482&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,14,70 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,,,210 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28"
1,Eвроремонт,1,Брж (Брежневка),,Агентство,104581039,https://999.md/ru/104581039?location=subcategory&index=483&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,60 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,100 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,,,,,102159300,https://999.md/ru/102159300?location=subcategory&index=484&cardCategoryId=270&cardSubcategoryId=1404,,13,13,93 м²,3-х комнатная квартира,,Новострой,Inamstro,,,315 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 6"
1,Белый вариант,2,,,Застройщик,102868663,https://999.md/ru/102868663?location=subcategory&index=485&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,9,9,90 м²,3-х комнатная квартира,Подземная,Новострой,Exfactor-grup,,,148 500 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
1,Белый вариант,2,,,Застройщик,102868696,https://999.md/ru/102868696?location=subcategory&index=486&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,8,9,88 м²,3-х комнатная квартира,Подземная,Новострой,Exfactor-grup,,,145 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
,Незавершенное cтроительство,2,,,Застройщик,102954162,https://999.md/ru/102954162?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjUwNzIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI5NTQxNjIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTg6MjQ6MzIuNjkzNTQzNzExWiJ9fQ.lNirsbV2VC_jr18hBLTkPtY2GU8h1dHrzd_qWKtAbhk&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=487&cardCategoryId=270&cardSubcategoryId=1404,,9,9,79 м²,2-х комнатная квартира,,Новострой,,,,87 010 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24/a"
,Eвроремонт,,Индивидуальная,,Частное лицо,89489902,https://999.md/ru/89489902?location=subcategory&index=488&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,9,11,67 м²,2-х комнатная квартира,,Новострой,Reconscivil,,,179 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 7/1"
1,Белый вариант,2,Индивидуальная,275 см,Застройщик,104593998,https://999.md/ru/104593998?location=subcategory&index=489&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,9,106 м²,3-х комнатная квартира,Гараж,Новострой,Astercon,19 м²,,154 000 €,,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Durleşti, 10/A"
1,Eвроремонт,1,,,Агентство,104593505,https://999.md/ru/104593505?location=subcategory&index=490&cardCategoryId=270&cardSubcategoryId=1404,,4,4,33 м²,1-комнатная квартира,,Вторичный,,,,71 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Gheorghe Asachi, 48/2"
Нет,Нуждается в ремонте,1,Хрущевка,250 см,Агентство,103963850,https://999.md/ru/103963850?location=subcategory&index=491&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,41 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,41 м²,65 000 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Tudor Vladimirescu, 8"
1,Индивидуальный дизайн,1,Индивидуальная,,Агентство,104309090,https://999.md/ru/104309090?location=subcategory&index=492&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,4,36 м²,1-комнатная квартира,Oткрытое,Вторичный,,7 м²,18 м²,60 499 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Nikolai Zelinski, 30/1"
2,Eвроремонт,2,135,,Агентство,104589375,https://999.md/ru/104589375?location=subcategory&index=493&cardCategoryId=270&cardSubcategoryId=1404,,7,9,70 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,137 900 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
1,,1,,,Агентство,104589429,https://999.md/ru/104589429?location=subcategory&index=494&cardCategoryId=270&cardSubcategoryId=1404,,3,7,49 м²,1-комнатная квартира,Oткрытое,Новострой,Dansicons,,,89 500 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Центр,  Оргеев,  Оргеев","Оргеев, Оргеев, Центр, str. Constantin Negruzzi, 91"
1,Eвроремонт,1,,,Застройщик,104575950,https://999.md/ru/104575950?location=subcategory&index=495&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,10,40 м²,1-комнатная квартира,Oткрытое,Новострой,,,,69 990 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 99/5"
,,,,,Застройщик,104158924,https://999.md/ru/104158924?location=subcategory&index=496&cardCategoryId=270&cardSubcategoryId=1404,,7,15,48 м²,1-комнатная квартира,,Новострой,,,,86 400 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Renașterii Naționale, 35"
,,,,,Застройщик,104158855,https://999.md/ru/104158855?location=subcategory&index=497&cardCategoryId=270&cardSubcategoryId=1404,,7,9,70 м²,2-х комнатная квартира,,Новострой,,,,91 000 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Doina, 158"
,,,,,Застройщик,104158841,https://999.md/ru/104158841?location=subcategory&index=498&cardCategoryId=270&cardSubcategoryId=1404,,6,9,55 м²,2-х комнатная квартира,,Новострой,Estate Invest Company,,,71 500 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Doina, 158"
,,,,,Застройщик,104158948,https://999.md/ru/104158948?location=subcategory&index=499&cardCategoryId=270&cardSubcategoryId=1404,,13,15,45 м²,1-комнатная квартира,,Новострой,,,,81 000 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Renașterii Naționale, 35"
,,,,,Застройщик,104159009,https://999.md/ru/104159009?location=subcategory&index=500&cardCategoryId=270&cardSubcategoryId=1404,,13,15,80 м²,2-х комнатная квартира,,Новострой,,,,178 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Melestiu, 16/2"
,,,,,Застройщик,104158894,https://999.md/ru/104158894?location=subcategory&index=501&cardCategoryId=270&cardSubcategoryId=1404,,9,15,48 м²,1-комнатная квартира,,Новострой,,,,86 400 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Renașterii Naționale, 35"
,Незавершенное cтроительство,,,,Частное лицо,104155770,https://999.md/ru/104155770?location=subcategory&index=502&cardCategoryId=270&cardSubcategoryId=1404,,4,16,134 м²,4-x комнатная квартира,,Новострой,Estate Invest Company,,,133 000 €,,Продам,"4-x комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 2"
,Незавершенное cтроительство,,,,Застройщик,104158815,https://999.md/ru/104158815?location=subcategory&index=503&cardCategoryId=270&cardSubcategoryId=1404,,5,9,40 м²,1-комнатная квартира,,Новострой,Estate Invest Company,,,52 000 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Doina, 158"
1,Eвроремонт,1,,,Агентство,104608905,https://999.md/ru/104608905?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjUwNzIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MDg5MDUiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiZjMzYmVhMjEtZmNjZi00ZGEyLWFlZjItNjA1ZDhiOWY3MDY2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODoyNDozMi42OTM2NjMzMTNaIn19.B7cPuxMOF2ZYpy37g8lNxjuJ5Se6XFawxdDmPzVG11I&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=504&cardCategoryId=270&cardSubcategoryId=1404,,4,4,33 м²,1-комнатная квартира,,Вторичный,,,,71 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Gheorghe Asachi, 48/2"
,Незавершенное cтроительство,,,,Частное лицо,104158646,https://999.md/ru/104158646?location=subcategory&index=505&cardCategoryId=270&cardSubcategoryId=1404,,3,9,50 м²,1-комнатная квартира,,Новострой,Estate Invest Company,,50 м²,65 000 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Doina, 158"
Нет,Белый вариант,,,,Застройщик,104155792,https://999.md/ru/104155792?location=subcategory&index=506&cardCategoryId=270&cardSubcategoryId=1404,,10,10,147 м²,4-x комнатная квартира,,Новострой,,,120 м²,176 400 €,Квартира с ливингом,Продам,"4-x комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.","Кишинёв мун., Гидигич, Центр, str. Ştefan cel Mare și Sfînt, 1/b"
