Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Площадь кухни,Застройщик,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Белый вариант,2,Индивидуальная,,Агентство,100466393,https://999.md/ru/100466393?location=subcategory&index=2107&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,Пентхаус,10,146 м²,4-x комнатная квартира,Oткрытое,Новострой,20 м²,,,146 600 €,Квартира с ливингом,Продам,"4-x комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95/3"
,Eвроремонт,1,,,Агентство,103886954,https://999.md/ru/103886954?location=subcategory&index=2108&cardCategoryId=270&cardSubcategoryId=1404,,9,9,23 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,41 900 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,2,,,Агентство,103247014,https://999.md/ru/103247014?location=subcategory&index=2109&cardCategoryId=270&cardSubcategoryId=1404,,1,3,74 м²,2-х комнатная квартира,,Вторичный,,,,135 000 €,,Продам,"2-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, ул. Каля Ешилор, 0"
1,Белый вариант,2,Индивидуальная,,Агентство,103031874,https://999.md/ru/103031874?location=subcategory&index=2110&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,Пентхаус,10,162 м²,3-х комнатная квартира,Oткрытое,Новострой,15 м²,,,178 200 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Окраина, str. Cartuşa, 95"
1,Белый вариант,2,,,Агентство,104509778,https://999.md/ru/104509778?location=subcategory&index=2111&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,10,72 м²,2-х комнатная квартира,Подземная,Новострой,,,,137 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Valea Crucii, 9"
2,Eвроремонт,2,,,Агентство,104092407,https://999.md/ru/104092407?location=subcategory&index=2112&cardCategoryId=270&cardSubcategoryId=1404,,10,12,112 м²,3-х комнатная квартира,,Вторичный,,,,179 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, -"
1,Eвроремонт,1,135,,Агентство,103501176,https://999.md/ru/103501176?location=subcategory&index=2113&cardCategoryId=270&cardSubcategoryId=1404,,3,9,47 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,98 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu , **"
1,Белый вариант,,,280 см,Застройщик,100908244,https://999.md/ru/100908244?location=subcategory&index=2114&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,10,47 м²,1-комнатная квартира,Подземная,Новострой,,Braus Imobiliare,,65 990 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, sos. Hincesti, 140/1"
1,Белый вариант,1,Индивидуальная,286 см,Застройщик,102196003,https://999.md/ru/102196003?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njc3MzUsIkMiOnsiciI6MSwiYiI6MTYwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDIxOTYwMDMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTk6MDg6NTUuOTc5NzkwNDc1WiJ9fQ.ZYveTZ8gjhSM15-khAMpQpBVX2clNqwpsg7PAhf0FLE&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2115&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,2,6,50 м²,Комната,Гараж,Новострой,12 м²,Astercon,,72 384 €,Квартира с ливингом,Продам,"Комната,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Durlești, 8"
2,Eвроремонт,2,Индивидуальная,,Агентство,102800162,https://999.md/ru/102800162?location=subcategory&index=2116&cardCategoryId=270&cardSubcategoryId=1404,,7,17,90 м²,3-х комнатная квартира,,Новострой,,,,209 000 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, --"
