Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Белый вариант,2,Индивидуальная,,Агентство,102050455,https://999.md/ru/102050455?location=subcategory&index=1249&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,10,68 м²,2-х комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,,93 900 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, Ceucari, B-04"
1,Косметический pемонт,1,,,Агентство,104565524,https://999.md/ru/104565524?location=subcategory&index=1250&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,19 м²,Комната,Oткрытое,Вторичный,,,,21 500 €,,Продам,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Salcâmilor, 22/5"
1,Белый вариант,1,Индивидуальная,,Агентство,104240606,https://999.md/ru/104240606?location=subcategory&index=1251&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,11,14,65 м²,2-х комнатная квартира,Oткрытое,Новострой,Lagmar Impex,14 м²,51 м²,126 750 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Nicolae Testemițanu, 19/A"
1,Eвроремонт,1,,,Агентство,104590054,https://999.md/ru/104590054?location=subcategory&index=1252&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,8,9,67 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,129 900 €,,Продам,"2-х комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.","Кишинёв мун., Гидигич, Центр, str. Ștefan cel Mare și Sfînt, 1/B"
Нет,Косметический pемонт,1,Хрущевка,,Агентство,104581795,https://999.md/ru/104581795?location=subcategory&index=1253&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,45 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,67 900 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Creangă, 70"
1,Белый вариант,2,Индивидуальная,,Агентство,103567025,https://999.md/ru/103567025?location=subcategory&index=1254&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,10,60 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,70 000 €,,Продам,"2-х комнатная квартира,  Центр,  Яловены,  Яловены","Яловены, Яловены, Центр, Bul. Stefan cel Mare și Sfint, 1"
1,Белый вариант,2,Индивидуальная,,Агентство,101800822,https://999.md/ru/101800822?location=subcategory&index=1255&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,9,69 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,126 900 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, Ceucari, 5/9"
Нет,Незавершенное cтроительство,2,Индивидуальная,,Агентство,102180295,https://999.md/ru/102180295?location=subcategory&index=1256&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,16,50 м²,1-комнатная квартира,Подземная,Новострой,Lagmar Impex,,,77 100 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Calea Mosilor, 4"
2,Eвроремонт,2,Индивидуальная,,Агентство,104026885,https://999.md/ru/104026885?location=subcategory&index=1257&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,10,20,65 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,124 000 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 40/3"
1,Eвроремонт,2,143,,Агентство,103320656,https://999.md/ru/103320656?location=subcategory&index=1258&cardCategoryId=270&cardSubcategoryId=1404,,9,9,76 м²,3-х комнатная квартира,,Вторичный,,,,74 900 €,,Продам,"3-х комнатная квартира,  Окраина,  Добружа,  Кишинёв мун.","Кишинёв мун., Добружа, Окраина, Ion Creanga, 1"
