Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
2,Eвроремонт,,,,Агентство,104391477,https://999.md/ru/104391477?location=subcategory&index=3979&cardCategoryId=270&cardSubcategoryId=1404,2,,9,98 м²,4-x комнатная квартира,,Новострой,,,189 000 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, -","4-x комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,270 см,,Застройщик,103749456,https://999.md/ru/103749456?location=subcategory&index=3980&cardCategoryId=270&cardSubcategoryId=1404,6,,7,81 м²,3-х комнатная квартира,,Новострой,,,80 600 €,Квартира с ливингом,Продам,"Кишинёв мун., Криково, Центр, str. Calea Basarabiei, 2A","3-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",13 м²
1,Белый вариант,1,290 см,,Застройщик,100971040,https://999.md/ru/100971040?location=subcategory&index=3981&cardCategoryId=270&cardSubcategoryId=1404,2,,4,61 м²,2-х комнатная квартира,Подземная,Новострой,,,69 954 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 102","2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,1,,Индивидуальная,Агентство,104076404,https://999.md/ru/104076404?location=subcategory&index=3982&cardCategoryId=270&cardSubcategoryId=1404,1,Kомбинированный,12,63 м²,2-х комнатная квартира,Oткрытое,Новострой,,,112 900 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, Plaiului, 7","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,104302558,https://999.md/ru/104302558?location=subcategory&index=3983&cardCategoryId=270&cardSubcategoryId=1404,12,Ячеистый Бетон,14,50 м²,2-х комнатная квартира,Oткрытое,Новострой,Eldorado Terra,,104 900 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 12/4","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,,143,Агентство,104343697,https://999.md/ru/104343697?location=subcategory&index=3984&cardCategoryId=270&cardSubcategoryId=1404,2,Панельный,9,88 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,162 000 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 29/3","3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Незавершенное cтроительство,1,,Индивидуальная,Агентство,103815458,https://999.md/ru/103815458?location=subcategory&index=3985&cardCategoryId=270&cardSubcategoryId=1404,2,Kотельцовый,9,48 м²,1-комнатная квартира,Oткрытое,Новострой,Poliprim Grup,,49 500 €,,Продам,"Кишинёв мун., Дурлешты, Центр, Nicolae Dimo, 205","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,Белый вариант,,280 см,,Застройщик,80068279,https://999.md/ru/80068279?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzEwNDgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4MDA2ODI3OSIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InByZW1pdW0iLCJsIjoiZWJiNjZjMWUtOWI2NC00YWQwLWE0MGEtMjY4YTQ5YzE4MmI2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJ0IjoiMjAyNi0wNi0xNFQyMDowNDowOC41NzMxMTIzOTFaIn19.XMYdy1KmaDQTXi7MPBwlNMkgNsbrjSGdxzg4It81Q1Q&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3986&cardCategoryId=270&cardSubcategoryId=1404,2,Mонолитный,7,75 м²,2-х комнатная квартира,,Новострой,Boiar House,,74 382 €,,Продам,"Кишинёв мун., Криково, Центр, str. Calea Basarabiei, 2A","2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",
1,Eвроремонт,1,,Индивидуальная,Агентство,102497211,https://999.md/ru/102497211?location=subcategory&index=3987&cardCategoryId=270&cardSubcategoryId=1404,2,Kомбинированный,4,52 м²,2-х комнатная квартира,Oткрытое,Новострой,,,93 400 €,,Продам,"Кишинёв мун., Кишинёв, Телецентр, Pictor Mihai Grecu, 7","2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
1,Незавершенное cтроительство,1,,,Агентство,104161122,https://999.md/ru/104161122?location=subcategory&index=3988&cardCategoryId=270&cardSubcategoryId=1404,4,Бетон,8,45 м²,2-х комнатная квартира,Oткрытое,Новострой,,,85 000 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, Postei, 2","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Незавершенное cтроительство,1,,,Агентство,104161118,https://999.md/ru/104161118?location=subcategory&index=3989&cardCategoryId=270&cardSubcategoryId=1404,5,Бетон,8,37 м²,1-комнатная квартира,Oткрытое,Новострой,,27 м²,79 275 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, Postei, 2","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",10 м²
1,Белый вариант,2,,,Агентство,104161204,https://999.md/ru/104161204?location=subcategory&index=3990&cardCategoryId=270&cardSubcategoryId=1404,1,Kотельцовый,5,64 м²,2-х комнатная квартира,Oткрытое,Новострой,,,112 900 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, Primar Gherman Pântea, 100","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,,143,Агентство,89194148,https://999.md/ru/89194148?location=subcategory&index=3991&cardCategoryId=270&cardSubcategoryId=1404,6,,9,70 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,114 900 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 0","3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,100936789,https://999.md/ru/100936789?location=subcategory&index=3992&cardCategoryId=270&cardSubcategoryId=1404,9,,9,74 м²,2-х комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,205 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 11","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Cерый вариант,2,,Рубашка,Частное лицо,81546972,https://999.md/ru/81546972?location=subcategory&index=3993&cardCategoryId=270&cardSubcategoryId=1404,4,Kотельцовый,5,60 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,88 000 €,,Продам,Расположение,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
3,Eвроремонт,1,,Индивидуальная,Агентство,103961269,https://999.md/ru/103961269?location=subcategory&index=3994&cardCategoryId=270&cardSubcategoryId=1404,3,,11,103 м²,3-х комнатная квартира,Oткрытое,Новострой,,,239 000 €,,Продам,"Кишинёв мун., Кишинёв, Чокана,  bd. Mircea cel Bătrân, 13/2","3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Косметический pемонт,,,,Частное лицо,104609588,https://999.md/ru/104609588?location=subcategory&index=3995&cardCategoryId=270&cardSubcategoryId=1404,3,,5,64 м²,3-х комнатная квартира,,Вторичный,,,42 000 €,,Продам,"Флорешты, Флорешть, Окраина, str. Mihai Viteazul, 5","3-х комнатная квартира,  Окраина,  Флорешть,  Флорешты",
,Eвроремонт,1,,,Агентство,104076825,https://999.md/ru/104076825?location=subcategory&index=3996&cardCategoryId=270&cardSubcategoryId=1404,2,,10,51 м²,1-комнатная квартира,,Новострой,,,96 900 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Atelierilor , 21","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
