Тип,Застройщик,Санузел,id,Ливинг,Этаж,title,Количество комнат,Высота потолков,price,Состояние квартиры,Тип здания,link,Количество этажей,Адрес,Общая площадь,Парковочное место,Балкон / лоджия,Площадь кухни,Автор объявления,Жилой фонд,Планировка,Жилая площадь
Продам,,2,104590055,,5,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,97 000 €,,,https://999.md/ru/104590055?location=subcategory&index=12247&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Центр, str. Albișoara, 78/1",56 м²,,1,,Агентство,Вторичный,,
Продам,Premium-Cons Grup,1,84364638,Квартира с ливингом,1,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,2800 см,87 100 €,Белый вариант,Kомбинированный,https://999.md/ru/84364638?location=subcategory&index=12248&cardCategoryId=270&cardSubcategoryId=1404,8,"Кишинёв мун., Кишинёв, Телецентр, Cartusa, 103",65 м²,Гараж,1,18 м²,Застройщик,Новострой,Индивидуальная,42 м²
Продам,,1,104380215,,4,"2-х комнатная квартира,  7 квартал,  Бельцы,  Бельцы мун.",2-х комнатная квартира,,26 999 €,Без ремонта,Kотельцовый,https://999.md/ru/104380215?location=subcategory&index=12249&cardCategoryId=270&cardSubcategoryId=1404,4,"Бельцы мун., Бельцы, 7 квартал, str. Tudor Vladimirescu, 45",44 м²,Oткрытое,1,,Агентство,Вторичный,,
Продам,,1,104337601,,1,"1-комнатная квартира,  9 квартал,  Бельцы,  Бельцы мун.",1-комнатная квартира,,35 600 €,Косметический pемонт,Панельный,https://999.md/ru/104337601?location=subcategory&index=12250&cardCategoryId=270&cardSubcategoryId=1404,5,"Бельцы мун., Бельцы, 9 квартал, bd. Mihai Eminescu, 1",33 м²,,Нет,,Агентство,Вторичный,,
Продам,,1,104590012,Квартира с ливингом,2,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,117 000 €,Eвроремонт,,https://999.md/ru/104590012?location=subcategory&index=12251&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Ботаника, str. Ghica Vodă, 5",36 м²,Oткрытое,,,Агентство,Новострой,,36 м²
Продам,Ecovzor,2,104311597,Квартира с ливингом,11,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,132 000 €,Белый вариант,Kомбинированный,https://999.md/ru/104311597?location=subcategory&index=12252&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Старая Почта, str. Iazului, 38",79 м²,,1,,Агентство,Новострой,Индивидуальная,
Продам,Inamstro,1,104597678,,6,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,290 см,132 900 €,Сдан в эксплуатацию,Бетон,https://999.md/ru/104597678?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE1OTc5MTMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTc2NzgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImUyNGUxYjNmLWE1NGMtNDVhNy1hYzliLTg0MDNiMDc1NzEwMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6ImxpdGUiLCJ0IjoiMjAyNi0wNi0xNlQwNzoxODozMy41MzA3MzY0NDNaIn19.npQPAkYLVkXcrtRC0JS3TsnZcfJpFlj8l0zLoMvsVWs&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=12253&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Центр, str. Calea Ieșilor, 4",63 м²,Oткрытое,1,,Застройщик,Новострой,Индивидуальная,
Продам,,1,104078087,,1,"2-х комнатная квартира,  Центр,  Чумай,  Тараклия",2-х комнатная квартира,,13 500 €,Индивидуальный дизайн,,https://999.md/ru/104078087?location=subcategory&index=12254&cardCategoryId=270&cardSubcategoryId=1404,2,"Тараклия, Чумай, Центр, str. Lomonosova, 1",60 м²,Oткрытое,1,,Частное лицо,Вторичный,,60 м²
Продам,,2,103662509,Квартира с ливингом,13,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,115 155 €,Белый вариант,,https://999.md/ru/103662509?location=subcategory&index=12255&cardCategoryId=270&cardSubcategoryId=1404,15,"Кишинёв мун., Кишинёв, Чокана, bucovina, 5",85 м²,Oткрытое,2,,Агентство,Новострой,,85 м²
Продам,,1,102822053,,2,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,109 900 €,Eвроремонт,,https://999.md/ru/102822053?location=subcategory&index=12256&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Буюканы, str. Ialoveni, 136",50 м²,,,,Агентство,Новострой,,
