Застройщик,Тип здания,link,Парковочное место,title,Ливинг,Санузел,Количество этажей,Общая площадь,Состояние квартиры,Жилой фонд,Площадь кухни,Количество комнат,price,Адрес,Высота потолков,Тип,Жилая площадь,id,Этаж,Автор объявления,Балкон / лоджия,Планировка
,,https://999.md/ru/104607405?location=subcategory&index=4759&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Центр,  Яловены,  Яловены",Квартира с ливингом,,10,60 м²,Eвроремонт,Новострой,,2-х комнатная квартира,125 500 €,"Яловены, Яловены, Центр, str. Alexandru cel Bun, 2/8",,Продам,,104607405,2,Агентство,,
,,https://999.md/ru/104342295?location=subcategory&index=4760&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,4,30 м²,Косметический pемонт,Вторичный,,1-комнатная квартира,49 000 €,"Кишинёв мун., Кишинёв, Рышкановка, Dumitru Râșcanu , 9",,Продам,,104342295,4,Агентство,1,
,Mонолитный,https://999.md/ru/104607398?location=subcategory&index=4761&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,1,12,48 м²,,Новострой,,1-комнатная квартира,109 900 €,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, -",,Продам,,104607398,7,Агентство,1,
Sky House,Бетон,https://999.md/ru/104357941?location=subcategory&index=4762&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,11,41 м²,Незавершенное cтроительство,Новострой,,1-комнатная квартира,65 000 €,"Кишинёв мун., Кишинёв, Ботаника, str. Cetatea Albă, 11",,Продам,,104357941,8,Частное лицо,,
,,https://999.md/ru/103989711?location=subcategory&index=4763&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,16,41 м²,,Вторичный,,2-х комнатная квартира,69 900 €,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 23",,Продам,,103989711,14,Застройщик,,
,Kирпичный,https://999.md/ru/103409889?location=subcategory&index=4764&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,1,9,57 м²,Белый вариант,Новострой,,1-комнатная квартира,79 900 €,"Кишинёв мун., Кишинёв, Чокана, str. Bucovinei , 1",,Продам,,103409889,7,Агентство,,
,,https://999.md/ru/104198829?location=subcategory&index=4765&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,1,5,54 м²,Косметический pемонт,Вторичный,,2-х комнатная квартира,80 900 €,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, /",,Продам,,104198829,4,Агентство,1,Брж (Брежневка)
,Панельный,https://999.md/ru/104607374?location=subcategory&index=4766&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,1,9,71 м²,Косметический pемонт,Вторичный,,3-х комнатная квартира,123 900 €,"Кишинёв мун., Кишинёв, Чокана, str. Alecu Russo, -",,Продам,,104607374,7,Агентство,2,143
,Kотельцовый,https://999.md/ru/103944831?location=subcategory&index=4767&cardCategoryId=270&cardSubcategoryId=1404,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,2,5,69 м²,Косметический pемонт,Вторичный,,3-х комнатная квартира,117 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Sucevița, 31",,Продам,,103944831,4,Агентство,1,
,Kотельцовый,https://999.md/ru/104607347?location=subcategory&index=4768&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,1,2,28 м²,Eвроремонт,Вторичный,,1-комнатная квартира,58 500 €,"Кишинёв мун., Кишинёв, Ботаника, str. Frumușica, -",,Продам,,104607347,1,Агентство,,
Dansicons,,https://999.md/ru/104432818?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzI3NjYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0MzI4MTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNzdlZmZlMWUtOWFhOC00ZTUzLTgzMTItNDliOGM5ZmUwODA2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDIwOjMyOjQ2LjYzMjAzMzI4WiJ9fQ.D4HzPIx8rmqzx6DvzIoZ9IbwAGSCvj7iHUvQANHnN5U&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=4769&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,,11,60 м²,Сдан в эксплуатацию,Новострой,,1-комнатная квартира,130 000 €,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 21",,Продам,,104432818,8,Частное лицо,,
,,https://999.md/ru/104607343?location=subcategory&index=4770&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,2,9,50 м²,Eвроремонт,Вторичный,,2-х комнатная квартира,110 000 €,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 38",,Продам,,104607343,3,Агентство,,
,,https://999.md/ru/104309726?location=subcategory&index=4771&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,1,9,54 м²,Eвроремонт,Вторичный,,2-х комнатная квартира,112 900 €,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 34/1",,Продам,50 м²,104309726,7,Агентство,1,Мс (Молд. Серия)
