Застройщик,Тип здания,link,Парковочное место,title,Ливинг,Санузел,Количество этажей,Общая площадь,Состояние квартиры,Жилой фонд,Площадь кухни,Количество комнат,price,Адрес,Высота потолков,Тип,Жилая площадь,id,Этаж,Автор объявления,Балкон / лоджия,Планировка
,,https://999.md/ru/104308170?location=subcategory&index=4369&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,,10,65 м²,,Новострой,,2-х комнатная квартира,149 900 €,"Кишинёв мун., Кишинёв, Телецентр, str. Sprîncenoaia, 3",,Продам,,104308170,5,Агентство,,
Lagmar Impex,Бетон,https://999.md/ru/85790661?location=subcategory&index=4370&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,2,9,66 м²,Белый вариант,Новострой,,2-х комнатная квартира,83 820 €,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 142",,Продам,66 м²,85790661,7,Застройщик,1,
,Kирпичный,https://999.md/ru/104573891?location=subcategory&index=4371&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,5,44 м²,Белый вариант,Новострой,,1-комнатная квартира,71 500 €,"Кишинёв мун., Кишинёв, Ботаника,  bd. Dacia , 58/27",,Продам,,104573891,1,Агентство,,
,,https://999.md/ru/103824164?location=subcategory&index=4372&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,1,6,65 м²,Eвроремонт,Новострой,,2-х комнатная квартира,145 900 €,"Кишинёв мун., Кишинёв, Буюканы,  str. Durlești, 20",,Продам,,103824164,5,Агентство,1,Индивидуальная
Horus,,https://999.md/ru/100229961?location=subcategory&index=4373&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,,18,66 м²,,Новострой,,2-х комнатная квартира,107 000 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, 1/8",,Продам,,100229961,4,Агентство,,
,,https://999.md/ru/104020033?location=subcategory&index=4374&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,1,16,30 м²,Eвроремонт,Вторичный,,2-х комнатная квартира,73 500 €,"Кишинёв мун., Кишинёв, Буюканы, Piața Unirii Principatelor, ----",,Продам,,104020033,9,Агентство,,
,,https://999.md/ru/103722817?location=subcategory&index=4375&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,1,9,70 м²,Белый вариант,Новострой,,2-х комнатная квартира,104 900 €,"Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, *",,Продам,,103722817,8,Агентство,1,
,,https://999.md/ru/104473178?location=subcategory&index=4376&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,,14,75 м²,,Новострой,,2-х комнатная квартира,307 900 €,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 9/5",,Продам,,104473178,5,Агентство,,
Inamstro,,https://999.md/ru/104156995?location=subcategory&index=4377&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,,14,75 м²,,Новострой,,2-х комнатная квартира,237 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 6",,Продам,,104156995,2,Агентство,,
Sky House,,https://999.md/ru/104135454?location=subcategory&index=4378&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,,16,82 м²,,Новострой,,2-х комнатная квартира,218 500 €,"Кишинёв мун., Кишинёв, Центр, str. Lev Tolstoi, 63",,Продам,,104135454,5,Агентство,,
