Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,,,,,Агентство,104325159,https://999.md/ru/104325159?location=subcategory&index=547&cardCategoryId=270&cardSubcategoryId=1404,,5,5,30 м²,,1-комнатная квартира,Вторичный,,,,62 900 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Lech Kaczynski, 10/2"
,Eвроремонт,1,,,Агентство,104459159,https://999.md/ru/104459159?location=subcategory&index=548&cardCategoryId=270&cardSubcategoryId=1404,,11,16,59 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,,95 000 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
,,,,,Агентство,102295386,https://999.md/ru/102295386?location=subcategory&index=549&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,7,12,74 м²,,2-х комнатная квартира,Новострой,Exfactor-grup,,,215 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28"
2,Eвроремонт,1,3000 см,,Агентство,101770064,https://999.md/ru/101770064?location=subcategory&index=550&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,14,14,54 м²,,1-комнатная квартира,Новострой,Exfactor-grup,,,157 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28a"
,Индивидуальный дизайн,1,275 см,,Агентство,104565149,https://999.md/ru/104565149?location=subcategory&index=551&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,8,9,38 м²,Oткрытое,1-комнатная квартира,Новострой,Pamir Construct,,,118 900 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Ghica Vodă, 3"
,,,,,Частное лицо,104465984,https://999.md/ru/104465984?location=subcategory&index=552&cardCategoryId=270&cardSubcategoryId=1404,,5,19,77 м²,,2-х комнатная квартира,Новострой,Horus,,,134 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, 1/8"
,Сдан в эксплуатацию,1,,,Застройщик,104572394,https://999.md/ru/104572394?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjUyMDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NzIzOTQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImUyNGUxYjNmLWE1NGMtNDVhNy1hYzliLTg0MDNiMDc1NzEwMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTg6MjY6NDIuMDkxMzA0NTc1WiJ9fQ.b-nF4KRQrY3eSJ_z8X4i6-uW5YM9MSDGCmVsHv72EPA&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=553&cardCategoryId=270&cardSubcategoryId=1404,Бетон,2,10,72 м²,,2-х комнатная квартира,Новострой,,,,140 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 14/C"
1,Eвроремонт,1,290 см,Индивидуальная,Агентство,104584685,https://999.md/ru/104584685?location=subcategory&index=554&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,5,67 м²,Подземная,2-х комнатная квартира,Новострой,Exfactor-grup,,,159 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 5"
1,Eвроремонт,1,3000 см,,Агентство,104583568,https://999.md/ru/104583568?location=subcategory&index=555&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,13,71 м²,Подземная,2-х комнатная квартира,Новострой,Exfactor-grup,,,218 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28"
2,Белый вариант,2,,Индивидуальная,Агентство,104504683,https://999.md/ru/104504683?location=subcategory&index=556&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,17,122 м²,Oткрытое,3-х комнатная квартира,Новострой,Eldorado Terra,,,269 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1"
,Eвроремонт,1,,,Частное лицо,103203499,https://999.md/ru/103203499?location=subcategory&index=557&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,4,5,19 м²,Oткрытое,1-комнатная квартира,Вторичный,,,,54 000 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 8/6"
1,Eвроремонт,2,,,Агентство,104271510,https://999.md/ru/104271510?location=subcategory&index=558&cardCategoryId=270&cardSubcategoryId=1404,,1,5,45 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,85 900 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Traian, 7/2"
,,,,,Агентство,104329981,https://999.md/ru/104329981?location=subcategory&index=559&cardCategoryId=270&cardSubcategoryId=1404,,5,6,145 м²,,2-х комнатная квартира,Вторичный,,,,15 000 €,,Продам,"2-х комнатная квартира,  Центр,  Елизавета,  Бельцы мун.","Бельцы мун., Елизавета, Центр, Пушкина, 14"
,,,,,Частное лицо,102344225,https://999.md/ru/102344225?location=subcategory&index=560&cardCategoryId=270&cardSubcategoryId=1404,,1,2,160 м²,,2-х комнатная квартира,Вторичный,,,,48 500 €,,Продам,"2-х комнатная квартира,  Окраина,  Бык,  Кишинёв мун.",Расположение
,Косметический pемонт,1,,,Агентство,104269180,https://999.md/ru/104269180?location=subcategory&index=561&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,70 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,75 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,1,,Индивидуальная,Агентство,104268805,https://999.md/ru/104268805?location=subcategory&index=562&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,56 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,130 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
