Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,,,,,Агентство,104617069,https://999.md/ru/104617069?location=subcategory&index=313&cardCategoryId=270&cardSubcategoryId=1404,,6,9,72 м²,,3-х комнатная квартира,Вторичный,,,,96 000 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, пр-т Мирча чел Бэтрын, 25"
1,Eвроремонт,2,,,Застройщик,103570401,https://999.md/ru/103570401?location=subcategory&index=314&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,9,86 м²,Подземная,3-х комнатная квартира,Новострой,Exfactor-grup,,,179 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 11"
,,,,,Агентство,103556914,https://999.md/ru/103556914?location=subcategory&index=315&cardCategoryId=270&cardSubcategoryId=1404,,12,13,62 м²,,2-х комнатная квартира,Новострой,,,,165 000 €,,Продам,"2-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, ул. Каля Ешилор, 6"
1,Eвроремонт,2,,,Агентство,102772162,https://999.md/ru/102772162?location=subcategory&index=316&cardCategoryId=270&cardSubcategoryId=1404,,4,9,80 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,215 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, ул. Албишоара, 82/8"
,Белый вариант,,,,Застройщик,103857794,https://999.md/ru/103857794?location=subcategory&index=317&cardCategoryId=270&cardSubcategoryId=1404,,3,6,70 м²,,2-х комнатная квартира,Новострой,Varincom,,,84 000 €,,Продам,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.","Кишинёв мун., Криково, Центр, str. Chişinău, 68"
,,,,,Частное лицо,104612014,https://999.md/ru/104612014?location=subcategory&index=318&cardCategoryId=270&cardSubcategoryId=1404,,7,9,80 м²,,3-х комнатная квартира,Вторичный,,,,129 999 €,,Продам,"3-х комнатная квартира,  10 квартал,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, 10 квартал, str. Ștefan cel Mare și Sfînt, 6/3"
,,,,,Частное лицо,104612041,https://999.md/ru/104612041?location=subcategory&index=319&cardCategoryId=270&cardSubcategoryId=1404,,7,9,80 м²,,3-х комнатная квартира,Вторичный,,,,129 999 €,,Продам,"3-х комнатная квартира,  Автовокзал,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, Автовокзал, str. Ștefan cel Mare și Sfînt, 6/3"
1,Eвроремонт,2,143,,Застройщик,104469612,https://999.md/ru/104469612?location=subcategory&index=320&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,8,9,55 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,55 м²,118 900 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Igor Vieru, 13"
Нет,Eвроремонт,2,,,Агентство,104536488,https://999.md/ru/104536488?location=subcategory&index=321&cardCategoryId=270&cardSubcategoryId=1404,,4,9,70 м²,Подземная,2-х комнатная квартира,Новострой,,,,349 900 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Grigore Alexandrescu, **"
2,Белый вариант,2,,,Агентство,104601164,https://999.md/ru/104601164?location=subcategory&index=322&cardCategoryId=270&cardSubcategoryId=1404,,2,9,73 м²,,2-х комнатная квартира,Новострой,Exfactor-grup,,,113 300 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 62"
