Застройщик,Тип здания,link,Парковочное место,title,Ливинг,Санузел,Количество этажей,Общая площадь,Состояние квартиры,Жилой фонд,Площадь кухни,Количество комнат,price,Адрес,Высота потолков,Тип,Жилая площадь,id,Этаж,Автор объявления,Балкон / лоджия,Планировка
,,https://999.md/ru/101857097?location=subcategory&index=5071&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира с ливингом,,3,70 м²,,Новострой,,2-х комнатная квартира,94 500 €,"Кишинёв мун., Дурлешты, Центр, ул. Плопилор, 7",,Продам,68 м²,101857097,2,Частное лицо,,
,Kотельцовый,https://999.md/ru/104457038?location=subcategory&index=5072&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"Комната,  Буюканы,  Кишинёв,  Кишинёв мун.",,1,5,20 м²,Eвроремонт,Вторичный,,Комната,42 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Pelivan, 9",,Продам,,104457038,5,Агентство,Нет,
,Kомбинированный,https://999.md/ru/104417022?location=subcategory&index=5073&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,1,10,72 м²,Eвроремонт,Новострой,,2-х комнатная квартира,139 900 €,"Кишинёв мун., Дурлешты, Центр, str. Cartușa, 95/4",,Продам,,104417022,7,Агентство,1,Индивидуальная
Astercon,Kотельцовый,https://999.md/ru/102995112?location=subcategory&index=5074&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.",,1,7,69 м²,Eвроремонт,Новострой,,2-х комнатная квартира,149 900 €,"Кишинёв мун., Думбрава, Окраина, Durlesti, 10",,Продам,,102995112,7,Агентство,1,Индивидуальная
Nicons,Kомбинированный,https://999.md/ru/104572408?location=subcategory&index=5075&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,1,9,43 м²,Белый вариант,Новострой,,1-комнатная квартира,52 500 €,"Кишинёв мун., Дурлешты, Центр, str. neindentificat, 506",,Продам,,104572408,5,Агентство,Нет,Индивидуальная
Horus,Kомбинированный,https://999.md/ru/100024039?location=subcategory&index=5076&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,18,43 м²,Белый вариант,Новострой,,1-комнатная квартира,77 400 €,"Кишинёв мун., Кишинёв, Рышкановка, Tudor Vladimirescu, 1/10",,Продам,,100024039,7,Агентство,1,Индивидуальная
Solomon Construct Imobil,,https://999.md/ru/104590779?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzMzNTMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTA3NzkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMjA6NDI6MzMuODczNjk0MDM4WiJ9fQ.yxj6Tn9gRtrBKgwQWLgkxQUKdGbnUuVGRgZ7M0jVjpc&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=5077&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира с ливингом,,10,75 м²,,Новострой,,2-х комнатная квартира,77 771 €,"Кишинёв мун., Дурлешты, Центр, ул. Николае Димо, 24",,Продам,,104590779,1,Застройщик,,
Exfactor-grup,Kомбинированный,https://999.md/ru/103910843?location=subcategory&index=5078&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,1,9,50 м²,Eвроремонт,Новострой,,2-х комнатная квартира,139 500 €,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 11",,Продам,,103910843,9,Агентство,2,Индивидуальная
,Панельный,https://999.md/ru/103445004?location=subcategory&index=5079&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"4-x комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,2,9,90 м²,Косметический pемонт,Вторичный,,4-x комнатная квартира,118 900 €,"Кишинёв мун., Кишинёв, Чокана, Mircea Cel Batran, 17",,Продам,,103445004,3,Агентство,2,
Inamstro,Kомбинированный,https://999.md/ru/103931066?location=subcategory&index=5080&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,12,62 м²,Eвроремонт,Новострой,,2-х комнатная квартира,165 000 €,"Кишинёв мун., Кишинёв, Рышкановка, Alecu Russo, 9/7",,Продам,,103931066,8,Агентство,Нет,Индивидуальная
,Kирпичный,https://999.md/ru/103825042?location=subcategory&index=5081&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,2,21,85 м²,Незавершенное cтроительство,Новострой,,3-х комнатная квартира,122 544 €,"Кишинёв мун., Кишинёв, Ботаника, Dacia, 59",,Продам,,103825042,5,Агентство,2,Индивидуальная
,Kомбинированный,https://999.md/ru/104261644?location=subcategory&index=5082&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,2,7,124 м²,Eвроремонт,Новострой,,2-х комнатная квартира,285 000 €,"Кишинёв мун., Кишинёв, Рышкановка, Nadejda Russo, 2",,Продам,,104261644,3,Агентство,Нет,Индивидуальная
Orizont Construct,Kомбинированный,https://999.md/ru/103690941?location=subcategory&index=5083&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,2,10,88 м²,Eвроремонт,Новострой,,3-х комнатная квартира,160 000 €,"Кишинёв мун., Кишинёв, Буюканы, Paris, 34/4",,Продам,,103690941,8,Агентство,1,Индивидуальная
Exfactor-grup,Kирпичный,https://999.md/ru/103440418?location=subcategory&index=5084&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,1,14,68 м²,Eвроремонт,Новострой,,2-х комнатная квартира,195 000 €,"Кишинёв мун., Кишинёв, Буюканы, Vasile Lupu, 28",,Продам,,103440418,13,Агентство,1,Индивидуальная
Nicons,Kомбинированный,https://999.md/ru/101556777?location=subcategory&index=5085&cardCategoryId=270&cardSubcategoryId=1404,,"3-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",,2,10,125 м²,Eвроремонт,Новострой,,3-х комнатная квартира,170 000 €,"Кишинёв мун., Дурлешты, Центр, Cartusa, 99/7",,Продам,,101556777,10,Агентство,1,Индивидуальная
Lagmar Impex,Kомбинированный,https://999.md/ru/103444604?location=subcategory&index=5086&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",,2,14,63 м²,Белый вариант,Новострой,,2-х комнатная квартира,83 500 €,"Кишинёв мун., Кишинёв, Старая Почта, Ceucari, 1",,Продам,,103444604,13,Агентство,1,Индивидуальная
,Панельный,https://999.md/ru/103775540?location=subcategory&index=5087&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"Комната,  Центр,  Ставчены,  Кишинёв мун.",,1,9,18 м²,Eвроремонт,Вторичный,,Комната,37 000 €,"Кишинёв мун., Ставчены, Центр, Florilor, 2",,Продам,,103775540,5,Агентство,Нет,
,Панельный,https://999.md/ru/104284795?location=subcategory&index=5088&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,1,5,60 м²,Eвроремонт,Вторичный,,3-х комнатная квартира,109 500 €,"Кишинёв мун., Кишинёв, Ботаника, Sarmizegetusa, 14/3",,Продам,,104284795,4,Агентство,1,Хрущевка
Solomon Construct Imobil,,https://999.md/ru/103017683?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzMzNTMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMwMTc2ODMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMjA6NDI6MzMuODczNzc0MjM0WiJ9fQ.4JpjLI-q6l2QrgJAYJGesOxOkte3JkokUGRJIBJTGWI&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=5089&cardCategoryId=270&cardSubcategoryId=1404,,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,2,10,73 м²,Незавершенное cтроительство,Новострой,17 м²,3-х комнатная квартира,73 790 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24",290 см,Продам,,103017683,9,Застройщик,,
,Kомбинированный,https://999.md/ru/104572383?location=subcategory&index=5090&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Центр,  Страшены,  Страшены",,1,5,72 м²,Косметический pемонт,Вторичный,,2-х комнатная квартира,73 000 €,"Страшены, Страшены, Центр, str. Veronica Micle, 35",,Продам,,104572383,5,Агентство,Нет,102
Kirsan,Mонолитный,https://999.md/ru/87472363?location=subcategory&index=5091&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,2,18,93 м²,Незавершенное cтроительство,Новострой,,3-х комнатная квартира,112 900 €,"Кишинёв мун., Кишинёв, Ботаника, Nicolae Titulescu, 36A",,Продам,,87472363,3,Агентство,2,Индивидуальная
Lagmar Impex,Ячеистый Бетон,https://999.md/ru/104581659?location=subcategory&index=5092&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,1,11,69 м²,Eвроремонт,Новострой,,1-комнатная квартира,159 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. L.Deleanu, 14/C",,Продам,,104581659,8,Агентство,1,Индивидуальная
Estate Invest Company,Kирпичный,https://999.md/ru/103178762?location=subcategory&index=5093&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",,1,10,49 м²,Eвроремонт,Новострой,,1-комнатная квартира,105 000 €,"Кишинёв мун., Дурлешты, Окраина, Ialoveni, 136",,Продам,,103178762,2,Агентство,1,
,Kомбинированный,https://999.md/ru/103551326?location=subcategory&index=5094&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Окраина,  Бачой,  Кишинёв мун.",,1,5,63 м²,Eвроремонт,Новострой,,2-х комнатная квартира,108 900 €,"Кишинёв мун., Бачой, Окраина, Independenţei, 40/1",,Продам,,103551326,3,Агентство,Нет,Индивидуальная
Kirsan,Kомбинированный,https://999.md/ru/103251346?location=subcategory&index=5095&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,2,10,65 м²,Незавершенное cтроительство,Новострой,,2-х комнатная квартира,98 500 €,"Кишинёв мун., Кишинёв, Ботаника, Traian, 21/4",,Продам,,103251346,3,Агентство,2,Индивидуальная
,Kотельцовый,https://999.md/ru/103543580?location=subcategory&index=5096&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,5,49 м²,Eвроремонт,Вторичный,,2-х комнатная квартира,104 900 €,"Кишинёв мун., Кишинёв, Рышкановка, Alecu Russo, 3/2",,Продам,,103543580,2,Агентство,Нет,Хрущевка
,Kомбинированный,https://999.md/ru/103568152?location=subcategory&index=5097&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,1,11,80 м²,Eвроремонт,Новострой,,2-х комнатная квартира,119 900 €,"Кишинёв мун., Кишинёв, Чокана, Bulevardul Mircea cel Bătrân, 48",,Продам,,103568152,11,Агентство,1,Индивидуальная
Estate Invest Company,Kирпичный,https://999.md/ru/102051371?location=subcategory&index=5098&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.",,1,6,63 м²,Незавершенное cтроительство,Новострой,,2-х комнатная квартира,88 200 €,"Кишинёв мун., Думбрава, Окраина, Durlești, 1",,Продам,,102051371,3,Агентство,Нет,Индивидуальная
,Панельный,https://999.md/ru/103844727?location=subcategory&index=5099&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,1,9,31 м²,Косметический pемонт,Вторичный,,1-комнатная квартира,61 500 €,"Кишинёв мун., Кишинёв, Буюканы, str. Nicolae Costin, 63/5",,Продам,,103844727,5,Агентство,1,Мс (Молд. Серия)
,,https://999.md/ru/103289052?location=subcategory&index=5100&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,1,8,38 м²,Eвроремонт,Новострой,,1-комнатная квартира,72 900 €,"Кишинёв мун., Кишинёв, Буюканы, str. Stefan Voda, 15",,Продам,,103289052,8,Агентство,,Индивидуальная
Varincom,Kомбинированный,https://999.md/ru/102737062?location=subcategory&index=5101&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,12,73 м²,Eвроремонт,Новострой,,2-х комнатная квартира,174 900 €,"Кишинёв мун., Кишинёв, Рышкановка, Nicolae Dimo, 13A",,Продам,,102737062,4,Агентство,1,Индивидуальная
