Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,Eвроремонт,,,,Агентство,102495915,https://999.md/ru/102495915?location=subcategory&index=391&cardCategoryId=270&cardSubcategoryId=1404,,5,7,43 м²,1-комнатная квартира,,Новострой,,,,97 900 €,,Продам,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Окраина, Regina Elisabeta, -"
,,,Мс (Молд. Серия),,Частное лицо,104275408,https://999.md/ru/104275408?location=subcategory&index=392&cardCategoryId=270&cardSubcategoryId=1404,,8,10,75 м²,3-х комнатная квартира,,Вторичный,,,,138 900 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 33"
3,Индивидуальный дизайн,1,143,,Частное лицо,100644410,https://999.md/ru/100644410?location=subcategory&index=393&cardCategoryId=270&cardSubcategoryId=1404,Бетон,4,9,84 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,115 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, sos. Muncesti, 784"
1,Eвроремонт,2,,,Агентство,104616976,https://999.md/ru/104616976?location=subcategory&index=394&cardCategoryId=270&cardSubcategoryId=1404,,5,10,64 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,88 500 €,,Продам,"2-х комнатная квартира,  Центр,  Страшены,  Страшены","Страшены, Страшены, Центр, str. Ştefan cel Mare și Sfînt, 41"
1,Eвроремонт,2,,285 см,Застройщик,104435167,https://999.md/ru/104435167?location=subcategory&index=395&cardCategoryId=270&cardSubcategoryId=1404,,7,11,82 м²,2-х комнатная квартира,Oткрытое,Новострой,Dansicons,,,159 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, ул. Николае Тестемицану, 21"
2,Белый вариант,1,,,Агентство,102864212,https://999.md/ru/102864212?location=subcategory&index=396&cardCategoryId=270&cardSubcategoryId=1404,,8,9,76 м²,2-х комнатная квартира,,Новострой,,,,85 000 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Testemitanu, 61"
1,Eвроремонт,2,,,Агентство,104386563,https://999.md/ru/104386563?location=subcategory&index=397&cardCategoryId=270&cardSubcategoryId=1404,,2,7,101 м²,2-х комнатная квартира,,Новострой,,,,146 900 €,,Продам,"2-х комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.",Расположение
2,Eвроремонт,2,,,Агентство,104414498,https://999.md/ru/104414498?location=subcategory&index=398&cardCategoryId=270&cardSubcategoryId=1404,,10,15,97 м²,3-х комнатная квартира,,Новострой,,,,215 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Matei Basarab, 1/1"
,,,,,Застройщик,104449920,https://999.md/ru/104449920?location=subcategory&index=399&cardCategoryId=270&cardSubcategoryId=1404,,5,5,33 м²,1-комнатная квартира,,Вторичный,,,,48 500 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Gheorghe Tofan, 43"
,Eвроремонт,1,,,Частное лицо,88806232,https://999.md/ru/88806232?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjQ5NDcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4ODgwNjIzMiIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6IiIsImwiOiI5ODg1ODZiNi04NTU1LTQwZWUtOWIwOC0zZmM0MDIyMzA4MTMiLCJlIjoiODkuMTQ5LjkxLjE2MiIsImciOiJsaXRlIiwidCI6IjIwMjYtMDYtMTRUMTg6MjI6MjcuMjExODAxMzY3WiJ9fQ.Wn_Iwr549tXJZ2Od6FEyLj8Ux3-IZ3ehEqQvVWVaq8M&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=400&cardCategoryId=270&cardSubcategoryId=1404,,4,10,45 м²,1-комнатная квартира,Oткрытое,Новострой,Carpeni,,,800 MDL,,Сдаю посуточно,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Petru Ungureanu, 1a"
