Застройщик,Тип здания,link,Парковочное место,title,Ливинг,Санузел,Количество этажей,Общая площадь,Состояние квартиры,Жилой фонд,Площадь кухни,Количество комнат,price,Адрес,Высота потолков,Тип,Жилая площадь,id,Этаж,Автор объявления,Балкон / лоджия,Планировка
Basconslux,Ячеистый Бетон,https://999.md/ru/104153461?location=subcategory&index=4681&cardCategoryId=270&cardSubcategoryId=1404,,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,2,11,100 м²,Eвроремонт,Новострой,,3-х комнатная квартира,210 000 €,"Кишинёв мун., Кишинёв, Телецентр, Sprincenoaia, 3D",,Продам,,104153461,2,Агентство,1,Индивидуальная
,,https://999.md/ru/103919363?location=subcategory&index=4682&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Окраина,  Яловены,  Яловены",Квартира с ливингом,,9,60 м²,,Новострой,,2-х комнатная квартира,127 500 €,"Яловены, Яловены, Окраина, str. Alexandru cel Bun, 2/8",,Продам,,103919363,2,Агентство,,
,,https://999.md/ru/104513668?location=subcategory&index=4683&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,1,5,47 м²,Нуждается в ремонте,Вторичный,,2-х комнатная квартира,66 900 €,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, -",,Продам,,104513668,1,Агентство,1,
,Блочный,https://999.md/ru/101422901?location=subcategory&index=4684&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,2,9,90 м²,Без ремонта,Новострой,,3-х комнатная квартира,125 000 €,"Кишинёв мун., Кишинёв, Телецентр, str. Nicolae Testemițanu, 37",,Продам,,101422901,3,Частное лицо,,
,,https://999.md/ru/104457269?location=subcategory&index=4685&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,13,73 м²,Eвроремонт,Новострой,,2-х комнатная квартира,237 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, -",,Продам,,104457269,2,Агентство,1,
Estate Invest Company,,https://999.md/ru/104374109?location=subcategory&index=4686&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Окраина,  Трушены,  Кишинёв мун.",Квартира с ливингом,2,7,95 м²,,Новострой,,2-х комнатная квартира,96 900 €,"Кишинёв мун., Трушены, Окраина, str. 27 August 1989, 7",,Продам,,104374109,7,Застройщик,2,
Horus,,https://999.md/ru/104478326?location=subcategory&index=4687&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира без ливинга,1,16,54 м²,Eвроремонт,Новострой,1 м²,1-комнатная квартира,127 800 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Florilor, 28/2",,Продам,1 м²,104478326,4,Частное лицо,1,
Sky House,Kомбинированный,https://999.md/ru/104303691?location=subcategory&index=4688&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,18,56 м²,Белый вариант,Новострой,,2-х комнатная квартира,89 000 €,"Кишинёв мун., Кишинёв, Ботаника, str. Cetatea Albă, 11",,Продам,,104303691,17,Агентство,,Индивидуальная
Poliprim Grup,,https://999.md/ru/104372538?location=subcategory&index=4689&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,1,10,53 м²,Белый вариант,Новострой,,2-х комнатная квартира,73 220 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,Продам,,104372538,9,Застройщик,1,
Astercon,Ячеистый Бетон,https://999.md/ru/102831793?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzI2MTcsIkMiOnsiciI6MSwiYiI6MTIwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzE3OTMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMjA6MzA6MTcuNzY3MzAyNTgxWiJ9fQ.E-3XhpK9vA_AkxR1rrpUhdkiNj6s1g7NMcdIp29_5N8&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=4690&cardCategoryId=270&cardSubcategoryId=1404,Гараж,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира без ливинга,1,6,56 м²,Белый вариант,Новострой,13 м²,2-х комнатная квартира,81 432 €,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",286 см,Продам,,102831793,5,Застройщик,Нет,Индивидуальная
,Панельный,https://999.md/ru/104145610?location=subcategory&index=4691&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,11,35 м²,Косметический pемонт,Вторичный,,1-комнатная квартира,61 900 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, 1/1",,Продам,,104145610,9,Застройщик,1,Индивидуальная
,Kотельцовый,https://999.md/ru/104142290?location=subcategory&index=4692&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,2,5,53 м²,Сдан в эксплуатацию,Вторичный,,3-х комнатная квартира,89 800 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Andrei Doga, 43/1",270 см,Продам,,104142290,3,Частное лицо,1,Индивидуальная
,Kотельцовый,https://999.md/ru/104207304?location=subcategory&index=4693&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,4,59 м²,Eвроремонт,Вторичный,,2-х комнатная квартира,110 000 €,"Кишинёв мун., Кишинёв, Телецентр, ул. Академией, 17",,Продам,,104207304,2,Агентство,1,
Estate Invest Company,,https://999.md/ru/104211438?location=subcategory&index=4694&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,,9,45 м²,,Новострой,,1-комнатная квартира,95 000 €,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 136",,Продам,,104211438,9,Застройщик,,
Horus,Kирпичный,https://999.md/ru/102877703?location=subcategory&index=4695&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,20,44 м²,Белый вариант,Новострой,,1-комнатная квартира,77 000 €,Расположение,,Продам,,102877703,15,Агентство,1,Индивидуальная
,,https://999.md/ru/102875048?location=subcategory&index=4696&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,2,13,88 м²,Белый вариант,Новострой,,3-х комнатная квартира,193 600 €,Расположение,,Продам,,102875048,13,Агентство,2,Индивидуальная
Exfactor-grup,Бетон,https://999.md/ru/102865071?location=subcategory&index=4697&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира с ливингом,1,4,37 м²,Eвроремонт,Новострой,,1-комнатная квартира,72 000 €,"Кишинёв мун., Дурлешты, Центр, str. Atelierilor, 17",,Продам,,102865071,3,Агентство,,Индивидуальная
