Тип,Застройщик,Санузел,id,Ливинг,Этаж,title,Количество комнат,Высота потолков,price,Состояние квартиры,Тип здания,link,Количество этажей,Адрес,Общая площадь,Парковочное место,Балкон / лоджия,Площадь кухни,Автор объявления,Жилой фонд,Планировка,Жилая площадь
Продам,,,104611411,Квартира с ливингом,2,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,85 900 €,,,https://999.md/ru/104611411?location=subcategory&index=5383&cardCategoryId=270&cardSubcategoryId=1404,6,"Кишинёв мун., Кишинёв, Буюканы, str. Durleşti, 4",45 м²,,,,Застройщик,Новострой,,
Продам,,1,100305589,,8,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,188 900 €,Белый вариант,Kомбинированный,https://999.md/ru/100305589?location=subcategory&index=5384&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Буюканы, Calea Iesilor, 6",82 м²,Oткрытое,Нет,,Агентство,Новострой,Индивидуальная,
Продам,,1,104271857,,5,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,89 000 €,Eвроремонт,Kотельцовый,https://999.md/ru/104271857?location=subcategory&index=5385&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Рышкановка, str. Florilor, /",46 м²,Oткрытое,1,7 м²,Агентство,Вторичный,Брж (Брежневка),30 м²
Продам,,1,104355289,Квартира с ливингом,1,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",1-комнатная квартира,,87 900 €,Eвроремонт,Ячеистый Бетон,https://999.md/ru/104355289?location=subcategory&index=5386&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Дурлешты, Центр, str. Regele Carol, 5",44 м²,Oткрытое,1,,Агентство,Новострой,,
Продам,Basconslux,,102439481,,15,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,139 200 €,,,https://999.md/ru/102439481?location=subcategory&index=5387&cardCategoryId=270&cardSubcategoryId=1404,16,"Кишинёв мун., Кишинёв, Центр, str. Melestiu, 26/2",87 м²,,,,Застройщик,Новострой,,
Продам,,,104619151,,4,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,69 900 €,,,https://999.md/ru/104619151?location=subcategory&index=5388&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Titulescu, 6",43 м²,,,,Агентство,Вторичный,,
Продам,Basconslux,,104266699,Квартира с ливингом,10,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,116 000 €,Eвроремонт,,https://999.md/ru/104266699?location=subcategory&index=5389&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 43/A",47 м²,,1,,Агентство,Новострой,,
Продам,,2,104066114,Квартира с ливингом,9,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,167 900 €,Eвроремонт,,https://999.md/ru/104066114?location=subcategory&index=5390&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25",70 м²,,,,Агентство,Новострой,,
Продам,,,103768821,,3,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,115 900 €,,,https://999.md/ru/103768821?location=subcategory&index=5391&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 12",73 м²,,,,Агентство,Вторичный,,
Продам,,,103486347,Квартира с ливингом,3,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,154 000 €,Eвроремонт,,https://999.md/ru/103486347?location=subcategory&index=5392&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Luca Caragiale, 24",59 м²,,,,Агентство,Новострой,,
