Застройщик,Тип здания,link,Парковочное место,title,Ливинг,Санузел,Количество этажей,Общая площадь,Состояние квартиры,Жилой фонд,Площадь кухни,Количество комнат,price,Адрес,Высота потолков,Тип,Жилая площадь,id,Этаж,Автор объявления,Балкон / лоджия,Планировка
,Kомбинированный,https://999.md/ru/102799337?location=subcategory&index=4213&cardCategoryId=270&cardSubcategoryId=1404,,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,1,10,112 м²,Eвроремонт,Новострой,,3-х комнатная квартира,190 000 €,"Кишинёв мун., Кишинёв, Телецентр, str. Grenoble, 1",,Продам,,102799337,8,Агентство,2,Индивидуальная
,,https://999.md/ru/104485743?location=subcategory&index=4214&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,3,9,122 м²,Косметический pемонт,Вторичный,,3-х комнатная квартира,299 000 €,"Кишинёв мун., Кишинёв, Центр, Bd. Ștefan cel Mare, -",,Продам,,104485743,6,Агентство,2,Индивидуальная
,,https://999.md/ru/86587161?location=subcategory&index=4215&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,2,9,62 м²,Белый вариант,Новострой,,2-х комнатная квартира,83 500 €,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 142",,Продам,61 м²,86587161,2,Агентство,,
Lagmar Impex,Бетон,https://999.md/ru/104582395?location=subcategory&index=4216&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,2,5,68 м²,Сдан в эксплуатацию,Новострой,,2-х комнатная квартира,108 100 €,"Кишинёв мун., Кишинёв, Старая Почта, str. Iazului, 1",,Продам,,104582395,2,Частное лицо,,
,Kотельцовый,https://999.md/ru/103924711?location=subcategory&index=4217&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",,,5,56 м²,Eвроремонт,Вторичный,10 м²,2-х комнатная квартира,87 600 €,"Кишинёв мун., Кишинёв, Старая Почта, Язулуй, 7/3",280 см,Продам,36 м²,103924711,2,Частное лицо,2,
,,https://999.md/ru/102390928?location=subcategory&index=4218&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,1,9,52 м²,Eвроремонт,Новострой,,1-комнатная квартира,133 500 €,"Кишинёв мун., Кишинёв, Ботаника, Str. Tudor Strișcă , 8",,Продам,,102390928,2,Агентство,,
,,https://999.md/ru/104589090?location=subcategory&index=4219&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,,9,40 м²,Eвроремонт,Вторичный,,1-комнатная квартира,83 900 €,"Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 4/1",,Продам,,104589090,7,Агентство,,143
Exfactor-grup,,https://999.md/ru/104060996?location=subcategory&index=4220&cardCategoryId=270&cardSubcategoryId=1404,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,,10,88 м²,Белый вариант,Новострой,,3-х комнатная квартира,140 000 €,Расположение,,Продам,,104060996,3,Застройщик,,
Premium-Cons Grup,Kомбинированный,https://999.md/ru/104297885?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzE4MDksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQyOTc4ODUiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMzI2N2RiMDctY2Y4OS00NjI1LTgxOTUtZTJmMTM4ZDYwMmU1IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDIwOjE2OjQ5LjQ3MDUwNDI0MloifX0.H_JCz1OGxVdJNXIn6KzRWqij8huSTQbdYOo1x-IQZwo&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=4221&cardCategoryId=270&cardSubcategoryId=1404,Гараж,"1-комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.",Квартира с ливингом,1,6,55 м²,Незавершенное cтроительство,Новострой,25 м²,1-комнатная квартира,73 777 €,"Кишинёв мун., Думбрава, Центр, str. Durleşti, 56",2800 см,Продам,30 м²,104297885,1,Застройщик,1,Индивидуальная
,,https://999.md/ru/104122899?location=subcategory&index=4222&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,1,5,57 м²,Eвроремонт,Вторичный,,2-х комнатная квартира,114 900 €,"Кишинёв мун., Кишинёв, Ботаника, Pandurilor, 68",,Продам,,104122899,2,Агентство,1,
