Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Косметический pемонт,2,,,Агентство,88315775,https://999.md/ru/88315775?location=subcategory&index=3901&cardCategoryId=270&cardSubcategoryId=1404,1,,2,62 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,62 м²,67 000 €,,Продам,"3-х комнатная квартира,  Центр,  Бубуечь,  Кишинёв мун.","Кишинёв мун., Бубуечь, Центр, str. Livezilor , 27"
1,,1,,,Застройщик,103370994,https://999.md/ru/103370994?location=subcategory&index=3902&cardCategoryId=270&cardSubcategoryId=1404,5,,5,65 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,,109 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Matei Basarab, 9/2"
,Белый вариант,,,,Агентство,102964589,https://999.md/ru/102964589?location=subcategory&index=3903&cardCategoryId=270&cardSubcategoryId=1404,3,Kирпичный,6,60 м²,,2-х комнатная квартира,Новострой,Estate Invest Company,,,86 710 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Durlești, 3"
1,Eвроремонт,,,,Агентство,103145497,https://999.md/ru/103145497?location=subcategory&index=3904&cardCategoryId=270&cardSubcategoryId=1404,2,,6,50 м²,,2-х комнатная квартира,Вторичный,,,,98 500 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Alexandru Marinescu, 19/1"
1,Белый вариант,2,Индивидуальная,,Агентство,103061422,https://999.md/ru/103061422?location=subcategory&index=3905&cardCategoryId=270&cardSubcategoryId=1404,4,,9,58 м²,,2-х комнатная квартира,Новострой,,,,53 650 €,,Продам,"2-х комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.","Кишинёв мун., Гидигич, Центр, Stefan cel Mare , -1/a"
2,Eвроремонт,1,,,Агентство,104277508,https://999.md/ru/104277508?location=subcategory&index=3906&cardCategoryId=270&cardSubcategoryId=1404,1,,3,65 м²,,2-х комнатная квартира,Вторичный,,,,70 000 €,,Продам,"2-х комнатная квартира,  Центр,  Ватра,  Кишинёв мун.","Кишинёв мун., Ватра, Центр,  str. Mihai Eminescu, 22"
,,,,,Застройщик,104590779,https://999.md/ru/104590779?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzA5MTIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTA3NzkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMjA6MDE6NTIuMTU3NDE5MzM0WiJ9fQ.YJYYeKW0IltUIcmw7uejx9rL4ZiFSsUY91uMt-Hlym8&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3907&cardCategoryId=270&cardSubcategoryId=1404,1,,10,75 м²,,2-х комнатная квартира,Новострой,Solomon Construct Imobil,,,77 771 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, ул. Николае Димо, 24"
,Eвроремонт,2,,,Агентство,103078821,https://999.md/ru/103078821?location=subcategory&index=3908&cardCategoryId=270&cardSubcategoryId=1404,1,,6,44 м²,,1-комнатная квартира,Новострой,,,,94 500 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
3,Eвроремонт,2,Индивидуальная,,Агентство,103901053,https://999.md/ru/103901053?location=subcategory&index=3909&cardCategoryId=270&cardSubcategoryId=1404,11,,14,118 м²,,3-х комнатная квартира,Новострой,,,,239 000 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Sulac , 4"
,,,,,Агентство,101500938,https://999.md/ru/101500938?location=subcategory&index=3910&cardCategoryId=270&cardSubcategoryId=1404,14,,14,84 м²,,3-х комнатная квартира,Новострой,,,,159 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, 881780835, 1"
1,Белый вариант,1,,,Застройщик,104032607,https://999.md/ru/104032607?location=subcategory&index=3911&cardCategoryId=270&cardSubcategoryId=1404,4,Kирпичный,12,36 м²,Подземная,1-комнатная квартира,Новострой,Sky House,,,61 000 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 22"
1,Eвроремонт,2,Мс (Молд. Серия),,Агентство,104125013,https://999.md/ru/104125013?location=subcategory&index=3912&cardCategoryId=270&cardSubcategoryId=1404,8,,9,75 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,,138 900 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, *"
2,Белый вариант,2,,,Агентство,103006751,https://999.md/ru/103006751?location=subcategory&index=3913&cardCategoryId=270&cardSubcategoryId=1404,9,,10,87 м²,,3-х комнатная квартира,Новострой,,,,91 350 €,,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, ул. Картуша, 103"
1,Eвроремонт,2,,,Агентство,103668956,https://999.md/ru/103668956?location=subcategory&index=3914&cardCategoryId=270&cardSubcategoryId=1404,3,,9,88 м²,,2-х комнатная квартира,Новострой,,,,219 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, ул. Иоана Раду, 27/2"
2,Eвроремонт,2,Индивидуальная,,Агентство,103828269,https://999.md/ru/103828269?location=subcategory&index=3915&cardCategoryId=270&cardSubcategoryId=1404,12,Kирпичный,14,70 м²,Подземная,2-х комнатная квартира,Новострой,,,,210 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Vasile Lupu, 28"
,Eвроремонт,1,,,Агентство,103430016,https://999.md/ru/103430016?location=subcategory&index=3916&cardCategoryId=270&cardSubcategoryId=1404,4,,15,85 м²,Подземная,3-х комнатная квартира,Новострой,,,,253 900 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Decebal, 6"
,Eвроремонт,,,,Агентство,104567289,https://999.md/ru/104567289?location=subcategory&index=3917&cardCategoryId=270&cardSubcategoryId=1404,4,,9,48 м²,,2-х комнатная квартира,Новострой,Pamir Construct,,,139 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Ghica Vodă, 5"
