Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
,,,,,Частное лицо,104612349,https://999.md/ru/104612349?location=subcategory&index=3199&cardCategoryId=270&cardSubcategoryId=1404,,5,9,37 м²,1-комнатная квартира,,Новострой,,,71 700 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Bacioii Noi, 14/B","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,270 см,,Частное лицо,104086178,https://999.md/ru/104086178?location=subcategory&index=3200&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,12,72 м²,2-х комнатная квартира,Подземная,Новострой,Exfactor-grup,1 м²,240 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28a","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",17 м²
,Индивидуальный дизайн,2,,,Застройщик,103774945,https://999.md/ru/103774945?location=subcategory&index=3201&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,140 м²,3-х комнатная квартира,,Новострой,,,350 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Creangă, 20/4","3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,,,Агентство,101955989,https://999.md/ru/101955989?location=subcategory&index=3202&cardCategoryId=270&cardSubcategoryId=1404,,12,16,76 м²,3-х комнатная квартира,Подземная,Новострой,Lagmar Impex,,258 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemitanu, -","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,102845730,https://999.md/ru/102845730?location=subcategory&index=3203&cardCategoryId=270&cardSubcategoryId=1404,,7,17,90 м²,3-х комнатная квартира,Oткрытое,Новострой,,,250 000 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1","3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,,Агентство,103896219,https://999.md/ru/103896219?location=subcategory&index=3204&cardCategoryId=270&cardSubcategoryId=1404,,4,11,47 м²,1-комнатная квартира,Подземная,Новострой,,,51 700 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, *","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Cерый вариант,3,,,Агентство,103516011,https://999.md/ru/103516011?location=subcategory&index=3205&cardCategoryId=270&cardSubcategoryId=1404,,1,7,234 м²,4-x комнатная квартира,Подземная,Новострой,,,489 000 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, -","4-x комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,104187554,https://999.md/ru/104187554?location=subcategory&index=3206&cardCategoryId=270&cardSubcategoryId=1404,,5,5,55 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,78 500 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Valea Crucii, 22/1","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,1,,,Агентство,104174987,https://999.md/ru/104174987?location=subcategory&index=3207&cardCategoryId=270&cardSubcategoryId=1404,,10,12,74 м²,2-х комнатная квартира,Подземная,Новострой,,,455 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Columna, 102","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Частное лицо,104534484,https://999.md/ru/104534484?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk2NDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1MzQ0ODQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiMTFiNTI3MjctNmIzMi00MWYzLTg0ZWItODZhYjIyODk5OGZiIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo0MDo0Mi4xODcyNzkwNjdaIn19.5WlSmk-oZDrZwKgY36vroAmV9urZ1m4ssx2m3AI4yzU&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3208&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,70 м²,2-х комнатная квартира,,Вторичный,,,159 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 11/3","2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
