Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Eвроремонт,1,,,Агентство,104616694,https://999.md/ru/104616694?location=subcategory&index=859&cardCategoryId=270&cardSubcategoryId=1404,,4,5,44 м²,2-х комнатная квартира,,Вторичный,,,,69 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Titulescu, 6"
,Сдан в эксплуатацию,,,,Частное лицо,104616693,https://999.md/ru/104616693?location=subcategory&index=860&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,9,68 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,,,122 400 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 57"
,Eвроремонт,,,,Агентство,104300944,https://999.md/ru/104300944?location=subcategory&index=861&cardCategoryId=270&cardSubcategoryId=1404,,3,6,67 м²,2-х комнатная квартира,,Новострой,,,,145 000 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Regina Elisabeta, 4"
2,,1,,,Частное лицо,104237157,https://999.md/ru/104237157?location=subcategory&index=862&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,11,13,78 м²,2-х комнатная квартира,,Новострой,,,,115 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 78"
,Белый вариант,1,,,Агентство,104125011,https://999.md/ru/104125011?location=subcategory&index=863&cardCategoryId=270&cardSubcategoryId=1404,,16,18,41 м²,1-комнатная квартира,,Новострой,,,,73 130 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 96"
1,,2,,,Застройщик,104616556,https://999.md/ru/104616556?location=subcategory&index=864&cardCategoryId=270&cardSubcategoryId=1404,,1,5,37 м²,1-комнатная квартира,,Вторичный,,,,59 899 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 6/4"
1,Косметический pемонт,2,,,Застройщик,104614681,https://999.md/ru/104614681?location=subcategory&index=865&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,37 м²,1-комнатная квартира,,Вторичный,,,,59 899 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 6/4"
,Eвроремонт,1,Индивидуальная,,Агентство,88742653,https://999.md/ru/88742653?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU3MzUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4ODc0MjY1MyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InByZW1pdW0iLCJsIjoiYWUyMDEyMTItMWI2Ni00YTU1LWFmNTAtYjVhNDZjMWFmNGYwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODozNTozNS40OTIzMDkwMjhaIn19.eB6CkcswOGCMtVRY1iQVvC9kuEfmKVFLB3tfd2OBNe8&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=866&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,14,75 м²,2-х комнатная квартира,Подземная,Новострой,Inamstro,,,236 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Calea Ieșilor, 6"
,Eвроремонт,1,,,Застройщик,104608611,https://999.md/ru/104608611?location=subcategory&index=867&cardCategoryId=270&cardSubcategoryId=1404,,4,5,20 м²,1-комнатная квартира,,Вторичный,,,18 м²,36 899 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Academician Andrei Saharov, 6"
1,Eвроремонт,3,,,Агентство,103097621,https://999.md/ru/103097621?location=subcategory&index=868&cardCategoryId=270&cardSubcategoryId=1404,,Пентхаус,7,145 м²,3-х комнатная квартира,Oткрытое,Новострой,,,,525 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Moara Rosie, 5/D"
