Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Eвроремонт,1,,,Агентство,104446534,https://999.md/ru/104446534?location=subcategory&index=3589&cardCategoryId=270&cardSubcategoryId=1404,,8,12,54 м²,Oткрытое,2-х комнатная квартира,Новострой,Exfactor-grup,,,171 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, пр-т Мирча чел Бэтрын, 41/B"
Нет,Косметический pемонт,1,Мс (Молд. Серия),,Агентство,103489509,https://999.md/ru/103489509?location=subcategory&index=3590&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,9,10,35 м²,Oткрытое,1-комнатная квартира,Вторичный,,,,56 900 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, ул. Флорилор, 2"
,Eвроремонт,1,,,Агентство,104610880,https://999.md/ru/104610880?location=subcategory&index=3591&cardCategoryId=270&cardSubcategoryId=1404,,6,12,77 м²,Oткрытое,2-х комнатная квартира,Новострой,,,77 м²,138 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Sulac, 8A"
1,Косметический pемонт,1,102,,Агентство,104424655,https://999.md/ru/104424655?location=subcategory&index=3592&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,33 м²,,1-комнатная квартира,Вторичный,,,,50 000 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Gribov, 6/1"
2,Eвроремонт,2,,,Агентство,102155020,https://999.md/ru/102155020?location=subcategory&index=3593&cardCategoryId=270&cardSubcategoryId=1404,,1,9,94 м²,Oткрытое,4-x комнатная квартира,Вторичный,,,,149 900 €,Квартира с ливингом,Продам,"4-x комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, пр-т Дачия, 50"
1,Eвроремонт,1,,,Агентство,102367490,https://999.md/ru/102367490?location=subcategory&index=3594&cardCategoryId=270&cardSubcategoryId=1404,,2,14,83 м²,Oткрытое,2-х комнатная квартира,Новострой,Eldorado Terra,,,137 900 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, ул. Николае Тестемицану, 3/9"
1,Eвроремонт,2,143,,Агентство,104468053,https://999.md/ru/104468053?location=subcategory&index=3595&cardCategoryId=270&cardSubcategoryId=1404,Бетон,8,9,55 м²,,2-х комнатная квартира,Вторичный,,,,118 900 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, ул. Игорь Виеру, 13"
Нет,Косметический pемонт,1,,,Частное лицо,87320683,https://999.md/ru/87320683?location=subcategory&index=3596&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,5,61 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,,98 500 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Miorița, 10"
1,Белый вариант,1,,,Застройщик,100829330,https://999.md/ru/100829330?location=subcategory&index=3597&cardCategoryId=270&cardSubcategoryId=1404,Бетон,1,8,50 м²,,1-комнатная квартира,Новострой,,,,47 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Комрат,  Комрат","Комрат, Комрат, Центр, str. Fedico, 29"
,,1,,,Частное лицо,103867169,https://999.md/ru/103867169?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzAzNDcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4NjcxNjkiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNjNmMDg1NDAtOGMxYy00ZWI4LWI5NTEtYmFmNjJmNDExMmUwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjUyOjI3LjM2NTc5NjA3OFoifX0.zcgB5RQMUn-sEpTOfvSUMpfqCjmXGR12YYuwq2CsDyc&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3598&cardCategoryId=270&cardSubcategoryId=1404,,9,11,45 м²,Oткрытое,1-комнатная квартира,Новострой,,,,40 €,Квартира с ливингом,Сдаю посуточно,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Batran, 43/E"
