Застройщик,Тип здания,link,Парковочное место,title,Ливинг,Санузел,Количество этажей,Общая площадь,Состояние квартиры,Жилой фонд,Площадь кухни,Количество комнат,price,Адрес,Высота потолков,Тип,Жилая площадь,id,Этаж,Автор объявления,Балкон / лоджия,Планировка
,,https://999.md/ru/103484132?location=subcategory&index=4837&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,13,65 м²,Eвроремонт,Новострой,,2-х комнатная квартира,194 900 €,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 5/1",,Продам,,103484132,2,Агентство,1,
,,https://999.md/ru/103128778?location=subcategory&index=4838&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,12,65 м²,Eвроремонт,Новострой,,2-х комнатная квартира,174 900 €,Расположение,,Продам,,103128778,11,Агентство,1,
,,https://999.md/ru/101926156?location=subcategory&index=4839&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,9,53 м²,Eвроремонт,Новострой,,2-х комнатная квартира,143 900 €,"Кишинёв мун., Кишинёв, Ботаника, str. Ghica Vodă, 5",,Продам,,101926156,7,Агентство,,
Exfactor-grup,Kирпичный,https://999.md/ru/104580717?location=subcategory&index=4840&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,2,11,76 м²,Белый вариант,Новострой,,2-х комнатная квартира,143 900 €,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/B",,Продам,76 м²,104580717,9,Агентство,1,
,,https://999.md/ru/102192851?location=subcategory&index=4841&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,12,46 м²,Eвроремонт,Новострой,,1-комнатная квартира,106 900 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Calea Orheiului, 28/1",,Продам,,102192851,8,Частное лицо,,
,,https://999.md/ru/104477132?location=subcategory&index=4842&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,1,15,72 м²,Eвроремонт,Новострой,,2-х комнатная квартира,204 900 €,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, --",,Продам,,104477132,6,Агентство,Нет,Индивидуальная
,Панельный,https://999.md/ru/104607235?location=subcategory&index=4843&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,2,9,72 м²,Косметический pемонт,Вторичный,,3-х комнатная квартира,104 900 €,"Кишинёв мун., Кишинёв, Буюканы, str. Burebista, 36/1",,Продам,,104607235,5,Агентство,3,143
Golban Trade,Kомбинированный,https://999.md/ru/104441252?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzI5MTcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0NDEyNTIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiYTU4ZmJkZjEtMWY5MC00ZTFiLTlkY2UtNzFmM2RkNjEzN2Y5IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQyMDozNToxNy45NDkxNzE0NzRaIn19.yPzE1-m8dPRO-WCF42e1oThTsZRVjfFQbh33vcMWpTI&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=4844&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира с ливингом,2,9,73 м²,Белый вариант,Новострой,14 м²,2-х комнатная квартира,109 500 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 98/F",280 см,Продам,,104441252,4,Агентство,1,
,,https://999.md/ru/103861505?location=subcategory&index=4845&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,9,43 м²,Eвроремонт,Вторичный,,1-комнатная квартира,81 900 €,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latina, -",,Продам,,103861505,1,Агентство,,
,,https://999.md/ru/104598917?location=subcategory&index=4846&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,1,5,38 м²,Eвроремонт,Вторичный,,1-комнатная квартира,59 990 €,"Кишинёв мун., Кишинёв, Телецентр,  str. Ialoveni , 96",,Продам,,104598917,1,Агентство,,
,Бетон,https://999.md/ru/104474047?location=subcategory&index=4847&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,2,9,50 м²,Нуждается в ремонте,Вторичный,,2-х комнатная квартира,72 900 €,"Кишинёв мун., Кишинёв, Чокана, Str. Ginta Latină, 15/1",,Продам,,104474047,9,Агентство,1,135
,,https://999.md/ru/104063059?location=subcategory&index=4848&cardCategoryId=270&cardSubcategoryId=1404,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,3,12,133 м²,Белый вариант,Новострой,,3-х комнатная квартира,239 886 €,"Кишинёв мун., Кишинёв, Ботаника,  str. Grenoble , 134/2",,Продам,,104063059,12,Агентство,1,Индивидуальная
,,https://999.md/ru/102415044?location=subcategory&index=4849&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"3-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",,2,7,94 м²,Белый вариант,Новострой,,3-х комнатная квартира,122 900 €,"Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, **",,Продам,,102415044,2,Агентство,1,
,,https://999.md/ru/104448055?location=subcategory&index=4850&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,1,10,71 м²,Eвроремонт,Новострой,,2-х комнатная квартира,195 000 €,"Кишинёв мун., Кишинёв, Буюканы, Str. Ioana Radu, 27",,Продам,,104448055,4,Агентство,,
Sky House,Kирпичный,https://999.md/ru/103603297?location=subcategory&index=4851&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,1,18,37 м²,Белый вариант,Новострой,,1-комнатная квартира,58 900 €,"Кишинёв мун., Кишинёв, Ботаника, str. Liuba Dumitriu, 9",,Продам,,103603297,10,Агентство,1,
,,https://999.md/ru/104062647?location=subcategory&index=4852&cardCategoryId=270&cardSubcategoryId=1404,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,1,9,72 м²,Eвроремонт,Вторичный,,3-х комнатная квартира,99 500 €,"Кишинёв мун., Кишинёв, Буюканы, șos. Balcani, 6",,Продам,,104062647,9,Агентство,3,
,,https://999.md/ru/104456245?location=subcategory&index=4853&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,,10,45 м²,,Новострой,,1-комнатная квартира,62 000 €,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 58",,Продам,,104456245,6,Агентство,,
,Kомбинированный,https://999.md/ru/104270829?location=subcategory&index=4854&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,1,5,45 м²,Eвроремонт,Вторичный,,2-х комнатная квартира,97 900 €,"Кишинёв мун., Кишинёв, Ботаника, Cuza Voda , 20",,Продам,,104270829,2,Агентство,1,
,Kомбинированный,https://999.md/ru/100674442?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzI5MTcsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDA2NzQ0NDIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjA2YTg4Mzk5LTMyMmYtNDM3OS05YjZjLTFiNzFkYWExYzhkYSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMjA6MzU6MTcuOTQ5MzM3NzkxWiJ9fQ.R57IzWD8PuV2yWIC_g59qeCr5NFmjD6L-3L7OSeWJpA&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=4855&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,2,2,85 м²,Индивидуальный дизайн,Новострой,15 м²,3-х комнатная квартира,899 €,"Кишинёв мун., Кишинёв, Центр, str. Moara Rosie, 33/5",300 см,Сдаю помесячно,70 м²,100674442,2,Застройщик,1,На земле
