Санузел,Общая площадь,Состояние квартиры,Количество этажей,Парковочное место,title,link,id,Площадь кухни,Жилая площадь,Планировка,Жилой фонд,Балкон / лоджия,Ливинг,price,Тип,Количество комнат,Этаж,Автор объявления,Высота потолков,Тип здания,Адрес,Застройщик
1,124 м²,Eвроремонт,3,Oткрытое,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/101562905?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ1NjksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE1NjI5MDUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiY2EwZDMxZTgtZTYxMy00M2YzLWFhNDktMjQzNjBlNzk0YzlhIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDIxOjM2OjA5Ljc5MDQ5NDczN1oifX0.vaVoIt10wsa7oZ-xhrIEI9-j-fYUBpH-9PFwnlQRlE4&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,101562905,16 м²,98 м²,Индивидуальная,Новострой,1,Квартира с ливингом,950 €,Сдаю помесячно,2-х комнатная квартира,2,Частное лицо,280 см,Kотельцовый,"Кишинёв мун., Кишинёв, Буюканы, Vasile Stroiescu , 11/1",
,65 м²,Без ремонта,5,,"3-х комнатная квартира,  Центр,  Бессарабка,  Бессарабка",https://999.md/ru/104041242?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ1NjksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNDEyNDIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNTlmMWIxNDctNDU2NC00NjNlLWE2YWUtZDQ3ZDhlY2FlYzZjIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDIxOjM2OjA5Ljc5MDUyMDQzOFoifX0.cxGZwAX_dyan2l2eVgLc5DaC5LXBITsLO4WFVALwFY0&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,104041242,,,,Вторичный,,,15 000 €,Продам,3-х комнатная квартира,5,Частное лицо,,Блочный,Расположение,
,45 м²,Eвроремонт,10,Oткрытое,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/37573925?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ1NjksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIzNzU3MzkyNSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiJjYjE3ZDNmMi00NGJhLTQ0YTUtYjk5NS03NmViYTc0Y2IzMTYiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDIxOjM2OjA5Ljc5MDU0MzA4MloifX0.ppW2VHt34mk79PnYx3R-VVnOcm_P7FVinB4vMJxgAxA&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,37573925,15 м²,30 м²,Индивидуальная,Новострой,,,25 €,,1-комнатная квартира,7,Застройщик,3 см,Mонолитный,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 88",
1,85 м²,Eвроремонт,16,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/101652246?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ1NjksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE2NTIyNDYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6IjcxZjI3ZTJmLTdjZGEtNGRiMS1iMjNkLWUwZWE2OTRhOGI4ZSIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMjE6MzY6MDkuNzkwNjI2NjA5WiJ9fQ.6HfwHXeT0L-BlRHSwJN3knlIQ5LptlV0l8pd822Dh5Y&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,101652246,20 м²,,,Новострой,2,Квартира с ливингом,164 999 €,,2-х комнатная квартира,14,Частное лицо,3 см,,"Кишинёв мун., Кишинёв, Ботаника, ул. Грэдина Ботаникэ, 20/1",Varicom
2,98 м²,Eвроремонт,13,Подземная,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/84766953?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ1NjksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4NDc2Njk1MyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiZmNjMGMzOTItYjk1Yi00MmY0LTgxNDItMjE0MTRjYjRhNDQyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQyMTozNjowOS43ODk5MjA4NzdaIn19.FE1QSuXAzLYDXo-o4qih-ugc-6w5esqNthg74Wz4FAE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,84766953,,89 м²,,Новострой,1,Квартира с ливингом,1 300 €,Сдаю помесячно,2-х комнатная квартира,6,Частное лицо,,,"Кишинёв мун., Кишинёв, Центр, str. Melestiu, 26/5",
2,68 м²,Белый вариант,7,Подземная,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104093138?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ1NjksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTMxMzgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImUxNWU2MGNjLWQ2MTgtNDQ0OS1hMjQ1LTBlZTQ4Y2Y1MjBjZCIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6ImxpdGUiLCJ0IjoiMjAyNi0wNC0yMFQyMTozNjowOS43ODk5NzM3MVoifX0.jrrKD2uAa2kCTRKSn80b7ZYfG-IBkM5dXihZYv9-8-M&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,104093138,,,,Новострой,2,,76 354 €,Продам,2-х комнатная квартира,5,Застройщик,,Kотельцовый,"Кишинёв мун., Кишинёв, Ботаника, пр-т Дачия, 59",Metropolis City
,82 м²,Eвроремонт,16,Oткрытое,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104059792?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ1NjksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNTk3OTIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYzc5YjdmMzQtMjM4MC00YzNhLWFhNzEtNTRkN2RkZjUxMzMxIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQyMTozNjowOS43OTAwMjExNzNaIn19.zcGajce_QfZmyFrD54C_-hMq_gJ2kgoN62Vp4Zrorgo&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,104059792,,,,Новострой,3,Квартира с ливингом,145 000 €,Продам,2-х комнатная квартира,12,Частное лицо,,Бетон,"Кишинёв мун., Кишинёв, Чокана, str. Ion Dumeniuc, 26",
1,70 м²,Eвроремонт,5,Oткрытое,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104083188?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ1NjksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwODMxODgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYWM2OWIwOTAtYjY0MC00ODAyLTg5YmMtNjMwMjFjYjM3MjI1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDIxOjM2OjA5Ljc5MDEwNDExNVoifX0.ihdTuG0oa4VlMGZTr3epK1k6YOil5FFosZuN-jCnN7o&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,104083188,,,,Вторичный,2,,115 500 €,Продам,3-х комнатная квартира,3,Застройщик,,,Расположение,
1,68 м²,Eвроремонт,14,Oткрытое,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103593182?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ1NjksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM1OTMxODIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlMjAxMjEyLTFiNjYtNGE1NS1hZjUwLWI1YTQ2YzFhZjRmMCIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMjE6MzY6MDkuNzkwMjA3NjIzWiJ9fQ.qcitjl7ESweBu35gsvMDGMZL4tUZy0Xkt3QasyFb6b0&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,103593182,,,,Новострой,,Квартира с ливингом,219 900 €,Продам,2-х комнатная квартира,10,Агентство,,,"Кишинёв мун., Кишинёв, Центр, str. Calea Ieșilor, 6",Inamstro
,75 м²,Eвроремонт,13,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103366835?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjQ1NjksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNjY4MzUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZjVmZTVjYzItOTMzOC00ZTBjLWI3NTAtYWNhZTY0ZjNiNzc0IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDIxOjM2OjA5Ljc5MDIzNTI0NVoifX0.UsXGTdF8SnWnlQ1W1OgI2GXMscutArpntae90psFSNg&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,103366835,,,,Новострой,,Квартира с ливингом,192 000 €,Продам,2-х комнатная квартира,9,Агентство,,,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",Exfactor-grup
