Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Eвроремонт,,,,Частное лицо,104314290,https://999.md/ru/104314290?location=subcategory&index=3355&cardCategoryId=270&cardSubcategoryId=1404,,6,6,66 м²,2-х комнатная квартира,,Новострой,,,64 м²,85 000 €,,Продам,"2-х комнатная квартира,  Центр,  Хынчешты,  Хынчешты","Хынчешты, Хынчешты, Центр, str. Toma Ciorbă, 7"
1,Белый вариант,2,Индивидуальная,250 см,Частное лицо,89495368,https://999.md/ru/89495368?location=subcategory&index=3356&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,2,5,90 м²,3-х комнатная квартира,Подземная,Новострой,,,,140 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Горное,  Страшены",Расположение
,Eвроремонт,,,,Агентство,104460938,https://999.md/ru/104460938?location=subcategory&index=3357&cardCategoryId=270&cardSubcategoryId=1404,,3,10,43 м²,1-комнатная квартира,Подземная,Новострой,Lagmar Impex,,,127 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Cornești, 13"
1,Eвроремонт,1,Индивидуальная,3 см,Частное лицо,101564222,https://999.md/ru/101564222?location=subcategory&index=3358&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,47 м²,2-х комнатная квартира,,Вторичный,,8 м²,28 м²,75 400 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Podul Înalt, 12/1"
,,,,,Застройщик,102070681,https://999.md/ru/102070681?location=subcategory&index=3359&cardCategoryId=270&cardSubcategoryId=1404,,3,9,88 м²,3-х комнатная квартира,,Вторичный,,,,105 000 €,,Продам,"3-х комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, БАМ, Bam, 15"
1,,1,,,Агентство,103562105,https://999.md/ru/103562105?location=subcategory&index=3360&cardCategoryId=270&cardSubcategoryId=1404,,8,9,84 м²,4-x комнатная квартира,,Вторичный,,,,135 000 €,Квартира с ливингом,Продам,"4-x комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Igor Vieru, ---"
,Индивидуальный дизайн,1,,,Агентство,104466510,https://999.md/ru/104466510?location=subcategory&index=3361&cardCategoryId=270&cardSubcategoryId=1404,,14,14,68 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,238 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28C."
1,Eвроремонт,1,,,Агентство,104416976,https://999.md/ru/104416976?location=subcategory&index=3362&cardCategoryId=270&cardSubcategoryId=1404,,6,7,66 м²,1-комнатная квартира,,Вторичный,,,,89 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Хынчешты,  Хынчешты","Хынчешты, Хынчешты, Центр, str. Toma Ciorbă, 7."
1,Индивидуальный дизайн,,,,Агентство,104390000,https://999.md/ru/104390000?location=subcategory&index=3363&cardCategoryId=270&cardSubcategoryId=1404,,5,9,42 м²,1-комнатная квартира,Oткрытое,Новострой,,,,95 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Regina Ellisabeta, ."
,Eвроремонт,1,,,Агентство,104389547,https://999.md/ru/104389547?location=subcategory&index=3364&cardCategoryId=270&cardSubcategoryId=1404,,9,9,20 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,42 900 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 5/4A."
