Тип,Застройщик,Санузел,id,Ливинг,Этаж,title,Количество комнат,Высота потолков,price,Состояние квартиры,Тип здания,link,Количество этажей,Адрес,Общая площадь,Парковочное место,Балкон / лоджия,Площадь кухни,Автор объявления,Жилой фонд,Планировка,Жилая площадь
Продам,,2,104590704,,10,"3-х комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.",3-х комнатная квартира,,49 900 €,Косметический pемонт,,https://999.md/ru/104590704?location=subcategory&index=5617&cardCategoryId=270&cardSubcategoryId=1404,10,"Бельцы мун., Бельцы, БАМ, ул. Михаил Лесечко, 8",65 м²,,3,,Агентство,Вторичный,,
Продам,,,104597446,,3,"2-х комнатная квартира,  Новые Бельцы,  Бельцы,  Бельцы мун.",2-х комнатная квартира,,30 000 €,Косметический pемонт,,https://999.md/ru/104597446?location=subcategory&index=5618&cardCategoryId=270&cardSubcategoryId=1404,5,"Бельцы мун., Бельцы, Новые Бельцы, ул. Спортивэ, 23",37 м²,,,,Агентство,Вторичный,,
Продам,,1,104564254,,5,"1-комнатная квартира,  8 квартал,  Бельцы,  Бельцы мун.",1-комнатная квартира,,29 300 €,,,https://999.md/ru/104564254?location=subcategory&index=5619&cardCategoryId=270&cardSubcategoryId=1404,5,"Бельцы мун., Бельцы, 8 квартал, ул. Борис Главан, 31",33 м²,Oткрытое,1,,Агентство,Вторичный,,
Продам,,,104563945,,2,"3-х комнатная квартира,  Молодово,  Бельцы,  Бельцы мун.",3-х комнатная квартира,,37 000 €,Косметический pемонт,,https://999.md/ru/104563945?location=subcategory&index=5620&cardCategoryId=270&cardSubcategoryId=1404,2,"Бельцы мун., Бельцы, Молодово, ул. Штефан чел Маре ши Сфынт, 230",70 м²,,,,Агентство,Вторичный,,
Продам,,,104522547,,8,"3-х комнатная квартира,  10 квартал,  Бельцы,  Бельцы мун.",3-х комнатная квартира,,76 000 €,Eвроремонт,,https://999.md/ru/104522547?location=subcategory&index=5621&cardCategoryId=270&cardSubcategoryId=1404,9,"Бельцы мун., Бельцы, 10 квартал, ул. Сучава, 7",66 м²,,,,Агентство,Вторичный,,
Продам,,,104374972,,4,"2-х комнатная квартира,  7 квартал,  Бельцы,  Бельцы мун.",2-х комнатная квартира,,33 900 €,,,https://999.md/ru/104374972?location=subcategory&index=5622&cardCategoryId=270&cardSubcategoryId=1404,4,"Бельцы мун., Бельцы, 7 квартал, ул. Тудор Владимиреску, 61",42 м²,,,,Агентство,Вторичный,,
Продам,,,104563805,,4,"2-х комнатная квартира,  6 квартал,  Бельцы,  Бельцы мун.",2-х комнатная квартира,,24 000 €,Нуждается в ремонте,,https://999.md/ru/104563805?location=subcategory&index=5623&cardCategoryId=270&cardSubcategoryId=1404,5,"Бельцы мун., Бельцы, 6 квартал, ул. Алеко Руссо, 12",36 м²,,,,Агентство,Вторичный,,
Продам,,2,104564039,,1,"3-х комнатная квартира,  Кишиневский мост,  Бельцы,  Бельцы мун.",3-х комнатная квартира,,20 000 €,Нуждается в ремонте,Kотельцовый,https://999.md/ru/104564039?location=subcategory&index=5624&cardCategoryId=270&cardSubcategoryId=1404,2,"Бельцы мун., Бельцы, Кишиневский мост, ул. Ветеранов, 7",62 м²,Гараж,1,,Агентство,Вторичный,,
Продам,,,104522695,,2,"3-х комнатная квартира,  10 квартал,  Бельцы,  Бельцы мун.",3-х комнатная квартира,,59 900 €,Косметический pемонт,,https://999.md/ru/104522695?location=subcategory&index=5625&cardCategoryId=270&cardSubcategoryId=1404,9,"Бельцы мун., Бельцы, 10 квартал, ул. Сучава, 15/A",70 м²,,,,Агентство,Вторичный,,
Продам,Exfactor-grup,2,104585904,Квартира с ливингом,14,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,300 см,210 000 €,Белый вариант,Kирпичный,https://999.md/ru/104585904?location=subcategory&index=5626&cardCategoryId=270&cardSubcategoryId=1404,14,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",105 м²,Подземная,2,,Частное лицо,Новострой,,
