Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,Eвроремонт,1,,,Застройщик,104188776,https://999.md/ru/104188776?location=subcategory&index=2029&cardCategoryId=270&cardSubcategoryId=1404,,1,3,47 м²,,2-х комнатная квартира,Новострой,,,,78 500 €,,Продам,"2-х комнатная квартира,  Окраина,  Гратиешты,  Кишинёв мун.","Кишинёв мун., Гратиешты, Окраина, str. Sfînta Treime, 16"
1,Eвроремонт,1,,,Агентство,102742677,https://999.md/ru/102742677?location=subcategory&index=2030&cardCategoryId=270&cardSubcategoryId=1404,,6,9,50 м²,Oткрытое,1-комнатная квартира,Новострой,Exfactor-grup,,,124 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, -"
,Белый вариант,2,,,Агентство,102305257,https://999.md/ru/102305257?location=subcategory&index=2031&cardCategoryId=270&cardSubcategoryId=1404,,3,13,70 м²,,2-х комнатная квартира,Новострой,,,,74 130 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Ialoveni, 0"
,,,,,Агентство,104614604,https://999.md/ru/104614604?location=subcategory&index=2032&cardCategoryId=270&cardSubcategoryId=1404,,4,9,71 м²,,3-х комнатная квартира,Вторичный,,,,139 900 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 25/5"
1,Белый вариант,1,Индивидуальная,,Частное лицо,101382571,https://999.md/ru/101382571?location=subcategory&index=2033&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,6,10,41 м²,Oткрытое,1-комнатная квартира,Новострой,,,41 м²,57 350 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Braniștii;str. Branistii, 5/3"
,,,,,Частное лицо,104614595,https://999.md/ru/104614595?location=subcategory&index=2034&cardCategoryId=270&cardSubcategoryId=1404,,8,10,15 м²,,1-комнатная квартира,Вторичный,,,,29 999 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 4/2"
1,Eвроремонт,1,Индивидуальная,270 см,Агентство,104551869,https://999.md/ru/104551869?location=subcategory&index=2035&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,4,4,65 м²,Oткрытое,3-х комнатная квартира,Вторичный,A-casa,10 м²,40 м²,43 000 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Центр,  Русены,  Новые Анены","Новые Анены, Русены, Центр, str. Păcii, 20"
,,,,,Агентство,104614575,https://999.md/ru/104614575?location=subcategory&index=2036&cardCategoryId=270&cardSubcategoryId=1404,,4,4,33 м²,,1-комнатная квартира,Вторичный,,,,71 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Gheorghe Asachi, 48/2"
2,Белый вариант,2,,,Застройщик,101760490,https://999.md/ru/101760490?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njc1OTcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3NjA0OTAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiY2I3MmExN2UtY2I0Mi00NTEzLWFhYTQtODQ2YjQwNmQ4ZTRlIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTowNjozNy4yOTE3NDQ1MzZaIn19.NMWGltZecNykVp7tETMyyYWed1AciLAzh9yeW3shZ1I&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2037&cardCategoryId=270&cardSubcategoryId=1404,,3,12,105 м²,,3-х комнатная квартира,Новострой,Exfactor-grup,,,210 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28"
,,,,,Агентство,103776211,https://999.md/ru/103776211?location=subcategory&index=2038&cardCategoryId=270&cardSubcategoryId=1404,,4,5,56 м²,,2-х комнатная квартира,Новострой,,,,64 630 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Bisericii, ---"
2,Eвроремонт,2,,,Агентство,103539816,https://999.md/ru/103539816?location=subcategory&index=2039&cardCategoryId=270&cardSubcategoryId=1404,,4,10,86 м²,Oткрытое,3-х комнатная квартира,Новострой,,,86 м²,154 500 €,,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, ул. Георге Кашу, 30/B"
,Eвроремонт,1,,,Агентство,104142424,https://999.md/ru/104142424?location=subcategory&index=2040&cardCategoryId=270&cardSubcategoryId=1404,,2,9,68 м²,,3-х комнатная квартира,Новострой,,,,157 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Iazului, -"
,,,,,Частное лицо,104614568,https://999.md/ru/104614568?location=subcategory&index=2041&cardCategoryId=270&cardSubcategoryId=1404,,5,5,34 м²,,Комната,Вторичный,,,,35 000 €,,Продам,"Комната,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Maria Drăgan, 18/1"
1,Индивидуальный дизайн,1,,,Частное лицо,104445949,https://999.md/ru/104445949?location=subcategory&index=2042&cardCategoryId=270&cardSubcategoryId=1404,,2,5,45 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,35 999 €,,Продам,"2-х комнатная квартира,  Окраина,  Сороки,  Сороки","Сороки, Сороки, Окраина, str. Alexei Mateevici, 4"
