Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,Eвроремонт,1,,,Агентство,104239062,https://999.md/ru/104239062?location=subcategory&index=2419&cardCategoryId=270&cardSubcategoryId=1404,,2,11,90 м²,,3-х комнатная квартира,Новострой,,,,205 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, -"
1,Eвроремонт,1,,,Агентство,104600675,https://999.md/ru/104600675?location=subcategory&index=2420&cardCategoryId=270&cardSubcategoryId=1404,,1,5,40 м²,,1-комнатная квартира,Вторичный,,,,67 900 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Doina, -"
2,Eвроремонт,3,,,Агентство,104299907,https://999.md/ru/104299907?location=subcategory&index=2421&cardCategoryId=270&cardSubcategoryId=1404,,3,5,185 м²,Гараж,3-х комнатная квартира,Новострой,,,,420 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ștefan Neaga, -"
,Белый вариант,1,,,Агентство,104477125,https://999.md/ru/104477125?location=subcategory&index=2422&cardCategoryId=270&cardSubcategoryId=1404,,3,11,54 м²,,2-х комнатная квартира,Новострой,,,,62 000 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, -"
Нет,Eвроремонт,1,Индивидуальная,,Агентство,103886936,https://999.md/ru/103886936?location=subcategory&index=2423&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,6,80 м²,Oткрытое,2-х комнатная квартира,Новострой,Interactiv,,,209 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str-la 2 Ciocârliei, 4/3"
,Eвроремонт,3,,,Агентство,104372542,https://999.md/ru/104372542?location=subcategory&index=2424&cardCategoryId=270&cardSubcategoryId=1404,,1,3,66 м²,,2-х комнатная квартира,Новострой,,,,59 000 €,,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Gheorghe Asachi, -"
1,Eвроремонт,2,,,Агентство,103407425,https://999.md/ru/103407425?location=subcategory&index=2425&cardCategoryId=270&cardSubcategoryId=1404,,7,13,71 м²,,3-х комнатная квартира,Новострой,,,,177 000 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, -"
1,Eвроремонт,2,,,Агентство,103753843,https://999.md/ru/103753843?location=subcategory&index=2426&cardCategoryId=270&cardSubcategoryId=1404,,5,10,112 м²,,4-x комнатная квартира,Новострой,,,,235 000 €,Квартира с ливингом,Продам,"4-x комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, bd. C. Negruzzi, -"
,Белый вариант,2,,,Застройщик,88894927,https://999.md/ru/88894927?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjgyODYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4ODg5NDkyNyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InBybyIsImwiOiIwZjQwMGNkNi0zMWZlLTRjNmUtOGFjNS1kYThlZjkyZmVhMGYiLCJlIjoiODkuMTQ5LjkxLjE2MiIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA2LTE0VDE5OjE4OjA2Ljg4NzMxNjgxN1oifX0.UspYaAXnBDqTLJWE1r74bi3I0DJex0URX2bv3MBtSXg&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2427&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,6,7,64 м²,,2-х комнатная квартира,Новострой,,,,118 400 €,,Продам,"2-х комнатная квартира,  Окраина,  Кодру,  Кишинёв мун.",Расположение
1,Белый вариант,2,,,Агентство,103531682,https://999.md/ru/103531682?location=subcategory&index=2428&cardCategoryId=270&cardSubcategoryId=1404,,3,9,67 м²,,3-х комнатная квартира,Новострой,,,,124 505 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, -"
