Тип,Застройщик,Санузел,id,Ливинг,Этаж,title,Количество комнат,Высота потолков,price,Состояние квартиры,Тип здания,link,Количество этажей,Адрес,Общая площадь,Парковочное место,Балкон / лоджия,Площадь кухни,Автор объявления,Жилой фонд,Планировка,Жилая площадь
Продам,,1,101074282,Квартира с ливингом,5,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,119 900 €,Eвроремонт,Kотельцовый,https://999.md/ru/101074282?location=subcategory&index=8035&cardCategoryId=270&cardSubcategoryId=1404,6,"Кишинёв мун., Кишинёв, Ботаника, str. Cetatea Albă, 43",86 м²,Oткрытое,2,,Частное лицо,Вторичный,Индивидуальная,
Продам,Eldorado Terra,2,103348618,Квартира с ливингом,9,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,300 см,220 100 €,Индивидуальный дизайн,Kирпичный,https://999.md/ru/103348618?location=subcategory&index=8036&cardCategoryId=270&cardSubcategoryId=1404,17,"Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1/A",81 м²,Oткрытое,1,20 м²,Агентство,Новострой,Индивидуальная,61 м²
Продам,,1,104386385,Квартира с ливингом,4,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,77 500 €,Белый вариант,,https://999.md/ru/104386385?location=subcategory&index=8037&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Ботаника, Dacia, .",51 м²,,2,,Агентство,Новострой,,
Продам,Kirsan,1,102864448,Квартира с ливингом,4,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,155 000 €,Eвроремонт,,https://999.md/ru/102864448?location=subcategory&index=8038&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Кишинёв, Ботаника, str. Danubius, 59",79 м²,Oткрытое,1,,Агентство,Новострой,,
Продам,,,101746209,,3,"4-x комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.",4-x комнатная квартира,,70 500 €,Нуждается в ремонте,,https://999.md/ru/101746209?location=subcategory&index=8039&cardCategoryId=270&cardSubcategoryId=1404,9,"Бельцы мун., Бельцы, БАМ, str. Alexandru cel Bun, 36",82 м²,,2,,Частное лицо,Вторичный,,
Продам,,,103569551,,5,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,145 500 €,Eвроремонт,,https://999.md/ru/103569551?location=subcategory&index=8040&cardCategoryId=270&cardSubcategoryId=1404,14,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",75 м²,,,,Агентство,Новострой,,
Продам,,1,104607101,,4,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,143 900 €,Eвроремонт,,https://999.md/ru/104607101?location=subcategory&index=8041&cardCategoryId=270&cardSubcategoryId=1404,14,"Кишинёв мун., Кишинёв, Буюканы, str. Ghioceilor, 2",70 м²,,1,,Агентство,Новострой,,
Продам,,,104199331,Квартира с ливингом,1,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,129 900 €,,,https://999.md/ru/104199331?location=subcategory&index=8042&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Центр, str. Albișoara, 24",65 м²,,,,Агентство,Вторичный,,
Продам,,,104335514,,6,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,159 900 €,,,https://999.md/ru/104335514?location=subcategory&index=8043&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 7",92 м²,,,,Агентство,Новострой,,
Продам,,2,103169490,,Пентхаус,"4-x комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",4-x комнатная квартира,280 см,450 000 €,Eвроремонт,,https://999.md/ru/103169490?location=subcategory&index=8044&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Рышкановка, str. Cornesti, 7",215 м²,,2,,Агентство,Новострой,,
