Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,,,,,Агентство,103951260,https://999.md/ru/103951260?location=subcategory&index=1483&cardCategoryId=270&cardSubcategoryId=1404,1,,4,53 м²,,3-х комнатная квартира,Вторичный,,,,95 000 €,,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. George Coșbuc, 1"
1,Eвроремонт,1,,,Агентство,104449563,https://999.md/ru/104449563?location=subcategory&index=1484&cardCategoryId=270&cardSubcategoryId=1404,3,,7,44 м²,Подземная,1-комнатная квартира,Новострой,,,,94 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Окраина, str. Regele Carol, 5"
1,Белый вариант,1,,,Агентство,104615786,https://999.md/ru/104615786?location=subcategory&index=1485&cardCategoryId=270&cardSubcategoryId=1404,11,,14,44 м²,,1-комнатная квартира,Новострой,Inamstro,,,78 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 49/6"
1,Eвроремонт,1,,,Агентство,104506976,https://999.md/ru/104506976?location=subcategory&index=1486&cardCategoryId=270&cardSubcategoryId=1404,7,,12,52 м²,Подземная,1-комнатная квартира,Новострой,,,,109 900 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str.Ialoveni, --"
,Белый вариант,3,,,Агентство,101821519,https://999.md/ru/101821519?location=subcategory&index=1487&cardCategoryId=270&cardSubcategoryId=1404,16,,16,215 м²,,4-x комнатная квартира,Новострой,,,,300 000 €,Квартира с ливингом,Продам,"4-x комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Renasterii Nationale, 0"
1,Eвроремонт,1,135,,Агентство,104484162,https://999.md/ru/104484162?location=subcategory&index=1488&cardCategoryId=270&cardSubcategoryId=1404,1,,9,50 м²,,2-х комнатная квартира,Вторичный,,,,82 900 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, -"
,Индивидуальный дизайн,,,,Агентство,102691180,https://999.md/ru/102691180?location=subcategory&index=1489&cardCategoryId=270&cardSubcategoryId=1404,5,,6,260 м²,,3-х комнатная квартира,Новострой,,,,259 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Creangă, 84"
,,,,,Агентство,103793155,https://999.md/ru/103793155?location=subcategory&index=1490&cardCategoryId=270&cardSubcategoryId=1404,4,,9,79 м²,,2-х комнатная квартира,Новострой,,,,133 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, -"
,Нуждается в ремонте,,,,Агентство,103605675,https://999.md/ru/103605675?location=subcategory&index=1491&cardCategoryId=270&cardSubcategoryId=1404,5,,9,85 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,,140 000 €,,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, -"
2,Белый вариант,2,,,Застройщик,102433684,https://999.md/ru/102433684?location=subcategory&index=1492&cardCategoryId=270&cardSubcategoryId=1404,13,,14,170 м²,Гараж,3-х комнатная квартира,Новострой,Ecovzor,,,238 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, ул. Язулуй, 38"
2,Белый вариант,2,,,Застройщик,103079854,https://999.md/ru/103079854?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjY2NzcsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMwNzk4NTQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiNjVlMjFhYjYtMjQxMC00YmJjLTkwNWEtNWVjOTExZDI3NGU0IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJ0IjoiMjAyNi0wNi0xNFQxODo1MToxNy4yODI5MTUwMzlaIn19.G-_nR8ml1Btir5nSWq_zqXr5uvaaOOJn5JHlIrCAHqM&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1493&cardCategoryId=270&cardSubcategoryId=1404,15,Kирпичный,18,108 м²,Подземная,3-х комнатная квартира,Новострой,Sky House,,,136 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 3"
1,Белый вариант,1,Индивидуальная,,Агентство,103726545,https://999.md/ru/103726545?location=subcategory&index=1494&cardCategoryId=270&cardSubcategoryId=1404,7,,15,110 м²,Oткрытое,3-х комнатная квартира,Новострой,,,,148 500 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Dimineții , **"
1,Eвроремонт,2,,270 см,Частное лицо,103889192,https://999.md/ru/103889192?location=subcategory&index=1495&cardCategoryId=270&cardSubcategoryId=1404,2,Kотельцовый,9,124 м²,,3-х комнатная квартира,Новострой,Ago-Dacia,,,203 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Renașterii Naționale, 14"
3,Eвроремонт,2,Индивидуальная,,Застройщик,102707336,https://999.md/ru/102707336?location=subcategory&index=1496&cardCategoryId=270&cardSubcategoryId=1404,5,Kирпичный,6,143 м²,Подземная,3-х комнатная квартира,Новострой,Sahin Construction,,,330 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, ул. Моара Рошие, 20"
,Eвроремонт,,,,Агентство,102902091,https://999.md/ru/102902091?location=subcategory&index=1497&cardCategoryId=270&cardSubcategoryId=1404,2,,12,71 м²,,3-х комнатная квартира,Новострой,,,,205 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28B"
,,,,,Агентство,103701526,https://999.md/ru/103701526?location=subcategory&index=1498&cardCategoryId=270&cardSubcategoryId=1404,2,,15,44 м²,,1-комнатная квартира,Новострой,,,,79 596 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Renasterii Nationale, 39"
,,,,,Агентство,103700911,https://999.md/ru/103700911?location=subcategory&index=1499&cardCategoryId=270&cardSubcategoryId=1404,11,,15,57 м²,,2-х комнатная квартира,Новострой,,,,93 900 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Calea Orheiului, 32"
1,Белый вариант,2,Индивидуальная,,Агентство,104191921,https://999.md/ru/104191921?location=subcategory&index=1500&cardCategoryId=270&cardSubcategoryId=1404,Цоколь,,12,70 м²,Подземная,2-х комнатная квартира,Новострой,,,,103 370 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника,  str. Grenoble , 134/2"
1,Eвроремонт,2,Индивидуальная,,Агентство,104457120,https://999.md/ru/104457120?location=subcategory&index=1501&cardCategoryId=270&cardSubcategoryId=1404,10,,12,83 м²,Oткрытое,3-х комнатная квартира,Новострой,,,,160 000 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана,  bd. Mircea cel Bătrân, 43"
1,Белый вариант,2,Индивидуальная,,Застройщик,102707033,https://999.md/ru/102707033?location=subcategory&index=1502&cardCategoryId=270&cardSubcategoryId=1404,7,Kирпичный,9,67 м²,Подземная,2-х комнатная квартира,Новострой,Lagmar Impex,,,96 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Iazului, 63"
,Eвроремонт,1,Индивидуальная,280 см,Частное лицо,104603494,https://999.md/ru/104603494?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjY2NzcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MDM0OTQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNzlkMmIzMzgtYzFlOC00M2IxLThiZGQtNzlmNDc5YjgyM2E3IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE4OjUxOjE3LjI4MzA1MTMzN1oifX0.Rr-C26BRp-Bx8q1sT4DM9ysJKOIR4cJUEeNrkLjSieQ&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1503&cardCategoryId=270&cardSubcategoryId=1404,1,Бетон,8,31 м²,Oткрытое,1-комнатная квартира,Новострой,A-casa,,,68 900 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Poștei, 53/1"
