Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,Eвроремонт,1,,,Агентство,104083006,https://999.md/ru/104083006?location=subcategory&index=1639&cardCategoryId=270&cardSubcategoryId=1404,,1,6,47 м²,2-х комнатная квартира,,Новострой,,,,85 000 €,,Продам,"2-х комнатная квартира,  Центр,  Яловены,  Яловены",Расположение
,,,,,Агентство,102775096,https://999.md/ru/102775096?location=subcategory&index=1640&cardCategoryId=270&cardSubcategoryId=1404,,1,9,62 м²,2-х комнатная квартира,,Новострой,,,,81 500 €,,Продам,"2-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Окраина, ул. Картуша, 95"
,,,Варц (Варницкая),,Частное лицо,104262602,https://999.md/ru/104262602?location=subcategory&index=1641&cardCategoryId=270&cardSubcategoryId=1404,Блочный,7,9,52 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,88 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 15/5"
,,,,,Агентство,104405831,https://999.md/ru/104405831?location=subcategory&index=1642&cardCategoryId=270&cardSubcategoryId=1404,,6,14,54 м²,2-х комнатная квартира,,Новострой,,,,78 800 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Liuba Dumitriu, 21"
,Eвроремонт,1,,,Агентство,104615611,https://999.md/ru/104615611?location=subcategory&index=1643&cardCategoryId=270&cardSubcategoryId=1404,,11,12,85 м²,2-х комнатная квартира,Oткрытое,Новострой,,,85 м²,195 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Tudor Strișcă, 8/1"
,Eвроремонт,2,Индивидуальная,,Агентство,104563746,https://999.md/ru/104563746?location=subcategory&index=1644&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,3,12,120 м²,3-х комнатная квартира,Oткрытое,Новострой,,,,210 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы,  Alba iulia , 113"
,Косметический pемонт,1,,,Агентство,104615603,https://999.md/ru/104615603?location=subcategory&index=1645&cardCategoryId=270&cardSubcategoryId=1404,,13,16,39 м²,1-комнатная квартира,,Вторичный,,,,55 900 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Nicolae Costin, 61/2"
,Белый вариант,,,,Агентство,103061316,https://999.md/ru/103061316?location=subcategory&index=1646&cardCategoryId=270&cardSubcategoryId=1404,,9,9,148 м²,3-х комнатная квартира,,Новострой,,,,102 000 €,,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartușa, 95/2"
1,Eвроремонт,1,Индивидуальная,,Агентство,103733088,https://999.md/ru/103733088?location=subcategory&index=1647&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,1,12,70 м²,2-х комнатная квартира,,Новострой,,,,145 000 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Florilor, 28"
1,Индивидуальный дизайн,1,Индивидуальная,,Частное лицо,103360660,https://999.md/ru/103360660?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjY5MTcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNjA2NjAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZTExZDczNDMtMGRkMy00ZDQyLTg4MzgtMDc2N2YyMjQ1ZmYwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE4OjU1OjE3LjQ2NjEzNjIzNFoifX0._pOkbXyauxvzNlr5yGKWMp4trarwp0EozHHtGymmkHo&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1648&cardCategoryId=270&cardSubcategoryId=1404,Бетон,1,10,47 м²,1-комнатная квартира,Подземная,Новострой,Basconslux,,,95 999 €,,Продам,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",Расположение
