Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Косметический pемонт,1,,,Агентство,104016168,https://999.md/ru/104016168?location=subcategory&index=2653&cardCategoryId=270&cardSubcategoryId=1404,,5,5,46 м²,Гараж,2-х комнатная квартира,Вторичный,,,,69 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Neculce, 14"
,Eвроремонт,,,,Агентство,103863303,https://999.md/ru/103863303?location=subcategory&index=2654&cardCategoryId=270&cardSubcategoryId=1404,,15,17,38 м²,,2-х комнатная квартира,Вторичный,,,,79 900 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Nicolae Costin, 61/3"
2,Косметический pемонт,,,,Агентство,103485825,https://999.md/ru/103485825?location=subcategory&index=2655&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,56 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,56 м²,86 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Pelivan, 15"
1,Eвроремонт,1,,,Агентство,104270208,https://999.md/ru/104270208?location=subcategory&index=2656&cardCategoryId=270&cardSubcategoryId=1404,,3,10,65 м²,,2-х комнатная квартира,Новострой,,,,110 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 99/3"
,Eвроремонт,1,,,Агентство,103177061,https://999.md/ru/103177061?location=subcategory&index=2657&cardCategoryId=270&cardSubcategoryId=1404,,4,5,42 м²,,2-х комнатная квартира,Вторичный,,,,88 700 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Miorița, 10"
1,Eвроремонт,1,,,Агентство,102983530,https://999.md/ru/102983530?location=subcategory&index=2658&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,45 м²,,2-х комнатная квартира,Вторичный,,,,95 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Andrei Doga, 29"
,,,275 см,,Застройщик,104613926,https://999.md/ru/104613926?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg2NzMsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MTM5MjYiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNjMwZDU4ZTctODlhYi00Zjk4LWIwZDUtMDA1ODhiNjQ3N2Y2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJ0IjoiMjAyNi0wNi0xNFQxOToyNDozMy4yMTU2Mjg0MTRaIn19.WYdW98wtgaTpk89aNmikbs3SXNPcfQAyzr6TKhLH1po&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2659&cardCategoryId=270&cardSubcategoryId=1404,,8,9,64 м²,Oткрытое,2-х комнатная квартира,Новострой,Inamstro,,,146 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Ion Dumeniuc, 6"
,Eвроремонт,1,,,Агентство,103013474,https://999.md/ru/103013474?location=subcategory&index=2660&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,8,10,35 м²,,1-комнатная квартира,Вторичный,,,,86 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 3"
,Eвроремонт,1,,Индивидуальная,Агентство,102498723,https://999.md/ru/102498723?location=subcategory&index=2661&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,2,11,63 м²,Oткрытое,1-комнатная квартира,Новострой,,,,128 000 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр,  Nicolae Testemițanu, 23/1"
,,,,,Агентство,104133190,https://999.md/ru/104133190?location=subcategory&index=2662&cardCategoryId=270&cardSubcategoryId=1404,,4,4,33 м²,,1-комнатная квартира,Вторичный,,,,59 900 €,,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, ул. Василе Бадиу, 10/2"
