Застройщик,Тип здания,link,Парковочное место,title,Ливинг,Санузел,Количество этажей,Общая площадь,Состояние квартиры,Жилой фонд,Площадь кухни,Количество комнат,price,Адрес,Высота потолков,Тип,Жилая площадь,id,Этаж,Автор объявления,Балкон / лоджия,Планировка
,,https://999.md/ru/104486159?location=subcategory&index=4135&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,1,14,70 м²,Eвроремонт,Новострой,,3-х комнатная квартира,160 000 €,"Кишинёв мун., Кишинёв, Центр, Grigore Ureche, -",,Продам,,104486159,6,Агентство,2,
,,https://999.md/ru/103667089?location=subcategory&index=4136&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,2,10,140 м²,Eвроремонт,Новострой,,2-х комнатная квартира,204 900 €,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, , *",,Продам,,103667089,10,Агентство,Нет,
,,https://999.md/ru/104608879?location=subcategory&index=4137&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,4,33 м²,Eвроремонт,Вторичный,,1-комнатная квартира,71 900 €,"Кишинёв мун., Кишинёв, Телецентр, str. Gheorghe Asachi, 48/2",,Продам,,104608879,4,Агентство,1,
,Kомбинированный,https://999.md/ru/101138552?location=subcategory&index=4138&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,10,52 м²,Белый вариант,Новострой,,1-комнатная квартира,79 000 €,"Кишинёв мун., Кишинёв, Рышкановка, Braniștii, 5/3",,Продам,,101138552,7,Агентство,Нет,Индивидуальная
Eldorado Terra,Ячеистый Бетон,https://999.md/ru/104308816?location=subcategory&index=4139&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,1,14,49 м²,Eвроремонт,Новострой,,1-комнатная квартира,109 900 €,"Кишинёв мун., Кишинёв, Чокана, Ginta Latină, 12/8",,Продам,,104308816,7,Агентство,1,
,Бетон,https://999.md/ru/103708487?location=subcategory&index=4140&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,1,16,64 м²,Незавершенное cтроительство,Новострой,,1-комнатная квартира,113 100 €,"Кишинёв мун., Кишинёв, Ботаника, Gradina Botanica, 18/1",,Продам,,103708487,13,Агентство,1,Индивидуальная
,Панельный,https://999.md/ru/104575601?location=subcategory&index=4141&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,2,9,55 м²,Eвроремонт,Вторичный,,2-х комнатная квартира,96 000 €,"Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 4/1",,Продам,,104575601,8,Застройщик,1,143
Inamstro,Mонолитный,https://999.md/ru/104566566?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzE2ODYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NjY1NjYiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjU0YzM2M2ZhLTk0MDgtNDc1OS04NjY1LTc4NDNhMjNiMTMwYSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InBsdXMiLCJ0IjoiMjAyNi0wNi0xNFQyMDoxNDo0Ni4xNjc5OTI2NFoifX0.QU8T5qgiM6e13-LGB7BAeBjDosckRQxe86Xd-25rxnw&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=4142&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,16,67 м²,Незавершенное cтроительство,Новострой,,2-х комнатная квартира,113 900 €,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 11",,Продам,67 м²,104566566,8,Застройщик,2,Индивидуальная
,Kотельцовый,https://999.md/ru/104133049?location=subcategory&index=4143&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,2,5,63 м²,Eвроремонт,Вторичный,,2-х комнатная квартира,68 000 €,"Кишинёв мун., Кишинёв, Ботаника, Nicolai Zelinski, 5/7",,Продам,,104133049,5,Агентство,Нет,
Loid,,https://999.md/ru/103874163?location=subcategory&index=4144&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,13,65 м²,Eвроремонт,Новострой,,2-х комнатная квартира,194 900 €,"Кишинёв мун., Кишинёв, Ботаника, пр-т Куза Водэ, 5/1",,Продам,,103874163,2,Агентство,1,
Exfactor-grup,,https://999.md/ru/103874809?location=subcategory&index=4145&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,2,13,71 м²,Eвроремонт,Новострой,,2-х комнатная квартира,177 000 €,"Кишинёв мун., Кишинёв, Буюканы, ул. Василе Лупу, 28a",,Продам,,103874809,7,Агентство,1,
,,https://999.md/ru/103749006?location=subcategory&index=4146&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,2,11,130 м²,Eвроремонт,Новострой,,2-х комнатная квартира,185 000 €,"Кишинёв мун., Кишинёв, Ботаника, ул. Гренобле, 128/1",,Продам,,103749006,10,Агентство,1,
