Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Незавершенное cтроительство,1,Индивидуальная,,Частное лицо,103046297,https://999.md/ru/103046297?location=subcategory&index=2341&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,12,16,58 м²,2-х комнатная квартира,,Новострой,Lagmar Impex,,,91 920 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Calea Moșilor, 4"
1,Eвроремонт,1,,,Агентство,103893462,https://999.md/ru/103893462?location=subcategory&index=2342&cardCategoryId=270&cardSubcategoryId=1404,,6,6,26 м²,1-комнатная квартира,,Вторичный,,,,42 500 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Alba-Iulia, -"
3,Индивидуальный дизайн,1,Индивидуальная,3 см,Частное лицо,89762314,https://999.md/ru/89762314?location=subcategory&index=2343&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,3,130 м²,3-х комнатная квартира,Oткрытое,Новострой,AlimConstruct Grup,20 м²,80 м²,200 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Studenţilor, 11"
1,Белый вариант,1,,,Застройщик,77426539,https://999.md/ru/77426539?location=subcategory&index=2344&cardCategoryId=270&cardSubcategoryId=1404,,3,6,47 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,41 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Молодово,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, Молодово, str. Ștefan cel Mare și Sfînt, 189"
1,Eвроремонт,1,,,Агентство,102009585,https://999.md/ru/102009585?location=subcategory&index=2345&cardCategoryId=270&cardSubcategoryId=1404,,4,10,52 м²,2-х комнатная квартира,,Новострой,,,,113 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.","Кишинёв мун., Кодру, Центр, str. Jubiliară;str. Jubiliara, 0"
1,Белый вариант,2,,,Агентство,104614064,https://999.md/ru/104614064?location=subcategory&index=2346&cardCategoryId=270&cardSubcategoryId=1404,,3,16,76 м²,1-комнатная квартира,,Новострой,,,,114 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
,,,,,Агентство,101591587,https://999.md/ru/101591587?location=subcategory&index=2347&cardCategoryId=270&cardSubcategoryId=1404,,4,9,66 м²,2-х комнатная квартира,,Новострой,Poliprim Grup,,,85 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24"
1,Eвроремонт,1,Индивидуальная,3 см,Застройщик,104224463,https://999.md/ru/104224463?location=subcategory&index=2348&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,12,65 м²,2-х комнатная квартира,Oткрытое,Новострой,,10 м²,40 м²,110 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Traian, 22"
,Белый вариант,1,,,Агентство,104205954,https://999.md/ru/104205954?location=subcategory&index=2349&cardCategoryId=270&cardSubcategoryId=1404,,7,16,80 м²,2-х комнатная квартира,,Новострой,,,,152 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, --"
,Eвроремонт,2,,,Агентство,101842071,https://999.md/ru/101842071?location=subcategory&index=2350&cardCategoryId=270&cardSubcategoryId=1404,,5,6,85 м²,2-х комнатная квартира,,Вторичный,,,,109 900 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Braniștii , 9/2"
