Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,Нуждается в ремонте,,,,Агентство,104614883,https://999.md/ru/104614883?location=subcategory&index=1873&cardCategoryId=270&cardSubcategoryId=1404,,2,5,26 м²,,Комната,Вторичный,,,,32 500 €,,Продам,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str-la Muncești 2, 4"
,Eвроремонт,1,,,Агентство,104253367,https://999.md/ru/104253367?location=subcategory&index=1874&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,9,10,33 м²,Oткрытое,1-комнатная квартира,Новострой,,,,82 500 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника,  șos. Muncești, 316"
1,Белый вариант,2,300 см,,Застройщик,100967155,https://999.md/ru/100967155?location=subcategory&index=1875&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,4,97 м²,Подземная,3-х комнатная квартира,Новострой,Braus Imobiliare,,,263 500 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, ул. Чиркулуй, 61"
3,Белый вариант,2,,,Агентство,104010477,https://999.md/ru/104010477?location=subcategory&index=1876&cardCategoryId=270&cardSubcategoryId=1404,,8,8,118 м²,,4-x комнатная квартира,Новострой,,,,205 000 €,Квартира с ливингом,Продам,"4-x комнатная квартира,  Центр,  Яловены,  Яловены","Яловены, Яловены, Центр, str. Moldova, ----"
2,Eвроремонт,1,,,Агентство,104299735,https://999.md/ru/104299735?location=subcategory&index=1877&cardCategoryId=270&cardSubcategoryId=1404,,1,5,64 м²,,3-х комнатная квартира,Вторичный,,,,117 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Ioana Radu, 24"
1,Eвроремонт,1,,,Агентство,104448259,https://999.md/ru/104448259?location=subcategory&index=1878&cardCategoryId=270&cardSubcategoryId=1404,,6,12,75 м²,,2-х комнатная квартира,Новострой,,,,176 900 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана,  bd. Mircea cel Bătrân, 14"
Нет,Белый вариант,1,,,Агентство,102554165,https://999.md/ru/102554165?location=subcategory&index=1879&cardCategoryId=270&cardSubcategoryId=1404,,2,8,87 м²,Подземная,3-х комнатная квартира,Новострой,,,,95 700 €,,Продам,"3-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, **"
2,Белый вариант,1,,Индивидуальная,Агентство,104457564,https://999.md/ru/104457564?location=subcategory&index=1880&cardCategoryId=270&cardSubcategoryId=1404,,4,16,68 м²,Подземная,2-х комнатная квартира,Новострой,,,,119 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Gradina Botanica, 20"
1,Eвроремонт,1,,Индивидуальная,Агентство,104573628,https://999.md/ru/104573628?location=subcategory&index=1881&cardCategoryId=270&cardSubcategoryId=1404,,1,2,79 м²,Oткрытое,3-х комнатная квартира,Вторичный,,,,69 900 €,,Продам,"3-х комнатная квартира,  Центр,  Новые Анены,  Новые Анены","Новые Анены, Новые Анены, Центр, Str. Ștefan cel Mare, --"
2,Индивидуальный дизайн,3,,Индивидуальная,Агентство,102774741,https://999.md/ru/102774741?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjczMjMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI3NzQ3NDEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjUxZmI3MjA2LTRlZGQtNGMxYy04YTgxLWYyODFiNTczZjBlYiIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTk6MDI6MDMuMTQ1MTY4MDk3WiJ9fQ.W70CciI4v-an5VbjK0zYxXZax9Xfj7rKHMuYBT-Sm3M&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1882&cardCategoryId=270&cardSubcategoryId=1404,,5,9,166 м²,,4-x комнатная квартира,Новострой,,33 м²,99 м²,581 000 €,,Продам,"4-x комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, ул. Сфатул Цэрий, 59"
