Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Eвроремонт,1,Индивидуальная,,Агентство,104459186,https://999.md/ru/104459186?location=subcategory&index=3823&cardCategoryId=270&cardSubcategoryId=1404,2,,5,38 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,69 900 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Doina, 150/4"
Нет,Eвроремонт,1,Индивидуальная,,Агентство,104066960,https://999.md/ru/104066960?location=subcategory&index=3824&cardCategoryId=270&cardSubcategoryId=1404,12,Kирпичный,21,65 м²,2-х комнатная квартира,Oткрытое,Новострой,Braus Imobiliare,,,159 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
,,,,,Агентство,104063784,https://999.md/ru/104063784?location=subcategory&index=3825&cardCategoryId=270&cardSubcategoryId=1404,12,,13,49 м²,1-комнатная квартира,,Новострой,Inamstro,,,109 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 6"
1,Eвроремонт,1,,,Агентство,104067352,https://999.md/ru/104067352?location=subcategory&index=3826&cardCategoryId=270&cardSubcategoryId=1404,2,Kотельцовый,4,57 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,114 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,2,Мс (Молд. Серия),,Агентство,104178805,https://999.md/ru/104178805?location=subcategory&index=3827&cardCategoryId=270&cardSubcategoryId=1404,3,Mонолитный,10,50 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,112 900 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,,,,Застройщик,104240291,https://999.md/ru/104240291?location=subcategory&index=3828&cardCategoryId=270&cardSubcategoryId=1404,2,,6,75 м²,2-х комнатная квартира,,Новострой,Element Stil,,,145 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regele Carol, 1/C"
1,Eвроремонт,1,,,Частное лицо,104088060,https://999.md/ru/104088060?location=subcategory&index=3829&cardCategoryId=270&cardSubcategoryId=1404,6,Kотельцовый,6,80 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,149 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Gheorghe Asachi, 71/7"
1,Eвроремонт,1,Индивидуальная,,Агентство,104311661,https://999.md/ru/104311661?location=subcategory&index=3830&cardCategoryId=270&cardSubcategoryId=1404,14,Бетон,18,46 м²,1-комнатная квартира,Oткрытое,Новострой,Dansicons,,,125 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Расположение
2,Белый вариант,1,Индивидуальная,,Агентство,104417174,https://999.md/ru/104417174?location=subcategory&index=3831&cardCategoryId=270&cardSubcategoryId=1404,5,,16,71 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,124 250 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
2,Индивидуальный дизайн,1,143,,Частное лицо,104603870,https://999.md/ru/104603870?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzA3NzEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MDM4NzAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZDdhY2E3MzEtZjU4Yy00ZWNlLWI2ODgtZGVmOTM3OTgwMmUwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjU5OjMxLjMxNDQ1MTUwNVoifX0.HvFLT2jCH-RixxSdkbnHfDMnNncA4LqjiDoOtKPIPFE&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3832&cardCategoryId=270&cardSubcategoryId=1404,6,,9,72 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,117 000 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 19/3"
,Eвроремонт,1,Гостинка,,Агентство,104422958,https://999.md/ru/104422958?location=subcategory&index=3833&cardCategoryId=270&cardSubcategoryId=1404,9,,10,17 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,32 900 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
2,Без ремонта,2,Мс (Молд. Серия),,Агентство,104403897,https://999.md/ru/104403897?location=subcategory&index=3834&cardCategoryId=270&cardSubcategoryId=1404,4,,9,77 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,93 000 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,1,Индивидуальная,,Агентство,104322702,https://999.md/ru/104322702?location=subcategory&index=3835&cardCategoryId=270&cardSubcategoryId=1404,7,Kирпичный,10,42 м²,1-комнатная квартира,Oткрытое,Новострой,Peak Development,,,107 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
,Белый вариант,1,,,Частное лицо,103925164,https://999.md/ru/103925164?location=subcategory&index=3836&cardCategoryId=270&cardSubcategoryId=1404,8,Kомбинированный,9,46 м²,1-комнатная квартира,Подземная,Новострой,,,,56 500 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95/3"
1,Eвроремонт,1,Индивидуальная,,Агентство,104447234,https://999.md/ru/104447234?location=subcategory&index=3837&cardCategoryId=270&cardSubcategoryId=1404,5,Kомбинированный,10,60 м²,2-х комнатная квартира,Oткрытое,Новострой,Sky House,,,124 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Băcioii Noi, 14D"
1,Eвроремонт,1,Индивидуальная,,Агентство,104300558,https://999.md/ru/104300558?location=subcategory&index=3838&cardCategoryId=270&cardSubcategoryId=1404,9,,13,58 м²,2-х комнатная квартира,Oткрытое,Новострой,Ecovzor,,,147 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Iazului, 38"
1,Eвроремонт,2,Индивидуальная,,Агентство,104268062,https://999.md/ru/104268062?location=subcategory&index=3839&cardCategoryId=270&cardSubcategoryId=1404,5,Kирпичный,9,72 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,146 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartușa, 95/5"
1,Eвроремонт,1,Индивидуальная,,Агентство,104377302,https://999.md/ru/104377302?location=subcategory&index=3840&cardCategoryId=270&cardSubcategoryId=1404,2,Бетон,9,46 м²,1-комнатная квартира,Oткрытое,Новострой,Pamir Construct,,,101 000 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/3"
1,Eвроремонт,2,,,Частное лицо,103663571,https://999.md/ru/103663571?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzA3NzEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NjM1NzEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNGE1MmUxY2MtMGUzZS00YmExLTgwZjctNTVkZGNlZWFiMzk5IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo1OTozMS4zMTQ1NTk1MzlaIn19.5OKC9AJYvc-VS8F6Q_2y44eYks81wY6kyfknhMLlTZ4&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3841&cardCategoryId=270&cardSubcategoryId=1404,7,,10,75 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,67 м²,153 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, bd. Stefan cel Mare si Sfint, 6"
1,Eвроремонт,2,Варц (Варницкая),,Агентство,104386701,https://999.md/ru/104386701?location=subcategory&index=3842&cardCategoryId=270&cardSubcategoryId=1404,6,,9,55 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,117 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
,,,,,Агентство,103313294,https://999.md/ru/103313294?location=subcategory&index=3843&cardCategoryId=270&cardSubcategoryId=1404,1,,9,90 м²,2-х комнатная квартира,,Новострой,,,,169 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, пр-т Алба-Юлия, 87"
1,Eвроремонт,1,Индивидуальная,,Агентство,104299714,https://999.md/ru/104299714?location=subcategory&index=3844&cardCategoryId=270&cardSubcategoryId=1404,3,Kомбинированный,9,36 м²,1-комнатная квартира,Oткрытое,Новострой,Sky House,,,77 900 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,1,Индивидуальная,,Агентство,104298597,https://999.md/ru/104298597?location=subcategory&index=3845&cardCategoryId=270&cardSubcategoryId=1404,3,Kомбинированный,12,66 м²,2-х комнатная квартира,Oткрытое,Новострой,Estate Invest Company,,,144 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Расположение
,Белый вариант,1,Индивидуальная,,Агентство,103905599,https://999.md/ru/103905599?location=subcategory&index=3846&cardCategoryId=270&cardSubcategoryId=1404,2,Бетон,15,53 м²,1-комнатная квартира,Oткрытое,Новострой,,,,87 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,1,,,Агентство,104367397,https://999.md/ru/104367397?location=subcategory&index=3847&cardCategoryId=270&cardSubcategoryId=1404,7,,10,72 м²,2-х комнатная квартира,,Новострой,,,,139 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95/3"
1,Белый вариант,2,Индивидуальная,,Агентство,104340041,https://999.md/ru/104340041?location=subcategory&index=3848&cardCategoryId=270&cardSubcategoryId=1404,9,Kомбинированный,10,91 м²,2-х комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,,120 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,1,Индивидуальная,,Агентство,104027808,https://999.md/ru/104027808?location=subcategory&index=3849&cardCategoryId=270&cardSubcategoryId=1404,4,Kирпичный,9,71 м²,2-х комнатная квартира,Oткрытое,Новострой,Inamstro,,,195 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/7"
1,Белый вариант,2,Индивидуальная,,Агентство,104027058,https://999.md/ru/104027058?location=subcategory&index=3850&cardCategoryId=270&cardSubcategoryId=1404,5,Kомбинированный,5,86 м²,2-х комнатная квартира,Oткрытое,Новострой,Inamstro,,,178 800 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
2,Белый вариант,1,Индивидуальная,,Агентство,103971147,https://999.md/ru/103971147?location=subcategory&index=3851&cardCategoryId=270&cardSubcategoryId=1404,3,Mонолитный,5,55 м²,1-комнатная квартира,Oткрытое,Новострой,A-casa,,,82 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,2,Индивидуальная,,Агентство,103973379,https://999.md/ru/103973379?location=subcategory&index=3852&cardCategoryId=270&cardSubcategoryId=1404,3,Kомбинированный,11,55 м²,2-х комнатная квартира,Oткрытое,Новострой,Solomon Construct Imobil,,,137 000 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,2,Индивидуальная,,Агентство,103931733,https://999.md/ru/103931733?location=subcategory&index=3853&cardCategoryId=270&cardSubcategoryId=1404,2,Ячеистый Бетон,12,68 м²,2-х комнатная квартира,Oткрытое,Новострой,Basconslux,,,166 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,1,Индивидуальная,,Агентство,103940266,https://999.md/ru/103940266?location=subcategory&index=3854&cardCategoryId=270&cardSubcategoryId=1404,7,Kирпичный,10,49 м²,1-комнатная квартира,Oткрытое,Новострой,Basconslux,,,119 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,1,Индивидуальная,,Агентство,88742653,https://999.md/ru/88742653?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzA3NzEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4ODc0MjY1MyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InByZW1pdW0iLCJsIjoiYWUyMDEyMTItMWI2Ni00YTU1LWFmNTAtYjVhNDZjMWFmNGYwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo1OTozMS4zMTQ2Mjg4MDhaIn19.XU6oNmNi3prh62je9KjEIlBDy-Unb0Z9kHRUI4JU6d8&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3855&cardCategoryId=270&cardSubcategoryId=1404,2,Kирпичный,14,75 м²,2-х комнатная квартира,Подземная,Новострой,Inamstro,,,236 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Calea Ieșilor, 6"
,Eвроремонт,1,Индивидуальная,,Агентство,104156186,https://999.md/ru/104156186?location=subcategory&index=3856&cardCategoryId=270&cardSubcategoryId=1404,7,,11,45 м²,1-комнатная квартира,Oткрытое,Новострой,Estate Invest Company,,,98 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, ул. Яловень, 136"
2,Eвроремонт,2,Индивидуальная,,Застройщик,103944103,https://999.md/ru/103944103?location=subcategory&index=3857&cardCategoryId=270&cardSubcategoryId=1404,7,Kомбинированный,8,120 м²,3-х комнатная квартира,Oткрытое,Новострой,,,,170 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 5/1"
,Eвроремонт,1,Индивидуальная,305 см,Агентство,102951671,https://999.md/ru/102951671?location=subcategory&index=3858&cardCategoryId=270&cardSubcategoryId=1404,1,Kирпичный,7,61 м²,2-х комнатная квартира,Oткрытое,Новострой,Sahin Construction,,61 м²,155 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Moara Roșie, 20"
,Eвроремонт,1,,,Застройщик,102361181,https://999.md/ru/102361181?location=subcategory&index=3859&cardCategoryId=270&cardSubcategoryId=1404,4,,8,67 м²,2-х комнатная квартира,Oткрытое,Новострой,SV Grup,,,102 400 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Оргеев,  Оргеев","Оргеев, Оргеев, Центр, str. Sălciilor, 1"
