Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,,,,,Агентство,104551671,https://999.md/ru/104551671?location=subcategory&index=1093&cardCategoryId=270&cardSubcategoryId=1404,,9,11,51 м²,1-комнатная квартира,,Новострой,Exfactor-grup,,,109 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/C"
,,,,,Застройщик,85456731,https://999.md/ru/85456731?location=subcategory&index=1094&cardCategoryId=270&cardSubcategoryId=1404,,5,12,87 м²,3-х комнатная квартира,,Новострой,Solomon Construct Imobil,,,130 500 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/2"
1,Eвроремонт,2,Индивидуальная,,,102968194,https://999.md/ru/102968194?location=subcategory&index=1095&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,6,12,72 м²,2-х комнатная квартира,Oткрытое,Новострой,Dansicons,,,165 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Nicolae Costin, 62"
1,Eвроремонт,1,,,Частное лицо,102962414,https://999.md/ru/102962414?location=subcategory&index=1096&cardCategoryId=270&cardSubcategoryId=1404,,1,5,54 м²,2-х комнатная квартира,,Вторичный,,,,97 700 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Andrei Doga, 45/1"
Нет,Eвроремонт,1,Индивидуальная,,Частное лицо,104388637,https://999.md/ru/104388637?location=subcategory&index=1097&cardCategoryId=270&cardSubcategoryId=1404,,10,10,61 м²,2-х комнатная квартира,Oткрытое,Новострой,Kirsan,,58 м²,125 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Arheolog Ion Casian Suruceanu, 1/D"
1,Eвроремонт,1,,,Агентство,104457524,https://999.md/ru/104457524?location=subcategory&index=1098&cardCategoryId=270&cardSubcategoryId=1404,,3,9,63 м²,2-х комнатная квартира,,Новострой,,,,149 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Vadul lui Vodă, 30"
,Eвроремонт,,,,Агентство,104067542,https://999.md/ru/104067542?location=subcategory&index=1099&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,2,68 м²,2-х комнатная квартира,Гараж,Вторичный,,,,85 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Pașcani, *"
,,,,,Частное лицо,104289472,https://999.md/ru/104289472?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjYwODYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQyODk0NzIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiOTYxNmU4ODgtODQ1MS00OTAwLWIxODctODZhNzllOWFmMGQ4IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE4OjQxOjI2LjgyMjg1MjIyNVoifX0.Joz1V0g3tygvFIGtxb3QFsz56Ln6NKWmEtPk3zgGowU&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1100&cardCategoryId=270&cardSubcategoryId=1404,,4,9,75 м²,3-х комнатная квартира,,Новострой,Basconslux,,,180 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Creangă, 49/3"
,,,,,Частное лицо,104578243,https://999.md/ru/104578243?location=subcategory&index=1101&cardCategoryId=270&cardSubcategoryId=1404,,1,11,74 м²,3-х комнатная квартира,,Новострой,Basconslux,,,149 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Sprîncenoaia, 3/G"
1,Белый вариант,,Индивидуальная,,Застройщик,84847682,https://999.md/ru/84847682?location=subcategory&index=1102&cardCategoryId=270&cardSubcategoryId=1404,,5,9,71 м²,2-х комнатная квартира,,Новострой,Lagmar Impex,,,106 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Расположение
,Индивидуальный дизайн,2,Малосемейная,300 см,Частное лицо,102000864,https://999.md/ru/102000864?location=subcategory&index=1103&cardCategoryId=270&cardSubcategoryId=1404,,3,11,87 м²,3-х комнатная квартира,,Новострой,Dansicons,,87 м²,185 000 €,,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Petru Rares, 36"
,Eвроремонт,,,,Частное лицо,104159949,https://999.md/ru/104159949?location=subcategory&index=1104&cardCategoryId=270&cardSubcategoryId=1404,,2,14,58 м²,2-х комнатная квартира,Подземная,Новострой,Ecovzor,,,137 999 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Iazului, 38"
1,Белый вариант,1,Индивидуальная,285 см,Застройщик,104574941,https://999.md/ru/104574941?location=subcategory&index=1105&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,2,12,56 м²,1-комнатная квартира,,Новострой,Inamstro,,56 м²,140 000 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 6"
1,Eвроремонт,2,,,Агентство,104532282,https://999.md/ru/104532282?location=subcategory&index=1106&cardCategoryId=270&cardSubcategoryId=1404,,9,9,70 м²,3-х комнатная квартира,,Вторичный,,,,96 900 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 22/3"
,Eвроремонт,2,,,Частное лицо,104566502,https://999.md/ru/104566502?location=subcategory&index=1107&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,7,9,48 м²,1-комнатная квартира,,Новострой,Exfactor-grup,,,113 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 1"
,,,,,Частное лицо,104578979,https://999.md/ru/104578979?location=subcategory&index=1108&cardCategoryId=270&cardSubcategoryId=1404,,3,9,70 м²,3-х комнатная квартира,,Вторичный,,,,136 000 €,,Продам,"3-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 51"
1,Незавершенное cтроительство,1,Индивидуальная,2800 см,Застройщик,104297885,https://999.md/ru/104297885?location=subcategory&index=1109&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,1,6,55 м²,1-комнатная квартира,Гараж,Новострой,Premium-Cons Grup,25 м²,30 м²,73 777 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Центр, str. Durleşti, 56"
,,2,,,Частное лицо,104084259,https://999.md/ru/104084259?location=subcategory&index=1110&cardCategoryId=270&cardSubcategoryId=1404,,5,11,98 м²,3-х комнатная квартира,Подземная,Новострой,,,,230 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Constantin Vârnav, 20"
,Сдан в эксплуатацию,,,,Частное лицо,104574581,https://999.md/ru/104574581?location=subcategory&index=1111&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,11,50 м²,1-комнатная квартира,,Новострой,Carpeni,,,93 000 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25"
1,,1,,2800 см,Застройщик,104297911,https://999.md/ru/104297911?location=subcategory&index=1112&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,1,6,68 м²,2-х комнатная квартира,Гараж,Новострой,Premium-Cons Grup,27 м²,40 м²,102 554 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Durlești, 56"
1,Eвроремонт,2,Мс (Молд. Серия),2500 см,Частное лицо,104529260,https://999.md/ru/104529260?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjYwODYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1MjkyNjAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNWYwOTU4YzAtNDU2Yy00YjU0LWEyYjItZGM4YWUyMGI0NjYwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODo0MToyNi44MjMwMDE3NzlaIn19.Dwer8lYuBvpbaLrU3xfuB-_c2tocsCz4qeRda8ipgIs&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1113&cardCategoryId=270&cardSubcategoryId=1404,Бетон,6,9,58 м²,2-х комнатная квартира,Oткрытое,Вторичный,A-casa,12 м²,40 м²,119 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 5/2"
,Косметический pемонт,,,,Агентство,104577441,https://999.md/ru/104577441?location=subcategory&index=1114&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,5,37 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,57 500 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Alexandru Marinescu, 11/1"
,,,,,Агентство,104573209,https://999.md/ru/104573209?location=subcategory&index=1115&cardCategoryId=270&cardSubcategoryId=1404,,5,5,34 м²,1-комнатная квартира,,Вторичный,,,,54 900 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, 31/1"
,,,,,Частное лицо,104571961,https://999.md/ru/104571961?location=subcategory&index=1116&cardCategoryId=270&cardSubcategoryId=1404,,3,4,123 м²,2-х комнатная квартира,,Новострой,,25 м²,80 м²,196 800 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 8"
1,,,,,Застройщик,104575563,https://999.md/ru/104575563?location=subcategory&index=1117&cardCategoryId=270&cardSubcategoryId=1404,,7,9,128 м²,1-комнатная квартира,,Новострой,,,,589 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ghioceilor, 1"
,Косметический pемонт,,143,,Частное лицо,104616228,https://999.md/ru/104616228?location=subcategory&index=1118&cardCategoryId=270&cardSubcategoryId=1404,Бетон,8,10,11111 м²,3-х комнатная квартира,,Вторичный,,10 м²,70 м²,80 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Кишиневский мост,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, Кишиневский мост, str. Nicolae Iorga, 38"
,,,,,Агентство,103964585,https://999.md/ru/103964585?location=subcategory&index=1119&cardCategoryId=270&cardSubcategoryId=1404,,5,8,43 м²,1-комнатная квартира,,Новострой,,,,81 694 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Postei, ---"
1,Eвроремонт,1,,,Агентство,104413055,https://999.md/ru/104413055?location=subcategory&index=1120&cardCategoryId=270&cardSubcategoryId=1404,,5,6,45 м²,2-х комнатная квартира,,Вторичный,,,,89 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 96"
2,Незавершенное cтроительство,1,Индивидуальная,,Застройщик,104566566,https://999.md/ru/104566566?location=subcategory&index=1121&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,8,16,67 м²,2-х комнатная квартира,,Новострой,Inamstro,,67 м²,113 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 11"
1,Eвроремонт,1,,,Банк,89282336,https://999.md/ru/89282336?location=subcategory&index=1122&cardCategoryId=270&cardSubcategoryId=1404,Бетон,1,10,172 м²,3-х комнатная квартира,,Новострой,,,,138 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Ion Inculeț, 105/2"
1,Eвроремонт,,Мс (Молд. Серия),,Частное лицо,104291286,https://999.md/ru/104291286?location=subcategory&index=1123&cardCategoryId=270&cardSubcategoryId=1404,Панельный,4,9,71 м²,3-х комнатная квартира,,Вторичный,,,,125 000 €,,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Andrei Doga, 32"
1,Незавершенное cтроительство,1,Индивидуальная,,Застройщик,104566256,https://999.md/ru/104566256?location=subcategory&index=1124&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,5,16,46 м²,1-комнатная квартира,,Новострой,Inamstro,,,78 200 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 11"
1,Белый вариант,1,Индивидуальная,270 см,Застройщик,89342407,https://999.md/ru/89342407?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjYwODYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTM0MjQwNyIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6IiIsImwiOiI3YjgxMGYzOS0xMTNmLTRmMGUtOWIzMi02ZWNjMWQ1YjhjYTkiLCJlIjoiODkuMTQ5LjkxLjE2MiIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA2LTE0VDE4OjQxOjI2LjgyMzA0OTcxNFoifX0.rgTiMW1HmTnbi8C9mCy-x3At8K3yfFv0n8Czf8SOU1s&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1125&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,18,41 м²,1-комнатная квартира,Подземная,Новострой,Sky House,12 м²,24 м²,62 700 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Cetatea Albă, 11"
2,Косметический pемонт,2,Варц (Варницкая),,Застройщик,104563750,https://999.md/ru/104563750?location=subcategory&index=1126&cardCategoryId=270&cardSubcategoryId=1404,Панельный,9,9,55 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,74 900 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 27/2"
,Незавершенное cтроительство,,Индивидуальная,,Застройщик,104567374,https://999.md/ru/104567374?location=subcategory&index=1127&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,6,9,46 м²,1-комнатная квартира,,Новострой,Inamstro,,46 м²,105 800 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 7a"
,,,,,Агентство,104563586,https://999.md/ru/104563586?location=subcategory&index=1128&cardCategoryId=270&cardSubcategoryId=1404,,5,10,62 м²,1-комнатная квартира,,Новострой,,,,118 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, bd. Alba-Iulia, 89"
,Без ремонта,1,Брж (Брежневка),,Частное лицо,104563214,https://999.md/ru/104563214?location=subcategory&index=1129&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,3,40 м²,2-х комнатная квартира,,Вторичный,,,40 м²,45 000 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Центр,  Оргеев,  Оргеев","Оргеев, Оргеев, Центр, str. Unirii, 144"
1,Индивидуальный дизайн,2,,,Частное лицо,104328930,https://999.md/ru/104328930?location=subcategory&index=1130&cardCategoryId=270&cardSubcategoryId=1404,,Пентхаус,8,96 м²,2-х комнатная квартира,Подземная,Новострой,,,,179 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24"
1,,,,,Застройщик,104569422,https://999.md/ru/104569422?location=subcategory&index=1131&cardCategoryId=270&cardSubcategoryId=1404,,5,8,105 м²,2-х комнатная квартира,,Новострой,,,,569 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Alessandro Bernardazzi, 79"
2,Незавершенное cтроительство,2,Индивидуальная,,Застройщик,104566925,https://999.md/ru/104566925?location=subcategory&index=1132&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,8,16,100 м²,3-х комнатная квартира,,Новострой,Inamstro,,100 м²,160 000 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 11"
1,Белый вариант,1,,,Агентство,103885314,https://999.md/ru/103885314?location=subcategory&index=1133&cardCategoryId=270&cardSubcategoryId=1404,,8,8,109 м²,3-х комнатная квартира,Подземная,Новострой,,,,117 000 €,,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, *"
