Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
Нет,Незавершенное cтроительство,2,Индивидуальная,,Агентство,104002359,https://999.md/ru/104002359?location=subcategory&index=2731&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,10,89 м²,3-х комнатная квартира,Подземная,Новострой,Estate Invest Company,,,133 500 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bucovina, 1"
1,Eвроремонт,2,Индивидуальная,,Агентство,103237791,https://999.md/ru/103237791?location=subcategory&index=2732&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,7,13,85 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,169 500 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Grenoble, 257"
1,Eвроремонт,1,Индивидуальная,,Агентство,104161138,https://999.md/ru/104161138?location=subcategory&index=2733&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,5,10,91 м²,2-х комнатная квартира,Oткрытое,Новострой,Basconslux,,,229 900 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Bulevardul Mircea cel Bătrân, 39"
1,Eвроремонт,1,Индивидуальная,310 см,Агентство,103929465,https://999.md/ru/103929465?location=subcategory&index=2734&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,11,14,80 м²,1-комнатная квартира,Oткрытое,Новострой,,,,259 000 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, București, 96"
Нет,Без ремонта,1,Индивидуальная,3 см,Агентство,103844002,https://999.md/ru/103844002?location=subcategory&index=2735&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,1,55 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,45 м²,60 000 €,,Продам,"2-х комнатная квартира,  Центр,  Оргеев,  Оргеев","Оргеев, Оргеев, Центр, Maxim Gorkii, 9"
1,Eвроремонт,1,,,Агентство,103294509,https://999.md/ru/103294509?location=subcategory&index=2736&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,11,12,68 м²,2-х комнатная квартира,Oткрытое,Новострой,Estate Invest Company,,,132 900 €,,Продам,"2-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Окраина, Ialoveni, 136"
1,Косметический pемонт,1,Мс (Молд. Серия),,Агентство,104566963,https://999.md/ru/104566963?location=subcategory&index=2737&cardCategoryId=270&cardSubcategoryId=1404,Панельный,7,11,35 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,59 800 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 20"
1,Eвроремонт,1,Индивидуальная,,Агентство,104312432,https://999.md/ru/104312432?location=subcategory&index=2738&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,11,42 м²,1-комнатная квартира,Oткрытое,Новострой,Kirsan,,,78 500 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Așhabad, 127/8"
1,Eвроремонт,2,Индивидуальная,,Агентство,104318047,https://999.md/ru/104318047?location=subcategory&index=2739&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,9,13,110 м²,3-х комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,,269 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Vasile Lupu, 28D"
1,Eвроремонт,1,,,Агентство,103426618,https://999.md/ru/103426618?location=subcategory&index=2740&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,3,5,56 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,94 900 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Movileni, 44"
1,Косметический pемонт,2,Индивидуальная,,Агентство,102811174,https://999.md/ru/102811174?location=subcategory&index=2741&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,11,16,39 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,69 000 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Ismail, 96"
2,Индивидуальный дизайн,3,Индивидуальная,,Агентство,102774741,https://999.md/ru/102774741?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg4MDYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI3NzQ3NDEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjUxZmI3MjA2LTRlZGQtNGMxYy04YTgxLWYyODFiNTczZjBlYiIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTk6MjY6NDYuMzc4NDM3ODUzWiJ9fQ.68_q-CYuJ8ntob_8MabGAoYQ1uiC8sJwAfj6GqgavX4&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2742&cardCategoryId=270&cardSubcategoryId=1404,,5,9,166 м²,4-x комнатная квартира,,Новострой,,33 м²,99 м²,581 000 €,,Продам,"4-x комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, ул. Сфатул Цэрий, 59"
1,Eвроремонт,1,Индивидуальная,,Агентство,103661839,https://999.md/ru/103661839?location=subcategory&index=2743&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,5,48 м²,1-комнатная квартира,Oткрытое,Новострой,,,,99 700 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Gherman Pantea, 140/2"
,Нуждается в ремонте,,,,Частное лицо,100450592,https://999.md/ru/100450592?location=subcategory&index=2744&cardCategoryId=270&cardSubcategoryId=1404,,1,1,51 м²,2-х комнатная квартира,,Вторичный,,,,75 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Columna, 105"
