Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Белый вариант,2,,,Агентство,103667962,https://999.md/ru/103667962?location=subcategory&index=1717&cardCategoryId=270&cardSubcategoryId=1404,,12,17,86 м²,,3-х комнатная квартира,Новострой,,,,147 795 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, **"
1,Белый вариант,1,,,Агентство,104027340,https://999.md/ru/104027340?location=subcategory&index=1718&cardCategoryId=270&cardSubcategoryId=1404,,7,12,76 м²,Подземная,2-х комнатная квартира,Новострой,,,,169 500 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 12a, 12"
,,,,,Агентство,103735790,https://999.md/ru/103735790?location=subcategory&index=1719&cardCategoryId=270&cardSubcategoryId=1404,,3,15,44 м²,,1-комнатная квартира,Новострой,,,,73 500 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Renasterii Nationale, 35"
1,,1,,,Агентство,104328887,https://999.md/ru/104328887?location=subcategory&index=1720&cardCategoryId=270&cardSubcategoryId=1404,,5,9,49 м²,Oткрытое,1-комнатная квартира,Новострой,,,,59 500 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Regina Elisabeta, -"
,Eвроремонт,1,143,260 см,Частное лицо,104615345,https://999.md/ru/104615345?location=subcategory&index=1721&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,4,4,56 м²,Oткрытое,2-х комнатная квартира,Новострой,,,56 м²,50 000 €,,Продам,"2-х комнатная квартира,  Окраина,  Кагул,  Кагул","Кагул, Кагул, Окраина, Șoseaua Griviței , 29"
Нет,Eвроремонт,1,,,Агентство,103570293,https://999.md/ru/103570293?location=subcategory&index=1722&cardCategoryId=270&cardSubcategoryId=1404,,3,4,39 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,80 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Str. Nicolae Zelinski, ***"
,,,,,Застройщик,100527010,https://999.md/ru/100527010?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjcwNDcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDA1MjcwMTAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZTc4ZTFmMWUtYTQxNy00Y2JmLWJkY2QtNGJkN2IxYWRiYTc5IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE4OjU3OjI3LjA0MzM1MDY0N1oifX0.RKzmXJ7yK-Bm2qA2Fj4dlIbH-PoijDcwtxdl70hecJQ&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1723&cardCategoryId=270&cardSubcategoryId=1404,,3,9,52 м²,,1-комнатная квартира,Новострой,,,,1 050 MDL,Квартира с ливингом,Сдаю посуточно,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, ул. Иоана Раду, 27/8"
,,,,,Агентство,104429187,https://999.md/ru/104429187?location=subcategory&index=1724&cardCategoryId=270&cardSubcategoryId=1404,,2,5,56 м²,,2-х комнатная квартира,Вторичный,,,,124 900 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Mitropolit Bănulescu-Bodoni, 28/1"
,,,,,Агентство,104594713,https://999.md/ru/104594713?location=subcategory&index=1725&cardCategoryId=270&cardSubcategoryId=1404,,9,11,62 м²,,2-х комнатная квартира,Новострой,Eldorado Terra,,,159 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/3"
,,,,,Агентство,104559443,https://999.md/ru/104559443?location=subcategory&index=1726&cardCategoryId=270&cardSubcategoryId=1404,,4,9,48 м²,,2-х комнатная квартира,Новострой,Pamir Construct,,,139 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Ghica Vodă, 5"
