Застройщик,Тип здания,link,Парковочное место,title,Ливинг,Санузел,Количество этажей,Общая площадь,Состояние квартиры,Жилой фонд,Площадь кухни,Количество комнат,price,Адрес,Высота потолков,Тип,Жилая площадь,id,Этаж,Автор объявления,Балкон / лоджия,Планировка
Exfactor-grup,Kирпичный,https://999.md/ru/104442094?location=subcategory&index=4291&cardCategoryId=270&cardSubcategoryId=1404,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,2,9,85 м²,,Новострой,,3-х комнатная квартира,162 500 €,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 13",,Продам,,104442094,6,Частное лицо,,
Exfactor-grup,Kирпичный,https://999.md/ru/104562613?location=subcategory&index=4292&cardCategoryId=270&cardSubcategoryId=1404,,"4-x комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,2,9,85 м²,Белый вариант,Новострой,,4-x комнатная квартира,162 500 €,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 13",,Продам,,104562613,6,Частное лицо,,
,,https://999.md/ru/104608375?location=subcategory&index=4293&cardCategoryId=270&cardSubcategoryId=1404,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира без ливинга,2,9,71 м²,Eвроремонт,Вторичный,,3-х комнатная квартира,139 900 €,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 25/5",,Продам,,104608375,4,Агентство,2,
,,https://999.md/ru/103700635?location=subcategory&index=4294&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,,5,35 м²,,Вторичный,,1-комнатная квартира,61 900 €,"Кишинёв мун., Кишинёв, Рышкановка, str-la 2 Florarii, ---",,Продам,,103700635,4,Агентство,,
,,https://999.md/ru/104471379?location=subcategory&index=4295&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,,9,73 м²,Косметический pемонт,Вторичный,,3-х комнатная квартира,88 900 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, 1/4",,Продам,,104471379,8,Агентство,2,143
,,https://999.md/ru/103321166?location=subcategory&index=4296&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,5,42 м²,Eвроремонт,Вторичный,,2-х комнатная квартира,106 900 €,"Кишинёв мун., Кишинёв, Рышкановка, Alecu Russo, 3",,Продам,,103321166,2,Агентство,1,
,,https://999.md/ru/104417593?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzE5MjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0MTc1OTMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImUwZjAyYjViLWEyNTgtNDY5YS04OGEzLWRjZWM5YTIxNzEyNSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMjA6MTg6NDguMTM5Nzg0NDgxWiJ9fQ.fkvJGG8Y8jmeW2y9Yzql_x7kLRhEbtXrMuiMke3BmxU&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=4297&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,1,4,78 м²,Eвроремонт,Новострой,,2-х комнатная квартира,214 900 €,"Кишинёв мун., Кишинёв, Центр, str.Tighina, **",,Продам,,104417593,1,Агентство,1,Индивидуальная
Eldorado Terra,Kомбинированный,https://999.md/ru/103235539?location=subcategory&index=4298&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,17,50 м²,Индивидуальный дизайн,Новострой,,1-комнатная квартира,190 000 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 1",330 см,Продам,,103235539,15,Частное лицо,1,Индивидуальная
,Ячеистый Бетон,https://999.md/ru/104458689?location=subcategory&index=4299&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Центр,  Русены,  Новые Анены",,,4,65 м²,Белый вариант,Новострой,,2-х комнатная квартира,29 900 €,"Новые Анены, Русены, Центр, ул. 9 Мая, 12",,Продам,,104458689,4,Агентство,1,
Exfactor-grup,,https://999.md/ru/104542378?location=subcategory&index=4300&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,,14,68 м²,Eвроремонт,Новострой,,2-х комнатная квартира,209 900 €,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",,Продам,,104542378,2,Агентство,,
,,https://999.md/ru/103769321?location=subcategory&index=4301&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,,14,71 м²,,Новострой,,2-х комнатная квартира,141 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",,Продам,,103769321,12,Агентство,,
Braus Imobiliare,Kирпичный,https://999.md/ru/101862252?location=subcategory&index=4302&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,22,48 м²,Eвроремонт,Новострой,,1-комнатная квартира,131 900 €,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Batran, 15",,Продам,,101862252,14,Агентство,1,
,,https://999.md/ru/101855351?location=subcategory&index=4303&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,6,102 м²,Eвроремонт,Новострой,,2-х комнатная квартира,260 000 €,"Кишинёв мун., Кишинёв, Телецентр, ул. Чокырлией, 19",,Продам,,101855351,2,Агентство,1,
Estate Invest Company,,https://999.md/ru/101880661?location=subcategory&index=4304&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,9,50 м²,Eвроремонт,Новострой,,1-комнатная квартира,105 000 €,"Кишинёв мун., Кишинёв, Телецентр, ул. Яловень, 136",,Продам,,101880661,2,Агентство,1,Индивидуальная
Estate Invest Company,Kирпичный,https://999.md/ru/87741820?location=subcategory&index=4305&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.",Квартира с ливингом,,6,77 м²,Белый вариант,Новострой,,2-х комнатная квартира,108 570 €,"Кишинёв мун., Думбрава, Центр, -, -",,Продам,,87741820,3,Застройщик,1,
Estate Invest Company,,https://999.md/ru/101274547?location=subcategory&index=4306&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,,12,48 м²,Белый вариант,Новострой,,1-комнатная квартира,55 031 €,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 134",,Продам,,101274547,7,Застройщик,,
,Панельный,https://999.md/ru/104608308?location=subcategory&index=4307&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира без ливинга,2,10,78 м²,Индивидуальный дизайн,Вторичный,10 м²,3-х комнатная квартира,144 900 €,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 1/1",270 см,Продам,68 м²,104608308,4,Агентство,1,Индивидуальная
