Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
2,Eвроремонт,1,,,Агентство,104491533,https://999.md/ru/104491533?location=subcategory&index=3667&cardCategoryId=270&cardSubcategoryId=1404,6,,6,88 м²,Oткрытое,2-х комнатная квартира,Новострой,Reconscivil,,,129 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, bd. Alba-Iulia, 192"
2,,,,,Частное лицо,102533640,https://999.md/ru/102533640?location=subcategory&index=3668&cardCategoryId=270&cardSubcategoryId=1404,8,,10,57 м²,Гараж,2-х комнатная квартира,Вторичный,,,,100 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 11"
1,Белый вариант,1,,,Агентство,103621815,https://999.md/ru/103621815?location=subcategory&index=3669&cardCategoryId=270&cardSubcategoryId=1404,2,,10,42 м²,,1-комнатная квартира,Новострой,,,,65 000 €,,Продам,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Окраина, Nicolae Dimo , 24"
,Eвроремонт,1,,,Агентство,100055120,https://999.md/ru/100055120?location=subcategory&index=3670&cardCategoryId=270&cardSubcategoryId=1404,11,,13,50 м²,,1-комнатная квартира,Новострой,,,,128 500 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Calea Ieșilor , 6"
1,Eвроремонт,1,,,Агентство,104485995,https://999.md/ru/104485995?location=subcategory&index=3671&cardCategoryId=270&cardSubcategoryId=1404,3,,10,87 м²,,3-х комнатная квартира,Новострой,,,,215 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Lipcani , 9"
1,Белый вариант,1,Индивидуальная,,Агентство,103061437,https://999.md/ru/103061437?location=subcategory&index=3672&cardCategoryId=270&cardSubcategoryId=1404,3,,9,42 м²,,1-комнатная квартира,Новострой,,,,39 900 €,,Продам,"1-комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.",Расположение
2,Eвроремонт,2,,,Агентство,82089331,https://999.md/ru/82089331?location=subcategory&index=3673&cardCategoryId=270&cardSubcategoryId=1404,1,,4,173 м²,,3-х комнатная квартира,Вторичный,,,113 м²,160 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,1,,,Агентство,102698473,https://999.md/ru/102698473?location=subcategory&index=3674&cardCategoryId=270&cardSubcategoryId=1404,2,,10,55 м²,Oткрытое,2-х комнатная квартира,Новострой,Pamir Construct,,,153 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, ул. Гика Водэ, 5"
Нет,Eвроремонт,1,,,Агентство,103032866,https://999.md/ru/103032866?location=subcategory&index=3675&cardCategoryId=270&cardSubcategoryId=1404,16,,16,74 м²,Oткрытое,1-комнатная квартира,Новострой,,,,167 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, ул. Флорилор, 28/2"
1,Белый вариант,1,,290 см,Застройщик,100971276,https://999.md/ru/100971276?location=subcategory&index=3676&cardCategoryId=270&cardSubcategoryId=1404,2,,4,61 м²,Подземная,2-х комнатная квартира,Новострой,,,,69 954 €,,Продам,"2-х комнатная квартира,  Центр,  Яловены,  Яловены","Яловены, Яловены, Центр, str. Ialoveni, 102"
,,,,,Застройщик,104610454,https://999.md/ru/104610454?location=subcategory&index=3677&cardCategoryId=270&cardSubcategoryId=1404,4,,5,45 м²,,2-х комнатная квартира,Вторичный,,,,69 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Titulescu, 6"
