Застройщик,Тип здания,link,Парковочное место,title,Ливинг,Санузел,Количество этажей,Общая площадь,Состояние квартиры,Жилой фонд,Площадь кухни,Количество комнат,price,Адрес,Высота потолков,Тип,Жилая площадь,id,Этаж,Автор объявления,Балкон / лоджия,Планировка
Flormin-Com,Kирпичный,https://999.md/ru/103954419?location=subcategory&index=5227&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,10,65 м²,Eвроремонт,Новострой,,2-х комнатная квартира,220 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 10",,Продам,,103954419,2,Агентство,,
Exfactor-grup,Kирпичный,https://999.md/ru/104543703?location=subcategory&index=5228&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,9,52 м²,Сдан в эксплуатацию,Новострой,,1-комнатная квартира,127 500 €,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 62",,Продам,,104543703,2,Агентство,2,Индивидуальная
,Kирпичный,https://999.md/ru/104581338?location=subcategory&index=5229&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,13,70 м²,Eвроремонт,Новострой,,2-х комнатная квартира,217 999 €,"Кишинёв мун., Кишинёв, Буюканы, -Vasile Lupu, -28",,Продам,,104581338,Цоколь,Агентство,1,Индивидуальная
,Kирпичный,https://999.md/ru/104280078?location=subcategory&index=5230&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,1,9,63 м²,Eвроремонт,Новострой,,2-х комнатная квартира,129 900 €,"Кишинёв мун., Кишинёв, Чокана, str. Vadul lui Vodă, 25",,Продам,,104280078,4,Агентство,2,Индивидуальная
Exfactor-grup,Kирпичный,https://999.md/ru/103121613?location=subcategory&index=5231&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,,12,66 м²,Eвроремонт,Новострой,,2-х комнатная квартира,199 900 €,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/A",280 см,Продам,,103121613,10,Агентство,2,Индивидуальная
Exfactor-grup,Kирпичный,https://999.md/ru/104279438?location=subcategory&index=5232&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,2,10,86 м²,Eвроремонт,Новострой,,2-х комнатная квартира,219 900 €,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 13",,Продам,,104279438,4,Агентство,1,Индивидуальная
,Kотельцовый,https://999.md/ru/104123217?location=subcategory&index=5233&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,1,2,65 м²,Eвроремонт,Вторичный,12 м²,2-х комнатная квартира,130 000 €,"Кишинёв мун., Кишинёв, Центр, ул. Алексей Щусев, 82",,Продам,,104123217,1,Агентство,,Индивидуальная
,,https://999.md/ru/103857254?location=subcategory&index=5234&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,1,2,20 м²,Eвроремонт,Вторичный,,1-комнатная квартира,29 999 €,"Кишинёв мун., Кишинёв, Ботаника, ул. Салкымилор, 5",,Продам,,103857254,2,Застройщик,,
Solomon Construct Imobil,,https://999.md/ru/104340627?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzM2MzksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQzNDA2MjciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMDI3NWIwZmItOTFlMi00NDk3LWExZjEtY2E5MzkxNDcxZDVmIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQyMDo0NzoxOS40OTc5MjMxNzNaIn19.51RSR3STcLh-FM7UxKW7MJ7Ur-6zJuXh6bLRa5uEZlw&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=5235&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,,10,42 м²,,Новострой,,1-комнатная квартира,51 800 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,Продам,,104340627,8,Частное лицо,1,
Lagmar Impex,Mонолитный,https://999.md/ru/104572207?location=subcategory&index=5236&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,2,9,68 м²,Белый вариант,Новострой,,2-х комнатная квартира,99 000 €,"Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 11/1",,Продам,,104572207,7,Частное лицо,1,
