Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Белый вариант,1,Индивидуальная,,Агентство,101444715,https://999.md/ru/101444715?location=subcategory&index=2185&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,10,71 м²,2-х комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,,106 500 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, Ceucari, 1/1"
,Индивидуальный дизайн,,,,Агентство,103867236,https://999.md/ru/103867236?location=subcategory&index=2186&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,10,72 м²,2-х комнатная квартира,,Новострой,Inamstro,,,199 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/6"
,,1,,,Агентство,104017033,https://999.md/ru/104017033?location=subcategory&index=2187&cardCategoryId=270&cardSubcategoryId=1404,,9,10,45 м²,2-х комнатная квартира,,Новострой,Inamstro,,,106 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/2"
1,Eвроремонт,1,Индивидуальная,,Агентство,103876370,https://999.md/ru/103876370?location=subcategory&index=2188&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,16,62 м²,1-комнатная квартира,Oткрытое,Новострой,Horus,,,139 900 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Florilor, 28/2"
2,,,,,Агентство,104568760,https://999.md/ru/104568760?location=subcategory&index=2189&cardCategoryId=270&cardSubcategoryId=1404,,4,9,78 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,129 900 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Alecu Russo, 61/2"
1,Eвроремонт,,,,Частное лицо,104367722,https://999.md/ru/104367722?location=subcategory&index=2190&cardCategoryId=270&cardSubcategoryId=1404,,5,10,49 м²,1-комнатная квартира,,Новострой,Carpeni,,,129 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25"
1,Eвроремонт,1,,,Агентство,103603101,https://999.md/ru/103603101?location=subcategory&index=2191&cardCategoryId=270&cardSubcategoryId=1404,,4,7,65 м²,2-х комнатная квартира,,Новострой,,,,150 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Durleşti, 10/C"
1,Eвроремонт,1,,,Частное лицо,103804531,https://999.md/ru/103804531?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njc4NzIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4MDQ1MzEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYjM2YTgwMDAtN2FkNy00OTUwLTkxMTktNDAzNzRmYTg3NTNkIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE5OjExOjEyLjU3OTM3NzQzOVoifX0.mIQ3c4PTqmoJBTwGuwXPefT7iniqlzWWm_S5F2AOsyg&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2192&cardCategoryId=270&cardSubcategoryId=1404,,6,9,65 м²,3-х комнатная квартира,,Вторичный,,,,600 €,,Сдаю помесячно,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 4/1"
,Eвроремонт,,,,Частное лицо,101025969,https://999.md/ru/101025969?location=subcategory&index=2193&cardCategoryId=270&cardSubcategoryId=1404,,3,9,60 м²,2-х комнатная квартира,,Новострой,,,,154 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Luca Caragiale, 24"
1,Белый вариант,1,,,Агентство,104087143,https://999.md/ru/104087143?location=subcategory&index=2194&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,10,12,40 м²,1-комнатная квартира,Oткрытое,Новострой,Nicons,,,49 900 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Cartusa, 95/6"
