Тип,Застройщик,Санузел,id,Ливинг,Этаж,title,Количество комнат,Высота потолков,price,Состояние квартиры,Тип здания,link,Количество этажей,Адрес,Общая площадь,Парковочное место,Балкон / лоджия,Площадь кухни,Автор объявления,Жилой фонд,Планировка,Жилая площадь
Продам,,,101972794,,5,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,66 289 €,Белый вариант,,https://999.md/ru/101972794?location=subcategory&index=11545&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Телецентр, Ialoveni , 100/2",43 м²,,,,Агентство,Новострой,,
Продам,,1,101408962,Квартира с ливингом,12,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,82 000 €,Белый вариант,,https://999.md/ru/101408962?location=subcategory&index=11546&cardCategoryId=270&cardSubcategoryId=1404,16,"Кишинёв мун., Кишинёв, Ботаника, пр-т Дачия, .",45 м²,Oткрытое,1,,Агентство,Новострой,,
Продам,,1,104592656,,5,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,85 000 €,Без ремонта,Kотельцовый,https://999.md/ru/104592656?location=subcategory&index=11547&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 7/2",70 м²,Oткрытое,2,7 м²,Агентство,Вторичный,Индивидуальная,40 м²
Продам,,1,102060797,,4,"2-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,115 000 €,Белый вариант,,https://999.md/ru/102060797?location=subcategory&index=11548&cardCategoryId=270&cardSubcategoryId=1404,8,"Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, ---",77 м²,Подземная,1,,Агентство,Новострой,Индивидуальная,
Продам,,1,104150218,,3,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",2-х комнатная квартира,,102 900 €,Eвроремонт,,https://999.md/ru/104150218?location=subcategory&index=11549&cardCategoryId=270&cardSubcategoryId=1404,6,"Кишинёв мун., Криково, Центр, str. Chişinău, .",64 м²,Oткрытое,1,,Агентство,Новострой,,
Продам,,1,103832059,,1,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,47 900 €,Eвроремонт,,https://999.md/ru/103832059?location=subcategory&index=11550&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Ботаника, ул. Николай Зелински, .",21 м²,,,,Агентство,Вторичный,,
Продам,,1,104147863,,5,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,111 500 €,Eвроремонт,,https://999.md/ru/104147863?location=subcategory&index=11551&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Рышкановка, Florarii , .",45 м²,,,,Агентство,Новострой,,
Продам,,1,102959063,Квартира с ливингом,2,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,82 340 €,Белый вариант,,https://999.md/ru/102959063?location=subcategory&index=11552&cardCategoryId=270&cardSubcategoryId=1404,17,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, .",41 м²,Oткрытое,1,,Агентство,Новострой,Индивидуальная,
Продам,Solomon Construct Imobil,2,103541220,Квартира с ливингом,4,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,27 см,190 000 €,Сдан в эксплуатацию,Блочный,https://999.md/ru/103541220?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE1OTY5NDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM1NDEyMjAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiMTU2ZTFkMjMtYWM2Yy00NzhmLThhYmItY2M1OTYzMjAxYTc1IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNlQwNzowMjoyMi41NTk0ODYyMTRaIn19.6a6B1s8sMni5e1v46rhjeLdbmE-ND_3GwghNYSStwMA&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=11553&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 63",72 м²,,Нет,,Частное лицо,Новострой,,72 м²
Продам,,1,103926680,,3,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,86 900 €,,,https://999.md/ru/103926680?location=subcategory&index=11554&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Центр, bd. Iuri Gagarin, .",44 м²,Oткрытое,1,,Агентство,Вторичный,,
Продам,,1,101530129,,13,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,69 660 €,Белый вариант,,https://999.md/ru/101530129?location=subcategory&index=11555&cardCategoryId=270&cardSubcategoryId=1404,14,"Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 14",46 м²,Oткрытое,,,Застройщик,Новострой,,
Продам,,1,103824889,Квартира с ливингом,1,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,143 900 €,Eвроремонт,,https://999.md/ru/103824889?location=subcategory&index=11556&cardCategoryId=270&cardSubcategoryId=1404,16,"Кишинёв мун., Кишинёв, Рышкановка, str. Florilor, .",69 м²,,1,,Агентство,Новострой,,
Продам,,1,103880240,,3,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",1-комнатная квартира,,59 900 €,Eвроремонт,,https://999.md/ru/103880240?location=subcategory&index=11557&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Testemitanu, .",31 м²,,1,,Агентство,Вторичный,,
