Балкон / лоджия,Планировка,Ливинг,link,Застройщик,Площадь кухни,Парковочное место,Этаж,Санузел,Высота потолков,price,Количество этажей,Общая площадь,Адрес,id,Жилой фонд,Тип здания,Жилая площадь,title,Тип,Автор объявления,Количество комнат,Состояние квартиры
1,,Квартира с ливингом,https://999.md/ru/101792106?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM1NDAsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTIxMDYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNGI4NDEzNjMtZTE5Yy00YWFjLTg5NmEtM2ZjZmM5MjBiNTI2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxODozMjoyMC4xMDM2MTgyOTdaIn19.pUgjeGcC-J39E1T_qTOSNqBoSouyggpNEGdnn7Cd0vk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,Lagmar Impex,,,2,1,,77 000 €,10,56 м²,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 142",101792106,Новострой,,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,1-комнатная квартира,Белый вариант
1,,Квартира без ливинга,https://999.md/ru/100621297?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM1NDAsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDA2MjEyOTciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTg6MzI6MjAuMTAzNjQzOTk0WiJ9fQ.7kkIYtnpXPuVM4cSMhw20CE-fb6OKA_Ib0Bw_1510qU&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,Astercon,11 м²,Гараж,5,2,275 см,97 790 €,5,63 м²,"Кишинёв мун., Ставчены, Центр, Grătiești , 10",100621297,Новострой,Ячеистый Бетон,,"2-х комнатная квартира,  Центр,  Ставчены,  Кишинёв мун.",,Застройщик,2-х комнатная квартира,Белый вариант
2,,,https://999.md/ru/102633669?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM1NDAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI2MzM2NjkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiOWEzNmFhMWYtNmNhYi00MDkwLWE1ZTctOTUwZjdjMTkyNGJjIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjMyOjIwLjEwMzY2Njc4OVoifX0.LSun_27SOSJdbupNggZc_4ycIb-9dPea4zUlVRPMB3I&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,,15 м²,,6,2,,106 000 €,10,100 м²,"Бельцы мун., Бельцы, Центр, str. Alexandr Pușkin, 10",102633669,Вторичный,,,"4-x комнатная квартира,  Центр,  Бельцы,  Бельцы мун.",Продам,Частное лицо,4-x комнатная квартира,Eвроремонт
,На земле,,https://999.md/ru/61721508?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM1NDAsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI2MTcyMTUwOCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiJhMTlmNzk3Yi1mMjE5LTQ2YmYtOWU2ZS03OWY2YTBmNDJjYzgiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDE4OjMyOjIwLjEwMzY4MTg2OFoifX0.-Zf9jeHZCJBToDGWoF9kENvv2ZEV9xogdgABUBGTs5A&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,,,Oткрытое,1,1,,600 MDL,1,25 м²,"Кишинёв мун., Кишинёв, Центр, str. Alexandru Hâjdeu, 50",61721508,Новострой,Kотельцовый,,"1-комнатная квартира, 25 м², Центр, Кишинёв",Сдаю посуточно,Застройщик,1-комнатная квартира,Eвроремонт
,,,https://999.md/ru/104083940?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM1NDAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwODM5NDAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNzYyNTkzNGItN2JjZi00YjM5LWFiZTctY2JhMzRiOGQ3NTMzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjMyOjIwLjEwMzM3MjM3NVoifX0.miRMkGbXtARqmB8bw-eLDSj_AX-tASNIICwuFBAQlrY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,,,,2,,,500 €,5,50 м²,"Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, 4/1",104083940,Вторичный,,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Застройщик,2-х комнатная квартира,
,,Квартира с ливингом,https://999.md/ru/101484805?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM1NDAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE0ODQ4MDUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNGNkOGRiMGMtOWYyYS00YzdkLTkxMjUtYjA2MGZiYTMwMTYyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODozMjoyMC4xMDMzOTM2NjdaIn19.rP5FWFNkahHPHNxjD8POd_w6aCLQiQ8bpCJ8_Jof-wE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,,,Oткрытое,1,2,,158 000 €,5,113 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Buiucani, 4",101484805,Вторичный,,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,3-х комнатная квартира,Индивидуальный дизайн
,,,https://999.md/ru/104066914?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM1NDAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjY5MTQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYzdmYzhkODYtNTkzMC00NDUwLTg1NGYtZWY0MzlkZjdiMmYwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODozMjoyMC4xMDM0MDkwMzdaIn19.1lelCRZ1seHkcw18uW14WgoqgjUbvo863ep7SFv16aM&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,,,,3,,,134 800 €,10,66 м²,"Кишинёв мун., Кишинёв, Телецентр, str. Miorita, 1/1",104066914,Новострой,Kирпичный,,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,3-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/103243261?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM1NDAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMyNDMyNjEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYTlkN2RlNmUtNGUzMy00ZDBhLTkwODEtZjQ5OTAwY2Y1MTgyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE4OjMyOjIwLjEwMzQzMjQwM1oifX0.7Tj7lHtSGHVlv1D9UBbTn9n3lRYcmP5GkMIcjuV-IbU&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,,,Гараж,1,1,250 см,46 500 €,2,30 м²,"Комрат, Комрат, Окраина, str. Lenin, 10",103243261,Вторичный,Kотельцовый,,"1-комнатная квартира,  Окраина,  Комрат,  Комрат",Продам,Частное лицо,1-комнатная квартира,Индивидуальный дизайн
2,Индивидуальная,,https://999.md/ru/79592292?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM1NDAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI3OTU5MjI5MiIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InBybyIsImwiOiI3NjUwZTA0YS1lYzlhLTQ0OTAtYmI5MS1iNjFiMWQwY2JlMzciLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJwbHVzIiwidCI6IjIwMjYtMDQtMjBUMTg6MzI6MjAuMTAzNDg0OTc5WiJ9fQ.dTsCA_RVCSb9XsyQTlemFP3sDcHSx8RwxjqA5wXMA6c&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,,15 м²,Oткрытое,13,1,300 см,230 000 €,15,92 м²,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/b",79592292,Новострой,Kомбинированный,75 м²,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,3-х комнатная квартира,Индивидуальный дизайн
,,,https://999.md/ru/87301847?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTM1NDAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4NzMwMTg0NyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiI3YzM4ZTc3OS0zYjdkLTQ5NTgtYjhiNi0zMWJlYmVkMjY2NzciLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJsaXRlIiwidCI6IjIwMjYtMDQtMjBUMTg6MzI6MjAuMTAzNDk5MTcxWiJ9fQ.brLaKvH01bKE4ehWxdJ_WcoYoiSJ2SMihAW-5-Oi9i0&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,,,,4,,,13 500 €,5,40 м²,"Бричаны, Бричаны, Окраина, str. Uzinelor, 4",87301847,Вторичный,,,"1-комнатная квартира,  Окраина,  Бричаны,  Бричаны",Продам,Частное лицо,1-комнатная квартира,Белый вариант
