Балкон / лоджия,Планировка,Застройщик,link,Ливинг,Площадь кухни,Парковочное место,Этаж,Санузел,Высота потолков,price,Количество этажей,Общая площадь,Адрес,id,Жилой фонд,Тип здания,Жилая площадь,title,Тип,Автор объявления,Количество комнат,Состояние квартиры
1,,,https://999.md/ru/103932291?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MzIyOTEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiOWEzMGM2NzAtYWVjMS00NTg3LTlmMzUtOWIzYzNiNWVkOGUwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjUzOjExLjYwNzIyNzc4WiJ9fQ.ghWk0sfmFnclgM2ZBDLlL0xezOb3YH4OpcJsdHxwW5Y&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,,,Подземная,3,1,,82 000 €,4,51 м²,"Кишинёв мун., Кодру, Центр, Stra-la1 schinoasa deal, 21",103932291,Новострой,,,"2-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,
2,,Boiar House,https://999.md/ru/89832857?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTgzMjg1NyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiY2QyNWU0OWQtMGI0OC00MTNmLTlhYjAtYWNlNGFjZDVmZDc5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjUzOjExLjYwNzI0MzI2NFoifX0.GkXxJQsWzs-zKYjdtxcfWuYnBKfTfoIqJ7Pbclo9oaA&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,,,,9,2,,100 300 €,10,100 м²,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24/B",89832857,Новострой,,,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Незавершенное cтроительство
,,,https://999.md/ru/104053677?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNTM2NzciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiODQzZWZmOWMtOGFhMS00NWE3LTg4NGQtZGVmMmNiY2UwMGRmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjUzOjExLjYwNzI3MTA5NVoifX0.phCgiISwE7oqMH2mqHZEnJrzidsTfmQ66BcQBtfza8w&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,,,,4,,,400 €,6,45 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Trandafirilor, 33/1",104053677,Вторичный,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Частное лицо,2-х комнатная квартира,
2,,,https://999.md/ru/102185385?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDIxODUzODUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6Ijk5MmI1MmFiLWZlY2ItNGJlYy1hNTYwLTJlZDU0MmUwZmVlOSIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTc6NTM6MTEuNjA3MjgzODM0WiJ9fQ.p68PW3_nupMWl20EOmKA-noJovpZ5kvx66cuHMot5oY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,Квартира с ливингом,,Oткрытое,7,1,,850 €,10,95 м²,"Кишинёв мун., Кишинёв, Центр, str. Gheorghe Cașu, 30/C",102185385,Новострой,Kомбинированный,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,,2-х комнатная квартира,
,,Exfactor-grup,https://999.md/ru/104095924?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTU5MjQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMTU4MzhjMjQtMTk2MS00Y2FlLWJhYzUtM2ZiY2RmYmVhNDU3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzo1MzoxMS42MDY5MzA3ODRaIn19.enkDSKvnqlS0_Olbn9AAkZSib0GC0nSefhhANtA87m4&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,Квартира с ливингом,,,10,,,199 000 €,12,68 м²,Расположение,104095924,Новострой,Kирпичный,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/104095430?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTU0MzAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNjI3YjBkMTUtZTk4YS00NWEwLThkMzgtYTE1N2MyZTdjNDhmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjUzOjExLjYwNjk3Mjk1NFoifX0.nyWD9le6MUpBAra2CqErifQRK7xWAi0KE7vm2Mf_Q8A&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,,,Oткрытое,2,1,,91 000 €,10,61 м²,"Бельцы мун., Бельцы, БАМ, str. Ivan Conev, 34",104095430,Новострой,,61 м²,"2-х комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.",Продам,Частное лицо,2-х комнатная квартира,Eвроремонт
1,,,https://999.md/ru/103804617?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4MDQ2MTciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNmI2MWY1NGQtM2YxMC00MGMzLWI2MjAtMTZhMGExZGM5NTVmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjUzOjExLjYwNjk4NjIyNFoifX0.gIFbmwrQexSMNRKpohNV43oqNnPhmaRBAgohk-KKkuM&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,Квартира с ливингом,,Oткрытое,4,1,2550 см,130 000 €,5,56 м²,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 38/2",103804617,Вторичный,Kомбинированный,56 м²,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Индивидуальный дизайн
,,Basconslux,https://999.md/ru/104079631?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNzk2MzEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiOGI3ZGZlN2QtZWYyOS00MWE3LWJiNzMtOTM3OTYzNjRlYzQ3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzo1MzoxMS42MDcwMTExMjRaIn19.toU1JfQV7yhxlLB0eKBqP_owmh-Ex7_7K4dstshZDQA&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,Квартира с ливингом,,Oткрытое,8,1,,700 €,10,60 м²,"Кишинёв мун., Кишинёв, Телецентр, str. Sprîncenoaia, 1/A",104079631,Новострой,,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Частное лицо,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/104103314?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQxMDMzMTQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYTU2YjMzNTMtYWVmMy00YWM1LThjZjAtNWViNThjM2JhNTcyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjUzOjExLjYwNzEwNzUxNloifX0.gX9zOAGCOhozYR1FHD7Hxyj7BBNIpp84_9bTkAx5dQE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,,,,8,,,109 900 €,9,55 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 130/3",104103314,Вторичный,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/103931423?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MzE0MjMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYTU2YjMzNTMtYWVmMy00YWM1LThjZjAtNWViNThjM2JhNTcyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjUzOjExLjYwNzEyMzIxM1oifX0.MxuCXZknvtkdBcwVjxu7jOxz33R_CnEhiMCCd9FLPfk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,,,,2,,,55 420 €,10,37 м²,"Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 11/1",103931423,Новострой,,,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Белый вариант
