Тип,Застройщик,Санузел,id,Ливинг,Этаж,title,Количество комнат,Высота потолков,price,Состояние квартиры,Тип здания,link,Количество этажей,Адрес,Общая площадь,Парковочное место,Балкон / лоджия,Площадь кухни,Автор объявления,Жилой фонд,Планировка,Жилая площадь
Продам,,1,103860867,,7,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,119 000 €,Eвроремонт,,https://999.md/ru/103860867?location=subcategory&index=3901&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Центр, str. Izmail, -",60 м²,,1,,Агентство,Вторичный,,
Продам,,2,103862481,,12,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,148 785 €,Белый вариант,,https://999.md/ru/103862481?location=subcategory&index=3902&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, -",76 м²,,,,Агентство,Новострой,,
Продам,,,104077414,Квартира с ливингом,2,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,145 600 €,,,https://999.md/ru/104077414?location=subcategory&index=3903&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Телецентр, str. Pietrarilor, 12",92 м²,,,,Агентство,Новострой,,
Продам,Eldorado Terra,,103962527,Квартира с ливингом,7,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,167 500 €,Eвроремонт,,https://999.md/ru/103962527?location=subcategory&index=3904&cardCategoryId=270&cardSubcategoryId=1404,12,Расположение,80 м²,,,,Агентство,Новострой,,
Продам,,1,104029944,,1,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,119 999 €,,,https://999.md/ru/104029944?location=subcategory&index=3905&cardCategoryId=270&cardSubcategoryId=1404,1,"Кишинёв мун., Кишинёв, Центр, str. Vlaicu Pârcălab, -",60 м²,,,,Агентство,Вторичный,,
Продам,Estate Invest Company,2,103477095,Квартира с ливингом,2,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,130 000 €,Белый вариант,Kирпичный,https://999.md/ru/103477095?location=subcategory&index=3906&cardCategoryId=270&cardSubcategoryId=1404,6,"Кишинёв мун., Кишинёв, Буюканы, str. Durlești, 2b",93 м²,Подземная,1,,Агентство,Новострой,Индивидуальная,
Продам,,2,104597582,,9,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,484 500 €,Eвроремонт,,https://999.md/ru/104597582?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE1NTYwNzEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTc1ODIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImUwZjAyYjViLWEyNTgtNDY5YS04OGEzLWRjZWM5YTIxNzEyNSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTVUMTk6NDE6MTEuNzAwOTU2ODAzWiJ9fQ.pxcEA61LgDBGQ6IDRpkYriTG-y2LIziOJM4WuI8DiRo&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3907&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Рышкановка, str. Nadejda Russo, *",185 м²,Oткрытое,2,,Агентство,Новострой,,
Продам,,1,104582125,Квартира с ливингом,2,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,170 750 €,Белый вариант,,https://999.md/ru/104582125?location=subcategory&index=3908&cardCategoryId=270&cardSubcategoryId=1404,2,"Кишинёв мун., Кишинёв, Центр, str-la Teatrului, -",68 м²,,,,Агентство,Вторичный,,
Продам,,1,104565402,,4,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,59 900 €,Косметический pемонт,Панельный,https://999.md/ru/104565402?location=subcategory&index=3909&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 3",33 м²,Oткрытое,Нет,,Агентство,Вторичный,,
Продам,,1,104386857,,5,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,97 500 €,Eвроремонт,,https://999.md/ru/104386857?location=subcategory&index=3910&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Ботаника, Nicolae Zelinski, 38/2",60 м²,,1,,Агентство,Вторичный,,
