Застройщик,Тип здания,link,Парковочное место,title,Ливинг,Санузел,Количество этажей,Общая площадь,Состояние квартиры,Жилой фонд,Площадь кухни,Количество комнат,price,Адрес,Высота потолков,Тип,Жилая площадь,id,Этаж,Автор объявления,Балкон / лоджия,Планировка
,Панельный,https://999.md/ru/104161113?location=subcategory&index=4057&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,2,9,86 м²,Косметический pемонт,Вторичный,,3-х комнатная квартира,94 900 €,"Кишинёв мун., Кишинёв, Чокана, Nicolae Milescu Spătarul, 25",,Продам,,104161113,1,Агентство,3,143
Estate Invest Company,Kомбинированный,https://999.md/ru/104572416?location=subcategory&index=4058&cardCategoryId=270&cardSubcategoryId=1404,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,1,10,54 м²,Eвроремонт,Новострой,,1-комнатная квартира,103 500 €,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 136",,Продам,,104572416,3,Агентство,Нет,Индивидуальная
Boiar House,Kотельцовый,https://999.md/ru/104310247?location=subcategory&index=4059&cardCategoryId=270&cardSubcategoryId=1404,,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,2,10,77 м²,Незавершенное cтроительство,Новострой,,3-х комнатная квартира,79 800 €,"Кишинёв мун., Дурлешты, Центр, Nicolae Dimo, 24B",,Продам,,104310247,9,Агентство,1,Индивидуальная
Sky House,Kирпичный,https://999.md/ru/103900228?location=subcategory&index=4060&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,2,18,111 м²,Незавершенное cтроительство,Новострой,,3-х комнатная квартира,133 900 €,"Кишинёв мун., Кишинёв, Ботаника, Muncești, 94",,Продам,,103900228,2,Агентство,1,Индивидуальная
Varincom,Kомбинированный,https://999.md/ru/102736610?location=subcategory&index=4061&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,12,48 м²,Eвроремонт,Новострой,,1-комнатная квартира,118 900 €,"Кишинёв мун., Кишинёв, Рышкановка, Nicolae Dimo, 13A",,Продам,,102736610,4,Агентство,1,Индивидуальная
,Панельный,https://999.md/ru/103606253?location=subcategory&index=4062&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,2,9,70 м²,Косметический pемонт,Вторичный,,3-х комнатная квартира,99 900 €,"Кишинёв мун., Кишинёв, Буюканы, Alba-Iulia, 184",,Продам,,103606253,1,Агентство,1,135
Solomon Construct Imobil,,https://999.md/ru/101794818?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzE1NTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ4MTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMjA6MTI6MzkuNDQ1NDMwMDZaIn19.oioDPE16tOZTpbkhXO7fzK-0hSnYSyZEoFGbgiku-uM&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=4063&cardCategoryId=270&cardSubcategoryId=1404,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира с ливингом,,9,72 м²,Незавершенное cтроительство,Новострой,,2-х комнатная квартира,76 965 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",290 см,Продам,,101794818,5,Застройщик,,
Golban Trade,Ячеистый Бетон,https://999.md/ru/104505007?location=subcategory&index=4064&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,1,10,47 м²,Eвроремонт,Новострой,,1-комнатная квартира,94 999 €,"Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, 2/D",,Продам,,104505007,1,Агентство,1,Индивидуальная
,Kотельцовый,https://999.md/ru/104483591?location=subcategory&index=4065&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,4,30 м²,Без ремонта,Вторичный,,1-комнатная квартира,49 900 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Andrei Doga, 35",,Продам,,104483591,2,Агентство,1,Хрущевка
,Kотельцовый,https://999.md/ru/104161199?location=subcategory&index=4066&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,5,30 м²,Eвроремонт,Вторичный,,1-комнатная квартира,66 900 €,"Кишинёв мун., Кишинёв, Рышкановка, Nicolae Dimo, 29/4",,Продам,,104161199,1,Агентство,Нет,102
Kirsan,Ячеистый Бетон,https://999.md/ru/101781626?location=subcategory&index=4067&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,2,18,85 м²,Белый вариант,Новострой,,3-х комнатная квартира,107 500 €,"Кишинёв мун., Кишинёв, Ботаника, Nicolae Titulescu, 36A",,Продам,,101781626,6,Агентство,1,Индивидуальная
Varincom,Ячеистый Бетон,https://999.md/ru/103816463?location=subcategory&index=4068&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,17,64 м²,Eвроремонт,Новострой,,2-х комнатная квартира,185 000 €,"Кишинёв мун., Кишинёв, Рышкановка, Bulevardul Renașterii Naționale, 6",,Продам,,103816463,9,Агентство,1,Индивидуальная
,Kомбинированный,https://999.md/ru/104029637?location=subcategory&index=4069&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,1,5,42 м²,Eвроремонт,Новострой,,1-комнатная квартира,69 900 €,"Кишинёв мун., Дурлешты, Центр, str. Cartușa, 50/3",,Продам,,104029637,4,Агентство,Нет,Индивидуальная
,Kомбинированный,https://999.md/ru/103625212?location=subcategory&index=4070&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,1,12,47 м²,Косметический pемонт,Новострой,,1-комнатная квартира,86 900 €,"Кишинёв мун., Кишинёв, Ботаника, Plaiului, 7",,Продам,,103625212,1,Агентство,1,Индивидуальная
Varincom,Kомбинированный,https://999.md/ru/104267437?location=subcategory&index=4071&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,12,41 м²,Eвроремонт,Новострой,,1-комнатная квартира,102 075 €,"Кишинёв мун., Кишинёв, Рышкановка, Nicolae Dimo, 13A",,Продам,,104267437,8,Агентство,1,Индивидуальная
,Kирпичный,https://999.md/ru/101472025?location=subcategory&index=4072&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,2,10,94 м²,Белый вариант,Новострой,,3-х комнатная квартира,155 000 €,"Кишинёв мун., Кишинёв, Рышкановка, Tudor Vladimirescu, 1/8",,Продам,,101472025,5,Агентство,1,
,Kотельцовый,https://999.md/ru/103892205?location=subcategory&index=4073&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,1,4,41 м²,Косметический pемонт,Вторичный,,2-х комнатная квартира,63 000 €,"Кишинёв мун., Кишинёв, Телецентр, Gheorghe Asachi, 61",,Продам,,103892205,2,Агентство,Нет,Хрущевка
Inamstro,Kомбинированный,https://999.md/ru/104343706?location=subcategory&index=4074&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,1,13,91 м²,Белый вариант,Новострой,,2-х комнатная квартира,204 900 €,"Кишинёв мун., Кишинёв, Буюканы, Calea Ieșilor, 6D",,Продам,,104343706,2,Агентство,Нет,Индивидуальная
,Kотельцовый,https://999.md/ru/104259825?location=subcategory&index=4075&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,5,45 м²,Eвроремонт,Вторичный,,2-х комнатная квартира,74 900 €,"Кишинёв мун., Кишинёв, Рышкановка, Andrei Doga, 43/1",,Продам,,104259825,1,Агентство,1,Брж (Брежневка)
Horus,Kомбинированный,https://999.md/ru/101844317?location=subcategory&index=4076&cardCategoryId=270&cardSubcategoryId=1404,Подземная,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,1,16,72 м²,Eвроремонт,Новострой,,2-х комнатная квартира,141 000 €,"Кишинёв мун., Кишинёв, Рышкановка, Florilor, 28/2",,Продам,,101844317,5,Агентство,1,Индивидуальная
Braus Imobiliare,Kирпичный,https://999.md/ru/104161195?location=subcategory&index=4077&cardCategoryId=270&cardSubcategoryId=1404,Oткрытое,"2-х комнатная квартира,  Центр,  Ставчены,  Кишинёв мун.",,1,4,41 м²,Eвроремонт,Новострой,,2-х комнатная квартира,88 900 €,"Кишинёв мун., Ставчены, Центр, Constantin stamati 1a, 1",,Продам,,104161195,4,Агентство,Нет,
