Санузел,Общая площадь,Состояние квартиры,Количество этажей,Парковочное место,title,link,id,Площадь кухни,Жилая площадь,Планировка,Жилой фонд,Балкон / лоджия,Ливинг,price,Тип,Количество комнат,Этаж,Автор объявления,Высота потолков,Тип здания,Адрес,Застройщик
2,130 м²,Eвроремонт,13,Подземная,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103624223?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjUxNDcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2MjQyMjMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiNmFjNjk3MzgtMzNiMS00MTFlLTg0MTgtODYwNGVmNGJlNjIxIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQyMTo0NTo0Ny40ODM3NTAyMDNaIn19.Kb5NQ44_l5pmWld2HzWQ4OhDEHQqDWQH8lfbnTl0sh4&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,103624223,,,,Новострой,1,Квартира с ливингом,495 000 €,,2-х комнатная квартира,Пентхаус,Агентство,310 см,,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 9/5",Estate Invest Company
2,67 м²,Eвроремонт,9,Oткрытое,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/103925896?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjUxNDcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MjU4OTYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZDYyODE4NDktOWQwZC00MWExLWI0MDEtNDc4ZmYxNmQ0YWM0IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDIxOjQ1OjQ3LjQ4MzgxMTA1NFoifX0.6GUw53XQRTy4CAOtL3691BwzVu3aHcMpA3IsZqZO_6o&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,103925896,12 м²,,Индивидуальная,Новострой,1,Квартира без ливинга,153 000 €,Продам,2-х комнатная квартира,4,Частное лицо,260 см,Блочный,"Кишинёв мун., Кишинёв, Буюканы, str. Nicolai Costin, 44/4",Silentagro
,72 м²,Незавершенное cтроительство,9,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",https://999.md/ru/101794818?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjUxNDcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ4MTgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMjE6NDU6NDcuNDgzODY5NTAxWiJ9fQ.XlojpkvRg7_3Ww5X3r-9oKeB2B96L78xNsRmQ_Rhyek&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,101794818,,,,Новострой,,Квартира с ливингом,79 123 €,,2-х комнатная квартира,5,Застройщик,290 см,,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",Solomon Construct Imobil
,65 м²,Eвроремонт,10,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104069607?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjUxNDcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjk2MDciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMTU4MzhjMjQtMTk2MS00Y2FlLWJhYzUtM2ZiY2RmYmVhNDU3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQyMTo0NTo0Ny40ODM4OTUwNjdaIn19.X83O7TuHuMF_QPtfqziF2PoQ1fVBNXgaweX4OOGfzoE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,104069607,,,,Новострой,,Квартира с ливингом,189 000 €,,2-х комнатная квартира,8,Агентство,,Kирпичный,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/F",Exfactor-grup
,66 м²,Eвроремонт,10,,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104066914?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjUxNDcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjY5MTQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYzdmYzhkODYtNTkzMC00NDUwLTg1NGYtZWY0MzlkZjdiMmYwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQyMTo0NTo0Ny40ODMzMjE5OTNaIn19.zcCLSbyX7LYtt3uctZOh7kV2nf1B9hvAU_L_XKMdag8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,104066914,,,,Новострой,,,134 800 €,Продам,3-х комнатная квартира,3,Частное лицо,,Kирпичный,"Кишинёв мун., Кишинёв, Телецентр, str. Miorita, 1/1",
1,51 м²,,4,Подземная,"2-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.",https://999.md/ru/103932291?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjUxNDcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MzIyOTEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiOWEzMGM2NzAtYWVjMS00NTg3LTlmMzUtOWIzYzNiNWVkOGUwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDIxOjQ1OjQ3LjQ4MzM3Nzk5NVoifX0.cZDvWaVMrOmj_f_GtLdiiRzpHHNZ1Q7F31qN_6YCJKc&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,103932291,,,,Новострой,1,,82 000 €,Продам,2-х комнатная квартира,3,Частное лицо,,,"Кишинёв мун., Кодру, Центр, Stra-la1 schinoasa deal, 21",
1,65 м²,Eвроремонт,5,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104116587?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjUxNDcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQxMTY1ODciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYTQyMzI4ZjYtMDZmOS00YTA5LWE3ODEtNDZlMzBkMTAyZjI1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDIxOjQ1OjQ3LjQ4MzQyMjg2NFoifX0.09l86Zx12dToc4uhpoy_TqruDOP9Wj4UrZ4zGkaLpKk&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,104116587,25 м²,40 м²,Индивидуальная,Вторичный,1,Квартира с ливингом,139 999 €,Продам,2-х комнатная квартира,4,Частное лицо,260 см,Kотельцовый,"Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 326",
2,115 м²,Индивидуальный дизайн,3,Гараж,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/102633894?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjUxNDcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI2MzM4OTQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiOWE0MDZjOWEtMTBjNS00M2NmLTkwZjItOTEzZTk0NDRmNDVjIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDIxOjQ1OjQ3LjQ4MzQ2MjkwMloifX0.9EvAfDwxocTGQEJRsrXWkVwcvGSNkMRdjaoAc8-4cvo&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,102633894,,,,Новострой,,Квартира с ливингом,349 900 €,Продам,3-х комнатная квартира,3,Частное лицо,290 см,Kирпичный,"Кишинёв мун., Кишинёв, Телецентр, 1-й пер. Чокырлией, 5/1",Sky House
,46 м²,,12,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",https://999.md/ru/78526153?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjUxNDcsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI3ODUyNjE1MyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiJjMmE0YTEyMi0zZmI0LTQ5OGUtYTM4Mi1iN2I0YzIxZGJiODUiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDIxOjQ1OjQ3LjQ4MzUzODcxN1oifX0.haUM5CBdobrHXWejGyZQE9UZdk0qFennL_3Y_XGcBis&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,78526153,,,,Новострой,,,400 €,Сдаю помесячно,1-комнатная квартира,2,Частное лицо,,,Расположение,
,67 м²,,9,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/84215825?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MjUxNDcsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4NDIxNTgyNSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InBybyIsImwiOiIzZTU1ODhmOS1mYTc5LTQ4NmItYmE5My0yZDNhNDgxMTgxODYiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDIxOjQ1OjQ3LjQ4MzU4MTUyMloifX0.mXr5nbxd9-xUHrMNccd4hQ3AdMSyG9GIdO_xI1UT438&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,84215825,,,,Новострой,1,,700 €,Сдаю помесячно,2-х комнатная квартира,9,Застройщик,,,"Кишинёв мун., Кишинёв, Ботаника, str. Așhabad, 127/6",
