rooms,parcing_space,layout,price,balcony,bathroom,living,apartment_condition,author,building_type,housing_stock,developer,total_floors,floor,region,city,sector,street,area
2-х комнатная квартира,Oткрытое,Брж (Брежневка),59900.0,2,1,,Косметический pемонт,Агентство,Kотельцовый,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,Sarmizegetusa 37/4,46
2-х комнатная квартира,Oткрытое,Хрущевка,55000.0,Нет,1,,Без ремонта,Агентство,Kотельцовый,Вторичный,,3,1.0,Кишинёв мун.,Кишинёв,Телецентр,M. Lomonosov 43,40
2-х комнатная квартира,Подземная,,101200.0,1,2,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,16,6.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Calea Moșilor 4,68
1-комнатная квартира,Oткрытое,,89900.0,,1,Квартира с ливингом,Eвроремонт,Агентство,Kомбинированный,Новострой,,10,1.0,Кишинёв мун.,Дурлешты,Центр,str. Tudor Vladimirescu 75/1,42
1-комнатная квартира,,,75500.0,,,Квартира с ливингом,,Агентство,,Новострой,,8,3.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Postei --,37
1-комнатная квартира,Oткрытое,,61500.0,,,,Eвроремонт,Частное лицо,,Вторичный,,4,3.0,Кишинёв мун.,Кишинёв,Центр,str. George Coșbuc 7,20
1-комнатная квартира,Oткрытое,,86900.0,,1,,Eвроремонт,Агентство,,Новострой,,10,4.0,Кишинёв мун.,Кишинёв,Чокана,str. Nicolae Milescu Spatarul .,35
3-х комнатная квартира,Подземная,,189900.0,,1,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,12,8.0,Кишинёв мун.,Кишинёв,Буюканы,str. Calea Ieșilor 6,82
2-х комнатная квартира,,,88900.0,,,Квартира с ливингом,,Агентство,,Новострой,Poliprim Grup,9,4.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24,71
3-х комнатная квартира,,,179600.0,,,,,Агентство,,Вторичный,,4,1.0,Кишинёв мун.,Кишинёв,Центр,str. Mitropolit Bănulescu-Bodoni 43,79
1-комнатная квартира,Подземная,Индивидуальная,45000.0,1,1,Квартира с ливингом,Белый вариант,Застройщик,Kомбинированный,Новострой,Sky House,16,9.0,Кишинёв мун.,Кишинёв,Центр,şos. Munceşti 105,42
1-комнатная квартира,,,67000.0,1,,,Косметический pемонт,Застройщик,,Вторичный,,10,6.0,Кишинёв мун.,Кишинёв,Рышкановка,bd. Moscova 20,35
3-х комнатная квартира,,143,114950.0,,,,Eвроремонт,Агентство,,Вторичный,,9,5.0,Кишинёв мун.,Кишинёв,Чокана,str. Nicolae Milescu Spatarul 9/2,72
2-х комнатная квартира,,,94088.0,,,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,8,7.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Postei --,50
